,Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,ABW,-0.0111040315,-0.0022247487,-0.02206952,-0.09817256,-0.060209244,0.0009779364,-0.054956187,0.05173618,-0.04549518,-0.0126042245,0.0006850343,0.01640537,-0.013181054,-0.0029388468,0.023180978,-0.0127462195,-0.020606464,-0.048984464,0.098548,-0.06164154,0.04686459,-0.06858324,-0.072887674,-0.09960847,0.012189098,0.090307966,0.021059396,-0.0047256094,-0.0613315,-0.031118825,-0.027033672,0.0027974914,-0.0297847,-0.050063714,0.00022327606,-0.06470954,0.025710506,0.038789272,0.02475177,-0.034690086,-0.00560199,-0.00412844,0.04415615,0.07387003,0.0030898459,-0.0021023084,-0.07416306,-0.023400223,0.043749213,0.055008356,-0.021098955,-0.03723266,0.03890787,0.07842039,-0.00668534,0.026249167,-0.046897966,0.0780254,-0.012714869,0.018298285,-0.034178484,0.01291338,-0.025126413,0.003751072
1,ACO,-0.013080867,0.0013963003,-0.050516568,-0.2290351,-0.16396339,0.021449907,-0.1344009,0.101732254,-0.12771586,-0.040168613,-0.003487066,0.038021326,0.0050322283,-0.011087941,0.056676146,-0.0316705,-0.057269663,-0.09784153,0.21978214,-0.16121262,0.116831854,-0.14995307,-0.1671559,-0.22970131,0.011608435,0.21886979,0.052640527,0.008766448,-0.1312804,-0.091428064,-0.072707646,0.0036255214,-0.059763677,-0.1201202,0.005434602,-0.13216549,0.06737211,0.093949854,0.055431925,-0.07701316,-0.0060794,-0.014091258,0.06813951,0.17295346,0.022087667,0.001556257,-0.16181368,-0.048103064,0.08441002,0.11774548,-0.03384827,-0.095266834,0.07969591,0.18727477,-0.055649474,0.06424705,-0.11408247,0.16875635,-0.015761038,0.06038399,-0.08537425,0.044803888,-0.06705957,0.005611685
2,AEI,0.010050191,-0.0024139246,-0.05468227,-0.48869297,-0.3287362,0.032695495,-0.3045375,0.19936877,-0.27579343,-0.08647457,0.059027135,0.08021986,-0.09743813,-0.032186553,0.11984888,-0.12831028,-0.14233074,-0.18536659,0.4412101,-0.34193113,0.28534222,-0.3244924,-0.40335593,-0.4803081,0.004660654,0.4153787,0.21772966,0.025462557,-0.35834366,-0.122635596,-0.19272533,0.014683059,-0.10405383,-0.18246879,0.023129025,-0.25887394,0.1575323,0.21510947,0.061610095,-0.14912651,0.02140644,0.019502245,0.14702024,0.3848629,0.06444882,-0.0015742012,-0.416023,-0.13760716,0.08968195,0.21626799,-0.05909663,-0.28837475,0.21708971,0.4473656,-0.050297327,0.13547152,-0.27502918,0.33391786,-0.11975972,0.12441914,-0.12929027,0.020174906,-0.15311496,-0.020478494
3,AEL,-0.05640929,-0.0039332127,-0.04470277,-0.22852562,-0.0983499,0.022258008,-0.17488773,0.22566955,-0.13835037,-0.041455604,-0.038285352,0.043272503,-0.15722428,0.028473761,0.026232248,-0.02544672,-0.07829291,-0.09334777,0.2612175,-0.106652014,0.14850974,-0.17789428,-0.19835253,-0.26988024,0.08590714,0.18120047,0.19732985,-0.004905355,-0.19617543,-0.04981075,-0.025000332,0.0053312867,0.01207952,-0.1388733,-0.059024975,-0.15457283,0.051917057,0.122198604,0.08746463,-0.16367522,-0.07852514,0.03133268,0.18371461,0.2653584,-0.0008849634,0.008185406,-0.17966199,-0.057639554,0.1149192,0.12056003,-0.1131706,-0.15192077,0.10612467,0.22604884,0.039082553,0.07708521,-0.10782272,0.2185687,-0.09180349,0.04335969,-0.07251544,0.024208868,-0.13757354,0.039328676
4,AEN,0.25586614,-0.007289504,0.015989145,-0.6074119,-0.491568,0.39223027,-0.7660949,0.05518329,-0.34305707,-0.4347919,0.12226861,-0.030062454,-0.5641256,0.1086602,-0.087979816,-0.10268204,-0.2862074,-0.1992504,0.4660295,-0.5259231,0.5744597,-0.42700365,-0.36899033,-0.8162248,0.25028643,0.39270076,0.79132855,0.1713621,-0.62127376,-0.039599244,-0.7239699,-0.008704156,-0.13523306,0.065407135,0.13661928,-0.20123021,0.5067158,0.36533347,-0.13393621,-0.034864463,0.19670285,-0.042541977,0.040213224,0.9510066,-0.06623588,-0.08123671,-0.67053056,-0.31834128,-0.24369036,0.17875193,-0.004718101,-0.8841273,0.5130477,0.9821359,-0.03977103,-0.0015823029,-0.2914358,0.008598715,-0.42859983,0.071108885,0.08639805,-0.11036323,-0.61778283,-0.031416804
5,AET,-0.063366205,-0.04706851,-0.12017913,-1.1910752,-0.6146135,0.111776404,-0.59999377,0.8104625,-0.72643423,-0.14416587,0.021383626,0.2721859,-0.18706451,-0.08587321,0.34577012,-0.3678298,-0.39372528,-0.31165972,1.0065974,-0.7418155,0.7306774,-0.8251614,-1.0864235,-1.116391,-0.09711674,0.9417654,0.710093,0.15433416,-0.9200691,-0.27758446,-0.18757032,-0.005851433,-0.04560243,-0.5212161,-0.09233969,-0.6272378,0.21063478,0.589301,0.26564655,-0.61881775,-0.011046931,0.21722123,0.47656748,0.8864023,0.21867587,0.08567246,-0.98211503,-0.3032151,0.29012728,0.45880345,-0.10936014,-0.8088544,0.46776474,0.95978826,-0.15005195,0.47133753,-0.75426185,0.98344654,-0.3651343,0.37533933,-0.38952586,0.051318247,-0.33187488,-0.003710169
6,AFG,0.0028761416,0.0388003,-0.12232989,-0.8876702,-0.70859855,0.12839752,-0.67909896,0.2832104,-0.5523601,-0.26925793,0.12551469,0.123069525,-0.34702405,0.061783306,0.1903047,-0.12997712,-0.26999262,-0.40726444,0.85584325,-0.66157424,0.48178002,-0.5751963,-0.723043,-0.98196656,0.1409763,0.7801284,0.42546248,0.035038494,-0.6819105,-0.2447867,-0.49801126,0.049079776,-0.24229486,-0.28440887,0.14495221,-0.54718167,0.41140765,0.38705337,0.09316978,-0.21452211,-0.013718603,-0.12697409,0.2714188,0.8605757,0.049805507,-0.03351676,-0.7817041,-0.20463218,0.15045603,0.42498428,-0.18694389,-0.5527955,0.46437177,0.96855605,-0.08480893,0.14145343,-0.44185713,0.5201569,-0.19447918,0.16283944,-0.19525082,0.06942748,-0.4128702,-0.03968683
7,AFI,-0.09301081,0.006826506,-0.13385221,-0.5229042,-0.4034661,0.06755135,-0.3399404,0.26962796,-0.3377528,-0.11977079,-0.03142286,0.11047302,-0.06801613,0.04732583,0.14293328,-0.026986958,-0.13373528,-0.2924655,0.5578971,-0.38579288,0.21733715,-0.34767827,-0.42517605,-0.5979135,0.095921025,0.53786385,0.12816449,0.0043442207,-0.34721482,-0.22713332,-0.15717289,0.027858524,-0.15097806,-0.29494408,0.06826735,-0.40697977,0.19910054,0.2193243,0.17905289,-0.20056282,-0.07508811,-0.09467364,0.21437001,0.49038202,0.0054874937,-0.017518125,-0.42826208,-0.09292326,0.22824056,0.30319297,-0.12850283,-0.23380698,0.21673776,0.49268383,-0.12033527,0.11239445,-0.24979848,0.41786116,-0.007958402,0.07538434,-0.2084994,0.11497353,-0.17346086,0.019828351
8,AFN,0.0011468062,-0.099097185,0.0070208726,-0.39805752,-0.047231633,-0.021409245,-0.10794492,0.39968467,-0.13551308,0.02471783,0.026139598,0.09930786,-0.066252954,-0.10226349,0.09755756,-0.2244784,-0.13381824,-0.0457158,0.2705523,-0.18135124,0.29249263,-0.3153468,-0.37815726,-0.3004083,-0.09039295,0.23157819,0.2941317,0.043440003,-0.36595246,0.01509231,0.023410723,-0.035894882,0.01720227,-0.15255043,-0.11825625,-0.16535683,-0.023538945,0.17996424,0.07067821,-0.26818442,0.048258167,0.23012003,0.23883921,0.21528737,0.0919931,0.019038135,-0.35485908,-0.19740903,0.10917899,0.13131794,0.02141086,-0.32206452,0.18091314,0.19996132,0.081050456,0.21382654,-0.3054694,0.36275774,-0.26478475,0.118451826,-0.10951543,-0.071487196,-0.053023864,0.0022323292
9,AFO,-0.06394179,-0.020694846,-0.090678,-0.425305,-0.25005028,0.024112258,-0.25346032,0.2755203,-0.23387453,-0.06463211,-0.013691131,0.094428994,-0.09652357,0.018291768,0.10473366,-0.06626459,-0.10841297,-0.21419318,0.42700505,-0.2714488,0.19963911,-0.3017666,-0.35652143,-0.44849753,0.069028236,0.38969868,0.15678136,-0.00019309908,-0.31136987,-0.122856066,-0.09075501,0.013105967,-0.0943132,-0.22177745,0.015045136,-0.31047723,0.12457582,0.1781928,0.12612012,-0.19117008,-0.041690223,-0.0033601576,0.21764182,0.36911455,0.0014343112,-0.022540273,-0.36082527,-0.10880452,0.17587198,0.23220302,-0.09117528,-0.2183936,0.18387708,0.36929268,-0.025753476,0.11622905,-0.22085856,0.34926492,-0.0760623,0.0629086,-0.14919394,0.04637391,-0.119161524,0.01643627
