model,Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time
random_run_0,0.23057121432013936,0.48076388888888877,0.032964982251532715,0.013903336463343826,0.49522849462365576,0.3284667770425292,0.47004480286738337,0.5226276881720429,0.5074925328554359,0.3805148121709099,0.38585540131113244,0.08416257874554396
amd_run_0,0.49697696323971463,0.6154663745841402,0.7762257493340261,0.7810332412317837,0.7089564552022889,0.925766135975592,0.5891047918631416,0.8110380043773329,0.33471042846949406,0.31730405823525343,0.27653809691200726,0.17587540535341953
amd_run_1,0.46650751000574275,0.5966857264367909,0.7776168968572491,0.785729422020318,0.7046049680696709,0.9149553251647811,0.5753994998652501,0.7791092574485858,0.34699960696945215,0.27998039287221216,0.23956624509132904,0.19527384048715207
amd_run_2,0.4783416088913969,0.5970815499002105,0.7911947604351128,0.810368553633134,0.7229680468663195,0.925766135975592,0.5900684069510752,0.7940223848617134,0.3838845919565568,0.2849376163613351,0.23942382130241552,0.17763214210255662
nn_run_0,0.5151606923245517,0.6295912534468447,0.7878767682406032,0.7959819888139901,0.7203526544737596,0.9095135103938833,0.5870065753654878,0.8130986504926062,0.3517373714746587,0.3091454009598391,0.2709074807053439,0.18138980600291893
bnn_run_0,0.12801088382399417,0.35638865198808467,0.7340589314774131,0.746122914412268,0.7280169018075158,0.928853414814433,0.570190756342202,0.7956223320082232,0.22987796270930408,0.22284735341352538,0.24741997282775674,0.14011227044362268
bnn_run_1,0.27718471025312186,0.26955943993623815,0.7291306160652267,0.746122914412268,0.7263368531891442,0.9234770707284113,0.5339735244751609,0.8036868481372554,0.23258204438768482,0.2431983745804573,0.2692339119333837,0.12833666986444625
bnn_run_2,0.19675241389960924,0.1610624413403104,0.7239217648936005,0.746122914412268,0.7459060467127896,0.9261652427714222,0.6065263154776896,0.795459412490465,0.2065595929458129,0.22977828751903578,0.1920179712361048,0.11295210184863243
gmm_run_0,0.6208066584144897,0.7273292433551491,0.729752335911285,0.7305493768429854,0.7980311635404502,0.9011143975909393,0.7300274974024792,0.8128353026852824,0.6104475582403085,0.5677749175472868,0.4917261326343808,0.41537249059714776
gmm_run_1,0.6078197897774263,0.7288938754981349,0.7274406290111063,0.7296182185978315,0.7937894099142756,0.8975647480238926,0.725967162177479,0.8250294649921224,0.6147840538278669,0.5629012867686486,0.48069334101037997,0.4191427444732285
gmm_run_2,0.6154227174120277,0.7267923663669701,0.725394516600292,0.7280987978061603,0.7961606722298246,0.8954945035694727,0.7331311855989023,0.8183077339346736,0.6047524103890152,0.5612892693623124,0.4936465860677824,0.4119119582577688
gan_run_0,0.06458392109588781,0.08459641517570943,0.7264424440222159,0.746122914412268,0.7459060467127896,0.928853414814433,0.6223726676772736,0.8090631922232769,0.18346184888875658,0.25138880324909607,0.2864252748537003,0.0794590946463977
gan_run_1,0.09497988695657145,0.08459641517570943,0.7264424440222159,0.746122914412268,0.7459060467127896,0.928853414814433,0.6432880793348221,0.8090631922232769,0.1962919449797852,0.23451824264398488,0.2864252748537003,0.0794590946463977
gan_run_2,0.02657857988268212,0.08459641517570943,0.7264424440222159,0.746122914412268,0.7459060467127896,0.928853414814433,0.6380430768442573,0.8090631922232769,0.18261534788342398,0.23451824264398488,0.2864252748537003,0.079284363463602
nf_run_0,0.6998200667145547,0.7896436146908493,0.8677008654812473,0.8668500926884803,0.8246657458294391,0.9421244127022355,0.7736251803195808,0.8729845150777858,0.6473572880270864,0.6340373353101251,0.5897917255499777,0.49623616510192087
nf_run_1,0.693550823137322,0.7942160315299082,0.8667959472000184,0.866117691835923,0.8359772327545375,0.9455627825406607,0.7800151100797005,0.8764477248940012,0.6554395490526153,0.6484711500427607,0.5831465289638563,0.513358868494279
nf_run_2,0.696544356178125,0.8093030093953072,0.8720471477254776,0.8695762114025021,0.8245964749239412,0.9452611899434875,0.774019089037016,0.8651261940120881,0.6632390976471898,0.6412936532999113,0.5975619251138864,0.5045343269356419
cvae_run_0,0.6860019317771339,0.8082680410037846,0.8682266950444629,0.871220079709318,0.8222488490332371,0.9318178139215589,0.7771215835509718,0.8680794611012186,0.7014664060390791,0.6561634829537722,0.6330787446162669,0.5421265044361253
cvae_run_1,0.6768182887251877,0.7785893532125314,0.8562018896673946,0.8626399938260412,0.8088914576303037,0.9169090155784934,0.7355362291192538,0.8462309669932315,0.646128670640006,0.6080777418882605,0.54368790940534,0.47055308448770783
cvae_run_2,0.6745119924707754,0.7764147607305514,0.8629062677694014,0.8661626718514419,0.8037420388657286,0.9184144965839829,0.7404540323690911,0.8472406058869317,0.6474191653727279,0.6056947819409844,0.5460896644062558,0.47503290667876696
diff_run_0,0.7261340036010611,0.8306892849535781,0.8733704052496409,0.8734353087673621,0.8357991557416714,0.9535260737291416,0.8037243254891877,0.8779541692312207,0.7085355585086188,0.6728776617647548,0.6509948585593269,0.5417730495965664

