Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda
0.0,0.4545455,0.0,0.0,0.0,0.0,0.0,0.0,54.6875,0.78124994,180.0,72.0,CHA,CN1CCCCC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,160.55627,150.0,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,185.36514,160.0001,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,140.57173,170.0,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,169.43051,180.0,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,185.78699,189.99998,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,176.79135,199.99991,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,176.30368,450.44067,NON,CC1CCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,167.5521,160.0001,DOH,CC1CNCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,155.41805,170.0,DOH,CC1CNCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,181.54152,180.0,DOH,CC1CNCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,214.96593,189.99998,DOH,CC1CNCCN1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,130.17387,199.99991,DOH,CC1CNCCN1
50.0,1.7179967,99.0,250.0,0.0,0.0,0.0,0.52941185,7.107843,0.52941173,175.0,72.0,Dense/Amorphous,CCCC[N+]1(C2CCCCC2)CCCC1
25.0,1.7179967,99.0,250.0,0.0,0.0,0.0,0.5192309,6.9711537,0.5192306,150.0,192.0,Dense/Amorphous,CCCC[N+]1(C2CCCCC2)CCCC1
1.0,1.7179967,99.0,250.0,0.0,0.7500002,0.76,0.0,200.0,1.0,100.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
400.0,0.0,99.0,250.0,0.0,0.0,0.5,0.0,10.0,0.25,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
400.0,0.0,99.0,250.0,0.0,0.0,0.5,0.0,30.0,0.25,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
30.03003,1.7179967,99.0,250.0,0.0,0.0,0.48388657,0.0,9.6777315,0.24194328,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
30.03003,1.7179967,99.0,250.0,0.0,0.0,0.48388657,0.0,29.033195,0.24194328,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
14.992504,1.7179967,99.0,250.0,0.0,0.0,0.46873534,0.0,9.374707,0.23436768,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
14.992504,1.7179967,99.0,250.0,0.0,0.0,0.46873534,0.0,28.124123,0.23436768,175.0,336.0,Dense/Amorphous,C[N+]1(CCC[N+]2(C)CCCCC2)CCCCC1
0.0,1.7011478,0.0,0.0,0.0,0.0,0.0,0.0,23.617023,0.3276596,180.0,120.0,Dense/Amorphous,C[N+](C)(C)CCCN
0.0,1.7011478,0.0,0.0,0.0,0.0,0.0,0.0,23.617023,0.3276596,220.0,120.0,Dense/Amorphous,C[N+](C)(C)CCCN
15.629031,1.7179967,99.0,250.0,0.0,0.0,0.0,0.46556747,4.4616876,0.52376336,150.0,240.0,Dense/Amorphous,c1ccc(CC[NH+]2CCCC2)cc1
15.629031,1.7179967,99.0,250.0,0.0,0.0,0.0,0.46556747,4.4616876,0.52376336,150.0,1080.0002,Dense/Amorphous,c1ccc(CC[NH+]2CCCC2)cc1
15.629031,1.7179967,99.0,250.0,0.0,0.0,0.0,0.46556747,4.4616876,0.52376336,150.0,2352.0095,Dense/Amorphous,c1ccc(CC[NH+]2CCCC2)cc1
60.0,1.7179967,99.0,250.0,0.098360665,0.0,0.1967213,0.0,4.9180326,0.1967213,125.0,168.0,MFI,CCCC[N+]1(C)CCCC1
15.151515,1.7179967,99.0,250.0,0.0,0.0,0.37523448,0.0,14.071295,0.3752345,150.0,336.0,MFI,CCCC[N+]1(C)CCCC1
29.411764,1.7179967,99.0,250.0,0.0,0.0,0.3868472,0.0,14.50677,0.38684717,150.0,336.0,MFI,CCCC[N+]1(C)CCCC1
400.0,0.0,99.0,250.0,0.1,0.0,0.3,0.0,50.0,0.1,150.0,347.9999,MTW,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,3.5,0.5,150.0,180.0,BEA,C1CC[N+]2(CC1)CCCC2
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,7.0,0.5,150.0,180.0,BEA,C1CC[N+]2(CC1)CCCC2
5.0,1.7179967,99.0,250.0,0.45000008,0.0,0.36,0.0,8.333333,0.08333333,110.0,360.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,20.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,24.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,48.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,72.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,96.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.08083333,100.0,120.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.31120312,0.0,0.0,0.0,12.448132,0.049792536,100.0,144.0,FAU,C1COCCOCCOCCOCCOCCO1
5.0,1.7179967,99.0,250.0,0.625,0.0,0.5,0.0,11.25,0.08083333,100.0,264.0,FAU,C1COCCOCCOCCOCCOCCO1
