Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda
400.0,0.0,99.0,9.091,0.0,0.0,0.049953256,0.0,27.293482,0.26343888,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,2.0,6.6,0.0,0.0,0.0,0.0,26.22407,0.29,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,7.45698,0.0,0.050996803,0.038369972,0.0,26.682747,0.2702594,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.011078722,0.051544517,0.0,26.574999,0.2696283,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.0633632,0.0,26.244614,0.26713726,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
45.90545,1.7179967,99.0,250.0,0.0,0.13113172,0.19378355,0.0,40.7799,0.1934368,165.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.997268,0.0,0.03400716,0.034345023,0.0,25.995401,0.26832655,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.173429,0.0,0.07520594,0.06085041,0.0,26.674255,0.26067057,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.091,0.0,0.0,0.069203466,0.0,28.170107,0.2777778,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,6.464796,0.0,0.09376754,0.0,0.0,27.272728,0.2857143,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.040131666,0.0,29.850746,0.2784668,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,12.617099,0.0,0.048847865,0.047898695,0.0,27.272728,0.26893118,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,8.7763405,0.0,0.044931002,0.03142525,0.0,26.666666,0.27933875,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.0,0.0,25.0,0.28570423,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.07982148,0.0,25.98709,0.27005115,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.08626288,0.0016509751,0.0,28.165026,0.270145,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.259392,0.0,0.09869571,0.064193785,0.0,27.777779,0.2701629,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,4.0,0.0,0.030041862,0.0,0.0,27.072632,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,12.257917,0.0,0.07020531,0.042408746,0.0,29.162497,0.2667677,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,8.874891,0.0,0.059215523,0.06300562,0.0,27.272728,0.2611657,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,18.067575,0.0,0.0962486,0.03989296,0.0,26.562489,0.2686699,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.0201709,0.0,25.950651,0.26026833,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.094197184,0.062976226,0.0,29.121384,0.27018896,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.025504515,0.06337285,0.0,29.621784,0.26708394,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.055907797,0.036400694,0.0,28.149298,0.26704103,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.04637997,0.0398518,0.0,25.6982,0.27701914,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.01938596,0.0,26.453783,0.2628534,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,11.041134,0.0,0.08256571,0.0,0.0,25.60999,0.27015197,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.524493,0.0,0.10043011,0.03994489,0.0,26.287512,0.27894908,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
29.154903,1.7179967,99.0,250.0,0.0,0.19685039,0.1962658,0.0,40.0,0.19607843,160.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.047211766,0.05559793,0.0,27.398296,0.29104123,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,6.5767803,0.0,0.09695845,0.0626729,0.0,25.0,0.2620255,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.0,0.0,0.0,27.464428,0.28872007,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,12.832112,0.0,0.06290361,0.024565548,0.0,28.384394,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.10136879,0.06446951,0.0,26.79085,0.28249246,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,8.7694,0.0,0.0019241254,0.040591743,0.0,27.777779,0.2621288,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
50.0,1.7179967,99.0,250.0,0.0,0.0,0.23974925,0.0,24.004162,0.29010656,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.091,0.0,0.09729628,0.0,0.0,25.641026,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,57.493305,0.0,0.060970195,0.035289686,0.0,29.620974,0.26208028,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.07763986,0.0,0.0,28.162712,0.2711398,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.04887475,0.06856945,0.0,27.773436,0.26041114,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.040938843,0.040253583,0.0,27.165491,0.26902792,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.091,0.0,0.09375808,0.0796146,0.0,29.336578,0.28235054,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.052695375,0.0,0.0,26.666666,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
34.986015,1.7179967,99.0,4.143067,0.0,0.019693349,0.0,0.0,26.674469,0.25,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,6.7247324,0.0,0.064183645,0.007133312,0.0,27.272728,0.27217445,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,6.106679,0.0,0.08776647,0.06377633,0.0,25.540247,0.26523915,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,4.0,0.0,0.0,0.0,0.0,25.02938,0.26084065,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,6.3832793,0.0,0.046843875,0.0,0.0,26.040813,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.09318533,0.062157888,0.0,26.243599,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.794923,0.0,0.018719278,0.0,0.0,25.641026,0.26584256,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.07813856,0.0,0.0,25.661108,0.2700754,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,8.545871,0.0,0.0,0.067355186,0.0,25.641026,0.2777778,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.12833881,0.0,0.0,25.641026,0.27995363,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.491403,0.0,0.036063276,9.21951e-05,0.0,26.666666,0.279029,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
