Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda
400.0,0.0,99.0,10.000007,0.0,0.018181935,0.018181864,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.999998,0.0,0.027272433,0.027272787,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.999998,0.0,0.0363637,0.03636369,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.999998,0.0,0.045454636,0.045454465,0.0,27.272728,0.27272737,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.054545555,0.054545492,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.009090868,0.0,0.0,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.000007,0.01818179,0.0,0.0,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.000007,0.0,0.0,0.009090728,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.000007,0.0,0.0,0.018181864,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.999998,0.0,0.0,0.03636369,0.0,27.272728,0.27272728,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.053333446,0.053333394,0.0,26.666666,0.2666667,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.08888886,0.088888876,0.0,26.666666,0.2666667,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.03571432,0.035714306,0.0,26.785717,0.26785713,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,9.999998,0.0,0.053571526,0.053571448,0.0,26.785717,0.26785713,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.036036007,0.03603601,0.0,27.027021,0.27027032,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
400.0,0.0,99.0,10.0,0.0,0.05405394,0.05405406,0.0,27.027021,0.27027032,170.0,168.0,MWW,CCCCCCC[N+](C)(C)C
