Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,K,OH,F,H2O,sda1
4.83698,1.7179967,99.0,250.0,1.668971,0.0,0.93797445,0.0,4.905229,0.0,80.0,3.0,FAU,OSDA-free,0.20674056952892095,0.20674056952892095,1.0,0.0001,0.0001,0.0001,0.0001,1.7403248282869426,0.0001,0.9780758465148822,0.0001,5.11494316985324,0.0001
2.0,1.7179967,99.0,250.0,1.920999,0.0,2.2731369,0.0,200.0,0.0,51.72114,168.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.814871361074284,0.0001,3.3308648050369514,0.0001,293.063282289505,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.0634449,0.0,29.066734,0.0,65.0,168.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,2.305583005525023,0.0001,2.476546575129545,0.0001,34.88589423342562,0.0001
1.0,1.7179967,99.0,250.0,1.920999,0.0,1.9700077,0.0,39.215687,0.0,80.0,8.0,FAU,OSDA-free,1.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,2.305583005525023,0.0001,2.3644032474110803,0.0001,47.06666765427186,0.0001
400.0,0.0,99.0,250.0,0.98701245,0.0,0.92241526,0.0,26.666666,0.0,100.0,16.0,FAU,OSDA-free,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,1.6452181721001755,0.0001,1.5375432680454113,0.0001,44.449777196352386,0.0001
5.0,1.7179967,99.0,250.0,0.7044828,0.0,0.9285067,0.0,24.992527,0.0,110.0,12.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,0.8388108360737607,0.0001,1.1055507406668958,0.0001,29.758004692898165,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,0.0,433.53006,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,inf,,inf,,inf,
5.0,1.7179967,99.0,250.0,0.9677419,0.0,0.6751133,0.0,39.268436,0.0,100.0,24.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,1.0091159498538798,0.0001,0.7039765447672436,0.0001,40.947286764597344,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,1.5345781,0.0,74.05058,0.0,64.757935,168.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.0750631163649857,0.0001,1.6576512608759606,0.0001,79.98943638358723,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,1.5144535,0.0,53.927147,0.0,0.0,2.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.401632434547916,0.0001,1.8933693594919168,0.0001,67.41970471501202,0.0001
1.1867981,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,60.0,0.0,80.0,5.0,FAU,OSDA-free,0.8426033037969979,0.8426033037969979,1.0,0.0001,0.0001,0.0001,0.0001,inf,,inf,,inf,
2.4717212,1.7179967,99.0,250.0,1.0,0.0,1.0826287,0.0,15.035784,0.0,100.0,168.0,FAU,OSDA-free,0.4045763737431228,0.4045763737431228,1.0,0.0001,0.0001,0.0001,0.0001,1.1335333402872085,0.0001,1.2271957266017983,0.0001,17.043562461356967,0.0001
2.9944892,1.7179967,99.0,250.0,0.9237032,0.0,0.79988563,0.0,38.70404,0.0,50.0,1.0,FAU,OSDA-free,0.3339467712890733,0.3339467712890733,1.0,0.0001,0.0001,0.0001,0.0001,1.5380906864433084,0.0001,1.3319176957737489,0.0001,64.44745828717413,0.0001
2.5,1.7179967,99.0,250.0,0.9442087,0.0,0.8492246,0.0,20.0,0.0,90.0,15.143271,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,1.5738700271664081,0.0001,1.4155441951259102,0.0001,33.33733373069763,0.0001
6.4935064,1.7179967,99.0,250.0,0.8617483,0.0,1.2184137,0.0,5.684158,0.0,65.0,14.020194,FAU,OSDA-free,0.15400000221760002,0.15400000221760002,1.0,0.0001,0.0001,0.0001,0.0001,0.86200682449,0.0001,1.21877922411,0.0001,5.6858632473999995,0.0001
5.0,1.7179967,99.0,250.0,1.7094017,0.0,1.0,0.0,6.3387136,0.0,50.0,10.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,2.5608823679819874,0.0001,1.4981161935091019,0.0001,9.496129490176376,0.0001
3.0736732,1.7179967,99.0,250.0,1.7094017,0.0,1.2901487,0.0,38.13506,0.0,100.0,14.0,FAU,OSDA-free,0.3253436311967063,0.3253436311967063,1.0,0.0001,0.0001,0.0001,0.0001,1.8616903126448308,0.0001,1.4050865496748495,0.0001,41.53246821629427,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,143.4533,0.0,101.19616,1.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.1043354746094796,0.0001,2.6664799054164097,0.0001,157.14420889328736,0.0001
3.8151658,1.7179967,99.0,250.0,1.8409921,0.0,2.0390632,0.0,47.789,0.0,100.0,6.981606,FAU,OSDA-free,0.26211180651703264,0.26211180651703264,1.0,0.0001,0.0001,0.0001,0.0001,2.769220551206869,0.0001,3.0671591250443946,0.0001,71.88421988428145,0.0001
2.5,1.7179967,99.0,250.0,1.6601355,0.0,1.4325993,0.0,25.53682,0.0,86.03466,48.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.7561579901566535,0.0001,2.3784022493271353,0.0001,42.3962444548606,0.0001
5.0,1.7179967,99.0,250.0,1.2778023,0.0,0.9084067,0.0,33.467323,0.0,80.0,4.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,1.7891787880762953,0.0001,1.271951066754526,0.0001,46.86094586408079,0.0001
2.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,61.170395,0.0,50.48577,120.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,inf,,inf,,inf,
2.5,1.7179967,99.0,250.0,1.8768368,0.0,1.0842624,0.0,19.337542,0.0,50.0,168.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,1.9570775535839837,0.0001,1.1306180725117383,0.0001,20.164283537965332,0.0001
2.0,1.7179967,99.0,250.0,1.920999,0.0,0.7997427,0.0,32.712177,0.0,100.0,0.17815784,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.683684631090656,0.0001,1.1172609630806396,0.0001,45.699746155212594,0.0001
5.0,1.7179967,99.0,250.0,1.754071,0.0,1.9074705,0.0,4.7965794,0.0,90.0,16.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,2.3402815131446877,0.0001,2.5449471247280493,0.0001,6.399596194310628,0.0001
7.5,1.7179967,99.0,250.0,1.920999,0.0,1.0902702,0.0,4.7622676,0.0,57.987717,6.0,FAU,OSDA-free,0.13333333333333333,0.13333333333333333,1.0,0.0001,0.0001,0.0001,0.0001,2.8844435026551936,0.0001,1.637076747321877,0.0001,7.150702231872762,0.0001
4.4619246,1.7179967,99.0,250.0,1.1419469,0.0,0.9917481,0.0,42.04607,0.0,73.050285,2.0,FAU,OSDA-free,0.22411853396177964,0.22411853396177964,1.0,0.0001,0.0001,0.0001,0.0001,1.71314873938,0.0001,1.48782049962,0.0001,63.077514214,0.0001
2.5,1.7179967,99.0,250.0,1.7100118,0.0,0.6,0.0,6.3636365,0.0,96.73205,1.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.422859211662455,0.0001,0.8501201728534699,0.0001,9.01642626892775,0.0001
2.5498738,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,77.47359,24.0,FAU,OSDA-free,0.39217627162567814,0.39217627162567814,1.0,0.0001,0.0001,0.0001,0.0001,2.11237578299731,0.0001,2.6766680721836313,0.0001,219.92471448421477,0.0001
5.0,1.7179967,99.0,250.0,0.615104,0.0,0.0,0.0,10.0,0.0,100.0,105.18242,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,0.6738083506416137,0.0001,0.0001,0.0001,10.954380895614623,0.0001
2.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,80.0,24.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.1775164131583873,0.0001,2.7592101304468977,0.0001,226.7066680574417,0.0001
3.5398757,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,90.0,1.0,FAU,OSDA-free,0.28249579497946775,0.28249579497946775,1.0,0.0001,0.0001,0.0001,0.0001,2.0281053529492508,0.0001,2.5698859497249247,0.0001,211.1511097037792,0.0001
3.7853162,1.7179967,99.0,250.0,0.9678546,0.0,0.76,0.0,38.70968,0.0,100.0,168.0,FAU,OSDA-free,0.2641787230350796,0.2641787230350796,1.0,0.0001,0.0001,0.0001,0.0001,1.21001182092,0.0001,0.950152,0.0001,48.394841936,0.0001
2.0,1.7179967,99.0,250.0,1.6876069,0.0,1.2241544,0.0,4.5454545,0.0,100.0,4.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.0254658064094606,0.0001,1.4692301145282642,0.0001,5.45545450444651,0.0001
10.0,1.7179967,99.0,250.0,1.7094017,0.0,0.9711597,0.0,4.692926,0.0,82.462555,12.0,FAU,OSDA-free,0.1,0.1,1.0,0.0001,0.0001,0.0001,0.0001,1.9376638188936326,0.0001,1.1008418986933233,0.0001,5.319588084500689,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,90.0,8.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,3.037483447507307,0.0001,3.848905592068808,0.0001,316.2399821662903,0.0001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,206.65208,65.0,FAU,OSDA-free,inf,inf,1.0,inf,inf,inf,inf,0.0001,0.0001,0.0001,0.0001,200.06,0.0001
1.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,50.0,0.0,62.72576,168.0,FAU,OSDA-free,1.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,5.7633811998,0.0001,7.302989633520001,0.0001,150.01000000000002,0.0001
3.4543197,1.7179967,99.0,250.0,0.8530251,0.0,0.9801864,0.0,17.331022,0.0,100.0,6.0,FAU,OSDA-free,0.2894926025521031,0.2894926025521031,1.0,0.0001,0.0001,0.0001,0.0001,1.023800727562213,0.0001,1.176419720201183,0.0001,20.800692656050472,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,1.6038299,0.0,4.5454545,0.0,80.0,4.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,2.8818826998,0.0001,2.40606561598,0.0001,6.8190908408999995,0.0001
2.5,1.7179967,99.0,250.0,1.8794967,0.0,1.7777778,0.0,42.429848,0.0,100.0,0.0,FAU,OSDA-free,0.4,0.4,1.0,0.0001,0.0001,0.0001,0.0001,2.81962094934,0.0001,2.66702225556,0.0001,63.6532579696,0.0001
2.6169412,1.7179967,99.0,250.0,1.7094017,0.0,1.7256788,0.0,6.028037,0.0,80.0,10.0,FAU,OSDA-free,0.38212551355758395,0.38212551355758395,1.0,0.0001,0.0001,0.0001,0.0001,2.8493447476360934,0.0001,2.876476503379491,0.0001,10.047934060499669,0.0001
5.0,1.7179967,99.0,250.0,0.97333497,0.0,0.6266416,0.0,19.222973,0.0,100.0,24.0,FAU,OSDA-free,0.2,0.2,1.0,0.0001,0.0001,0.0001,0.0001,1.1097965188703316,0.0001,0.71449674335582,0.0001,21.918033539613166,0.0001
0.91536814,1.7179967,99.0,250.0,1.7464943,0.0,2.4341676,0.0,147.6747,0.0,100.0,8.0,FAU,OSDA-free,1.0924566371733235,1.0924566371733235,1.0,0.0001,0.0001,0.0001,0.0001,1.8865631397370248,0.0001,2.629387837167369,0.0001,159.51821067593707,0.0001
