Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,K,OH,F,H2O,sda1
23.500004,1.7179967,99.0,250.0,1.0102042,0.0,0.808163,0.0,4.7959185,0.0,90.0,8.0,FAU,OSDA-free,0.04255318641662598,0.04255318641662598,1.0,0.0001,0.0001,0.0001,0.0001,1.053393644285688,0.0001,0.8427145300803641,0.0001,5.0009592608192195,0.0001
2.1499994,1.7179967,99.0,250.0,1.920999,0.0,1.9301593,0.0,51.015896,0.0,100.0,48.0,FAU,OSDA-free,0.465116411447525,0.465116411447525,1.0,0.0001,0.0001,0.0001,0.0001,2.814871434545807,0.0001,2.828294143496857,0.0001,74.75442942418671,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,144.16673,0.0,65.0,12.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,2.3055830657035083,0.0001,2.9214879890029657,0.0001,173.02891312191107,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,144.16673,0.0,65.0,6.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,2.3055830657035083,0.0001,2.9214879890029657,0.0001,173.02891312191107,0.0001
1.5,1.7179967,99.0,250.0,1.2000016,0.0,0.96000004,0.0,23.400002,0.0,100.0,2.0,FAU,OSDA-free,0.6666666865348816,0.6666666865348816,1.0,0.0001,0.0001,0.0001,0.0001,2.0002426865021703,0.0001,1.6001920826594043,0.0001,39.00468300835295,0.0001
5.2500024,1.7179967,99.0,250.0,1.4399991,0.0,1.1520002,0.0,4.2,0.0,90.0,8.0,FAU,OSDA-free,0.19047610461711884,0.19047610461711884,1.0,0.0001,0.0001,0.0001,0.0001,1.7145725232624642,0.0001,1.3716590973513305,0.0001,5.000839412288455,0.0001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,25.0,132.20097,FAU,OSDA-free,inf,inf,1.0,inf,inf,inf,inf,,,,,inf,
23.500004,1.7179967,99.0,250.0,1.0102042,0.0,0.808163,0.0,4.7959185,0.0,90.0,8.0,FAU,OSDA-free,0.04255318641662598,0.04255318641662598,1.0,0.0001,0.0001,0.0001,0.0001,1.053393644285688,0.0001,0.8427145300803641,0.0001,5.0009592608192195,0.0001
12.5,1.7179967,99.0,250.0,1.6296314,0.0,0.0,0.27777743,36.66666,0.0,100.0,10.0,FAU,OSDA-free,0.07999999821186066,0.07999999821186066,1.0,0.0001,0.0001,0.0001,0.0001,1.760327835483018,0.0001,0.0001,0.3000551830569909,39.60732640004159,0.0001
4.0000043,1.7179967,99.0,250.0,0.9756102,0.0,0.7804878,0.0,16.87805,0.0,100.0,72.0,FAU,OSDA-free,0.2499997317790985,0.2499997317790985,1.0,0.0001,0.0001,0.0001,0.0001,1.2197076060983012,0.0001,0.9757656079652911,0.0001,21.10093339600418,0.0001
0.0,1.7179967,0.0,0.0,1.0,0.0,0.8,0.0,12.5,0.0,90.0,4.0,FAU,OSDA-free,inf,inf,1.0,inf,inf,inf,inf,inf,,inf,,inf,
7.5,1.7179967,99.0,250.0,1.920999,0.0,1.6000001,0.0,21.176474,0.0,0.0,0.0,FAU,OSDA-free,0.13333334028720856,0.13333334028720856,1.0,0.0001,0.0001,0.0001,0.0001,2.1775164699941807,0.0001,1.8136535066127786,0.0001,24.004238875209605,0.0001
1.503906,1.7179967,99.0,250.0,1.5600625,0.0,1.2480499,0.0,31.20125,0.0,100.0,15.0,FAU,OSDA-free,0.6649351716041565,0.6649351716041565,1.0,0.0001,0.0001,0.0001,0.0001,2.597714984702612,0.0001,2.0781717098626764,0.0001,51.95429890005392,0.0001
1.5,1.7179967,99.0,250.0,0.5,0.0,0.4,0.0,23.749998,0.0,100.0,168.0,FAU,OSDA-free,0.6666666865348816,0.6666666865348816,1.0,0.0001,0.0001,0.0001,0.0001,0.8334333432674408,0.0001,0.6667466845492523,0.0001,39.588080625907544,0.0001
400.0,1.7179967,99.0,250.0,0.024987513,0.0,0.019989982,0.0,0.9995003,0.0,90.0,12.0,FAU,OSDA-free,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.02499500945340842,0.0001,0.019995979242026805,0.0001,0.9998001247406005,0.0001
4.031995,1.7179967,4.0,250.0,0.38079494,0.0,0.30463573,0.0,17.301323,0.0,60.0,0.0,FAU,OSDA-free,0.24801619350910187,0.24801619350910187,1.0,0.25,0.25,0.0001,0.0001,0.5704750695843419,0.0001,0.45637972527714443,0.0001,25.91939206106771,0.0001
11.250007,1.7179967,99.0,250.0,1.5102035,0.0,1.2081622,0.0,4.591837,0.0,90.0,8.0,FAU,OSDA-free,0.08888883888721466,0.08888883888721466,1.0,0.0001,0.0001,0.0001,0.0001,1.6447457553013412,0.0001,1.3157959550935392,0.0001,5.000918349713956,0.0001
10.500001,1.7179967,99.0,250.0,1.217393,0.0,0.97391313,0.0,4.565217,0.0,90.0,8.0,FAU,OSDA-free,0.0952380895614624,0.0952380895614624,1.0,0.0001,0.0001,0.0001,0.0001,1.3335787067027713,0.0001,1.0668615419704963,0.0001,5.000912608771,0.0001
1.9841264,1.7179967,99.0,250.0,1.920999,0.0,2.1276581,0.0,46.01063,0.0,65.0,12.0,FAU,OSDA-free,0.5040001273155212,0.5040001273155212,1.0,0.0001,0.0001,0.0001,0.0001,2.889567015794156,0.0001,3.20042362813221,0.0001,69.20919785234386,0.0001
1.5151501,1.7179967,99.0,250.0,1.4096391,0.0,1.1277113,0.0,36.14458,0.0,60.0,60.0,FAU,OSDA-free,0.6600006222724915,0.6600006222724915,1.0,0.0001,0.0001,0.0001,0.0001,2.3402837443728695,0.0001,1.8722269954982955,0.0001,60.007255604113574,0.0001
2.5,1.7179967,99.0,250.0,0.85714245,0.0,0.68571424,0.0,28.57143,0.0,100.0,12.0,FAU,OSDA-free,0.4000000059604645,0.4000000059604645,1.0,0.0001,0.0001,0.0001,0.0001,1.2001708613940623,0.0001,0.9601370897156849,0.0001,40.005716745158615,0.0001
0.0,1.7179967,0.0,0.0,1.333334,0.0,1.0666671,0.0,16.666666,0.0,132.83252,0.0027780046,FAU,OSDA-free,inf,inf,1.0,inf,inf,inf,inf,inf,,inf,,inf,
23.500004,1.7179967,99.0,250.0,1.0102042,0.0,0.808163,0.0,4.7959185,0.0,90.0,8.0,FAU,OSDA-free,0.04255318641662598,0.04255318641662598,1.0,0.0001,0.0001,0.0001,0.0001,1.053393644285688,0.0001,0.8427145300803641,0.0001,5.0009592608192195,0.0001
2.5199993,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,136.36362,0.0,80.0,5.0,FAU,OSDA-free,0.39682552218437195,0.39682552218437195,1.0,0.0001,0.0001,0.0001,0.0001,2.683684701138048,0.0001,3.4005942953321764,0.0001,190.5034531672463,0.0001
2.994012,1.7179967,99.0,250.0,0.749625,0.0,0.59970015,0.0,16.866568,0.0,80.0,8.999997,FAU,OSDA-free,0.33399999141693115,0.33399999141693115,1.0,0.0001,0.0001,0.0001,0.0001,1.0001497048290966,0.0001,0.8001199388172137,0.0001,22.50337436275567,0.0001
1.994682,1.7179967,99.0,250.0,0.8880997,0.0,0.71047956,0.0,15.364121,0.0,65.0,168.0,FAU,OSDA-free,0.5013330578804016,0.5013330578804016,1.0,0.0001,0.0001,0.0001,0.0001,1.3335110138135386,0.0001,1.0668085425557974,0.0001,23.069736243053683,0.0001
2.0,1.7179967,99.0,250.0,1.333334,0.0,1.0666671,0.0,23.06666,0.0,65.0,24.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.0002676204681396,0.0001,1.6002139533042907,0.0001,34.60460322303772,0.0001
2.3999984,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,143.38235,0.0,90.0,24.0,FAU,OSDA-free,0.4166669547557831,0.4166669547557831,1.0,0.0001,0.0001,0.0001,0.0001,2.7218000742611532,0.0001,3.4488916681017585,0.0001,203.15372032097466,0.0001
10.057977,1.7179967,99.0,250.0,1.310617,0.0,1.0484927,0.0,10.484927,0.0,50.0,264.0,FAU,OSDA-free,0.09942357242107391,0.09942357242107391,1.0,0.0001,0.0001,0.0001,0.0001,1.4411853146955413,0.0001,1.1529472555078124,0.0001,11.529473079419503,0.0001
10.500001,1.7179967,99.0,250.0,1.478261,0.0,1.1826097,0.0,15.652173,0.0,60.0,16.0,FAU,OSDA-free,0.0952380895614624,0.0952380895614624,1.0,0.0001,0.0001,0.0001,0.0001,1.6193433990940538,0.0001,1.2954756856145764,0.0001,17.145986534939645,0.0001
7.5,1.7179967,99.0,250.0,0.7764701,0.0,0.7764706,0.0,35.294113,0.0,100.0,6.4999986,FAU,OSDA-free,0.13333334028720856,0.13333334028720856,1.0,0.0001,0.0001,0.0001,0.0001,0.880154774108818,0.0001,0.8801553146196347,0.0001,40.00705398179967,0.0001
18.000002,1.7179967,99.0,250.0,0.8947365,0.0,0.7157897,0.0,9.473683,0.0,60.0,16.0,FAU,OSDA-free,0.0555555485188961,0.0555555485188961,1.0,0.0001,0.0001,0.0001,0.0001,0.9446230543172521,0.0001,0.7556989217061034,0.0001,10.001893769315954,0.0001
4.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,66.59995,0.0,90.0,8.0,FAU,OSDA-free,0.25,0.25,1.0,0.0001,0.0001,0.0001,0.0001,2.401633012485504,0.0001,3.0431963629245757,0.0001,83.26326086273193,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,57.666656,0.0,65.0,12.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,2.3055830657035083,0.0001,2.9214879890029657,0.0001,69.2115212961276,0.0001
7.5,1.7179967,99.0,250.0,1.920999,0.0,1.6000001,0.0,21.176474,0.0,0.0,0.0,FAU,OSDA-free,0.13333334028720856,0.13333334028720856,1.0,0.0001,0.0001,0.0001,0.0001,2.1775164699941807,0.0001,1.8136535066127786,0.0001,24.004238875209605,0.0001
1.7211707,1.7179967,99.0,250.0,1.66983,0.0,1.3358634,0.0,33.206825,0.0,100.0,3.0,FAU,OSDA-free,0.5809999108314514,0.5809999108314514,1.0,0.0001,0.0001,0.0001,0.0001,2.640334991188906,0.0001,2.112267012783791,0.0001,52.5066291343325,0.0001
400.0,1.7179967,99.0,250.0,0.024987513,0.0,0.019989982,0.0,0.9995003,0.0,90.0,6.0,FAU,OSDA-free,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.02499500945340842,0.0001,0.019995979242026805,0.0001,0.9998001247406005,0.0001
0.5,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,200.0,0.0,120.0,2.0,FAU,OSDA-free,2.0,2.0,1.0,0.0001,0.0001,0.0001,0.0001,5.763381350231171,0.0001,7.302989704084397,0.0001,600.0400000000001,0.0001
5.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,144.16673,0.0,65.0,24.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,2.3055830657035083,0.0001,2.9214879890029657,0.0001,173.02891312191107,0.0001
2.0,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,115.33342,0.0,65.0,168.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.8818827750205993,0.0001,3.65173826880455,0.0001,173.023196383667,0.0001
2.0,1.7179967,99.0,250.0,1.333334,0.0,1.0666671,0.0,23.06666,0.0,65.0,168.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.0002676204681396,0.0001,1.6002139533042907,0.0001,34.60460322303772,0.0001
1.5,1.7179967,99.0,250.0,1.2799988,0.0,1.0240005,0.0,30.0,0.0,75.0,600.0,FAU,OSDA-free,0.6666666865348816,0.6666666865348816,1.0,0.0001,0.0001,0.0001,0.0001,2.1335873240152754,0.0001,1.706872362907738,0.0001,50.00600059604645,0.0001
7.142858,1.7179967,99.0,250.0,1.5789459,0.0,1.569999,0.0,15.789474,0.0,50.0,50.0,FAU,OSDA-free,0.13999998569488525,0.13999998569488525,1.0,0.0001,0.0001,0.0001,0.0001,1.800314064279377,0.0001,1.790112814044967,0.0001,18.003157497175117,0.0001
12.5,1.7179967,99.0,250.0,0.81481445,0.0,0.8148146,0.0,37.03704,0.0,100.0,6.4999986,FAU,OSDA-free,0.07999999821186066,0.07999999821186066,1.0,0.0001,0.0001,0.0001,0.0001,0.8801625656578282,0.0001,0.8801627588126397,0.0001,40.00741130919985,0.0001
2.0,1.7179967,99.0,250.0,1.8333344,0.0,1.4666667,0.0,31.666674,0.0,60.0,48.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.7503683358192443,0.0001,2.200293381023407,0.0001,47.506343825149536,0.0001
400.0,1.7179967,99.0,250.0,0.024987513,0.0,0.019989982,0.0,0.9995003,0.0,90.0,24.0,FAU,OSDA-free,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.02499500945340842,0.0001,0.019995979242026805,0.0001,0.9998001247406005,0.0001
2.0,1.7179967,99.0,250.0,0.83333313,0.0,0.6666667,0.0,27.166666,0.0,100.0,24.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,1.2501663686037063,0.0001,1.0001333631396294,0.0001,40.75543237953186,0.0001
5.0,1.7179967,99.0,250.0,1.6666662,0.0,1.3333341,0.0,28.833334,0.0,65.0,24.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,2.000332718308765,0.0001,1.6002675767819108,0.0001,34.60576751566331,0.0001
1.6727288,1.7179967,99.0,250.0,1.3605454,0.0,1.0884356,0.0,23.537416,0.0,100.0,24.0,FAU,OSDA-free,0.5978255271911621,0.5978255271911621,1.0,0.0001,0.0001,0.0001,0.0001,2.1741862749965146,0.0001,1.7393479532000802,0.0001,37.61339234422094,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,135.71436,0.0,80.0,12.0,FAU,OSDA-free,0.4000000059604645,0.4000000059604645,1.0,0.0001,0.0001,0.0001,0.0001,2.689782881456608,0.0001,3.40832152096133,0.0001,190.02724133626435,0.0001
1.5,1.7179967,99.0,250.0,0.7999998,0.0,0.64000005,0.0,26.64,0.0,100.0,24.0,FAU,OSDA-free,0.6666666865348816,0.6666666865348816,1.0,0.0001,0.0001,0.0001,0.0001,1.3334929716865176,0.0001,1.0667947548906018,0.0001,44.40532751191456,0.0001
4.0363564,1.7179967,99.0,250.0,1.2033707,0.0,0.9626957,0.0,20.818293,0.0,65.0,168.0,FAU,OSDA-free,0.24774819612503052,0.24774819612503052,1.0,0.0001,0.0001,0.0001,0.0001,1.501744282286729,0.0001,1.2013943844602581,0.0001,25.980150718783868,0.0001
2.994012,1.7179967,99.0,250.0,0.749625,0.0,0.59970015,0.0,16.866568,0.0,80.0,8.999997,FAU,OSDA-free,0.33399999141693115,0.33399999141693115,1.0,0.0001,0.0001,0.0001,0.0001,1.0001497048290966,0.0001,0.8001199388172137,0.0001,22.50337436275567,0.0001
6.249997,1.7179967,99.0,250.0,1.3103454,0.0,1.0482751,0.0,4.3103447,0.0,90.0,8.0,FAU,OSDA-free,0.16000007092952728,0.16000007092952728,1.0,0.0001,0.0001,0.0001,0.0001,1.5202628391332054,0.0001,1.2162088605789771,0.0001,5.00086222208203,0.0001
5.0,1.7179967,99.0,250.0,0.53333336,0.0,0.0,0.0,11.666666,0.0,110.0,144.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,0.6401067016402882,0.0001,0.0001,0.0001,14.002332605036097,0.0001
1.5,1.7179967,99.0,250.0,1.920999,0.0,1.7582425,0.0,38.021984,0.0,80.0,168.0,FAU,OSDA-free,0.6666666865348816,0.6666666865348816,1.0,0.0001,0.0001,0.0001,0.0001,3.2020493215441515,0.0001,2.9307558299430707,0.0001,63.377578652818684,0.0001
5.0,1.7179967,99.0,250.0,1.4166654,0.0,1.1333336,0.0,15.0,0.0,70.0,48.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,1.700281859113769,0.0001,1.3602269466559098,0.0001,18.003000044703484,0.0001
5.0,1.7179967,99.0,250.0,0.7666667,0.0,0.6133332,0.0,15.0,0.0,100.0,1.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,0.9201533880790076,0.0001,0.7361225387732184,0.0001,18.003000044703484,0.0001
16.900002,1.7179967,99.0,250.0,0.56648034,0.0,0.45318434,0.0,0.0,0.0,70.0,336.0,FAU,OSDA-free,0.05917159095406532,0.05917159095406532,1.0,0.0001,0.0001,0.0001,0.0001,0.6001131775187595,0.0001,0.48009061147282167,0.0001,0.0001,0.0001
2.0,1.7179967,99.0,250.0,1.831501,0.0,1.4652008,0.0,31.684977,0.0,65.0,168.0,FAU,OSDA-free,0.5,0.5,1.0,0.0001,0.0001,0.0001,0.0001,2.747617810821533,0.0001,2.1980942128896714,0.0001,47.533801861953734,0.0001
12.5,1.7179967,99.0,250.0,0.81481445,0.0,0.8148146,0.0,37.03704,0.0,100.0,6.4999986,FAU,OSDA-free,0.07999999821186066,0.07999999821186066,1.0,0.0001,0.0001,0.0001,0.0001,0.8801625656578282,0.0001,0.8801627588126397,0.0001,40.00741130919985,0.0001
6.0,1.7179967,99.0,250.0,1.920999,0.0,2.0000017,0.0,57.142853,0.0,140.91812,1.0,FAU,OSDA-free,0.1666666716337204,0.1666666716337204,1.0,0.0001,0.0001,0.0001,0.0001,2.2415497678488445,0.0001,2.3337352906862976,0.0001,66.67809043479191,0.0001
5.0,1.7179967,99.0,250.0,0.0625,0.0,0.06249998,0.0,11.25,0.0,100.0,72.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,0.07501250018626451,0.0001,0.07501247783079738,0.0001,13.502250033527613,0.0001
2.5,1.7179967,99.0,250.0,1.920999,0.0,2.4341676,0.0,139.99992,0.0,25.0,336.0,FAU,OSDA-free,0.4000000059604645,0.4000000059604645,1.0,0.0001,0.0001,0.0001,0.0001,2.689782881456608,0.0001,3.40832152096133,0.0001,196.02789400768233,0.0001
5.0,1.7179967,99.0,250.0,0.8666673,0.0,0.69333327,0.0,15.0,0.0,100.0,7.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,1.0401740608294823,0.0001,0.8321385905186334,0.0001,18.003000044703484,0.0001
5.0,1.7179967,99.0,250.0,0.040000025,0.0,0.04,0.0,11.25,0.08083333,100.0,72.0,FAU,OSDA-free,0.20000000298023224,0.20000000298023224,1.0,0.0001,0.0001,0.0001,0.0001,0.048008030343800856,0.0001,0.04800799904614687,0.0001,13.502250033527613,0.09701616380761066
6.0,1.7179967,99.0,250.0,1.920999,0.0,2.0000017,0.0,57.142853,0.0,83.62865,1.0,FAU,OSDA-free,0.1666666716337204,0.1666666716337204,1.0,0.0001,0.0001,0.0001,0.0001,2.2415497678488445,0.0001,2.3337352906862976,0.0001,66.67809043479191,0.0001
