Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,Na/Si,K,K/Si,OH,OH/Si,F,F/Si,H2O,H2O/Si,sda1,sda1/Si,zeo,osda
5.0,1.7179967,99.0,250.0,0.4,0.0,0.0,0.0,13.810024,0.05833522,90.0,168.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,16.5720288,16.5720288,0.070002264,0.070002264,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.4935064,1.7179967,99.0,250.0,0.23207825,0.0,0.0,0.0,14.705882,0.14623357,200.0,120.0,0.15400000221760002,0.15400000221760002,1.0,0.0,0.0,0.0,0.0,0.26781830101465676,0.26781830101465676,0.0,0.0,0.0,0.0,0.0,0.0,16.970587860611765,16.970587860611765,0.16875354010428759,0.16875354010428759,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.915221,1.7179967,99.0,250.0,0.23779878,0.0,0.15217055,0.0,13.69095,0.06258392,110.0,413.26398,0.14460853817976316,0.14460853817976316,1.0,0.0,0.0,0.0,0.0,0.2721865139567311,0.2721865139567311,0.0,0.0,0.17417571078951055,0.17417571078951055,0.0,0.0,15.670778265792231,15.670778265792231,0.07163408918475925,0.07163408918475925,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.015513,1.7179967,99.0,250.0,0.0,0.38009965,0.59862596,0.0,18.838392,0.05,150.0,96.0,0.1662368612618741,0.1662368612618741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44328622278273694,0.44328622278273694,0.6981396606602762,0.6981396606602762,0.0,0.0,21.970027157300798,21.970027157300798,0.058311843063093706,0.058311843063093706,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.4935064,1.7179967,99.0,250.0,0.33321676,0.0,0.23801522,0.0,13.018894,0.064279236,120.0,144.0,0.15400000221760002,0.15400000221760002,1.0,0.0,0.0,0.0,0.0,0.3845321417789415,0.3845321417789415,0.0,0.0,0.27466956440782253,0.27466956440782253,0.0,0.0,15.0238037048707,15.0238037048707,0.07417823848654564,0.07417823848654564,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.6,1.7179967,99.0,250.0,0.34914836,0.0,0.0,0.0,13.746525,0.06705899,110.0,218.29024,0.15151515151515152,0.15151515151515152,1.0,0.0,0.0,0.0,0.0,0.40204962666666666,0.40204962666666666,0.0,0.0,0.0,0.0,0.0,0.0,15.829331818181819,15.829331818181819,0.07721944303030304,0.07721944303030304,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.4935064,1.7179967,99.0,250.0,0.1864228,0.0,0.33704135,0.0,12.744131,0.088348284,110.0,288.0,0.15400000221760002,0.15400000221760002,1.0,0.0,0.0,0.0,0.0,0.2151319116134112,0.2151319116134112,0.0,0.0,0.38894571864742294,0.38894571864742294,0.0,0.0,14.706727202261385,14.706727202261385,0.10195391993192116,0.10195391993192116,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
5.9988003,1.7179967,99.0,250.0,0.0,0.1,0.358147,0.0,15.0,0.05,127.4167,105.860985,0.166699998331333,0.166699998331333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666999983313331,0.11666999983313331,0.41785010430237196,0.41785010430237196,0.0,0.0,17.500499974969998,17.500499974969998,0.058334999916566654,0.058334999916566654,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
6.1281004,1.7179967,99.0,250.0,0.25,0.0,0.3,0.0,12.142273,0.0625,110.0,215.75084,0.16318270503531568,0.16318270503531568,1.0,0.0,0.0,0.0,0.0,0.2907956762588289,0.2907956762588289,0.0,0.0,0.34895481151059465,0.34895481151059465,0.0,0.0,14.123681953417277,14.123681953417277,0.07269891906470723,0.07269891906470723,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
7.3171577,1.7179967,99.0,250.0,0.29077592,0.0,0.0,0.0,15.758545,0.05,106.28062,168.0,0.1366650878660166,0.1366650878660166,1.0,0.0,0.0,0.0,0.0,0.3305148366561218,0.3305148366561218,0.0,0.0,0.0,0.0,0.0,0.0,17.912187937065575,17.912187937065575,0.05683325439330083,0.05683325439330083,UFI,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
