Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,Na/Si,K,K/Si,OH,OH/Si,F,F/Si,H2O,H2O/Si,sda1,sda1/Si
400.0,0.0,99.0,250.0,0.0,0.049999986,0.25,0.0,31.000006,0.2,150.0,504.0,AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999985843896866,0.049999985843896866,0.25,0.25,0.0,0.0,31.0000057220459,31.0000057220459,0.20000000298023224,0.20000000298023224
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,7.5,0.5,175.0,168.0,AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.5,7.5,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.11999981,0.26999995,0.0,44.0,0.15,150.0,144.0,AFI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999981105327606,0.11999981105327606,0.2699999511241913,0.2699999511241913,0.0,0.0,44.0,44.0,0.15000000596046448,0.15000000596046448
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,20.0,0.0,115.720856,660.1651,AFI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,20.0,20.0,0.0,0.0
2.4999998,1.7179967,99.0,250.0,0.0,0.0,2.2857168,0.0,28.57143,1.1428571,125.0,72.0,BPH,CC[N+](CC)(CC)CC,0.40000003576278687,0.40000003576278687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2000035626548566,3.2000035626548566,0.0,0.0,40.00000331061233,40.00000331061233,1.5999999455043223,1.5999999455043223
8.0,1.7179967,99.0,250.0,0.0,0.0,1.7777778,0.0,26.666666,0.8888889,150.0,96.0,UFI,CC[N+](CC)(CC)CC,0.125,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000000014901161,2.000000014901161,0.0,0.0,29.999999284744263,29.999999284744263,1.0000000074505806,1.0000000074505806
400.0,0.0,0.4999986,250.0,0.0,0.0,0.5,0.0,8.0,0.5,150.0,16.0,BEC,CC[N+](CC)(CC)CC,0.0,0.0,1.0,2.0000057220458984,2.0000057220458984,0.0,0.0,0.0,0.0,0.0,0.0,1.5000028610229492,1.5000028610229492,0.0,0.0,24.000045776367188,24.000045776367188,1.5000028610229492,1.5000028610229492
400.0,0.0,2.0,250.0,0.0,0.0,0.5,0.0,8.0,0.5,150.0,15.0,BEC,c1ccc(C[N+]23CCN(CC2)CC3)cc1,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,12.0,12.0,0.75,0.75
400.0,0.0,5.0,250.0,0.0,0.0,0.5,0.0,8.0,0.5,150.0,18.0,BEC,c1ccc(C[N+]23CCN(CC2)CC3)cc1,0.0,0.0,1.0,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000014901161,0.6000000014901161,0.0,0.0,9.600000023841858,9.600000023841858,0.6000000014901161,0.6000000014901161
400.0,0.0,7.518792,250.0,0.0,0.0,0.50044125,0.0,8.0,0.5004413,150.0,25.999998,BEC,c1ccc(C[N+]23CCN(CC2)CC3)cc1,0.0,0.0,1.0,0.13300009071826935,0.13300009071826935,0.0,0.0,0.0,0.0,0.0,0.0,0.5669999852580778,0.5669999852580778,0.0,0.0,9.064000725746155,9.064000725746155,0.5670000527901458,0.5670000527901458
400.0,0.0,10.0,250.0,0.0,0.0,0.5,0.0,8.0,0.5,150.0,72.0,BEC,c1ccc(C[N+]23CCN(CC2)CC3)cc1,0.0,0.0,1.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.5500000007450581,0.5500000007450581,0.0,0.0,8.800000011920929,8.800000011920929,0.5500000007450581,0.5500000007450581
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5600002,7.0,0.28,135.0,576.0,ITH,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5600001811981201,0.5600001811981201,7.0,7.0,0.2800000011920929,0.2800000011920929
400.0,0.0,99.0,50.0,0.0,0.0,0.0,0.6274514,6.8627453,0.2843137,135.0,576.0,ITH,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0,0.0,1.0,0.0,0.0,0.019999999552965164,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.6400004479464361,0.6400004479464361,7.000000187666977,7.000000187666977,0.2899999825875549,0.2899999825875549
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.14999987,3.0,0.15,175.0,336.0,BEA,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999987185001373,0.14999987185001373,3.0,3.0,0.15000000596046448,0.15000000596046448
400.0,0.0,99.0,250.0,0.0,0.09999998,0.0,0.25,3.0,0.15,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999997913837433,0.09999997913837433,0.0,0.0,0.25,0.25,3.0,3.0,0.15000000596046448,0.15000000596046448
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.4,3.0,0.15,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.4000000059604645,0.4000000059604645,3.0,3.0,0.15000000596046448,0.15000000596046448
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.25,3.0,0.25,175.0,336.0,BEA,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,3.0,3.0,0.25,0.25
400.0,0.0,99.0,250.0,0.0,0.09999998,0.0,0.34999993,3.0,0.25,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999997913837433,0.09999997913837433,0.0,0.0,0.34999993443489075,0.34999993443489075,3.0,3.0,0.25,0.25
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.5,3.0,0.25,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.5,0.5,3.0,3.0,0.25,0.25
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,3.0,0.5,175.0,336.0,BEA,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,3.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.09999998,0.0,0.6000002,3.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999997913837433,0.09999997913837433,0.0,0.0,0.6000002026557922,0.6000002026557922,3.0,3.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.75000006,3.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.7500000596046448,0.7500000596046448,3.0,3.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.14999987,7.25,0.15,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999987185001373,0.14999987185001373,7.25,7.25,0.15000000596046448,0.15000000596046448
400.0,0.0,99.0,250.0,0.0,0.1,0.0,0.25,7.25,0.15,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.25,0.25,7.25,7.25,0.15000000596046448,0.15000000596046448
