zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.209317207336426
AEL,CCCNCCC,3.5025577545166016
CHA,OSDA-free,2.2326860427856445
MFI,OSDA-free,4.042057991027832
CHA,CCN(CC)CC,1.175313949584961
LTA,C[N+](C)(C)C,3.2635183334350586
MEL,CCCC[N+](CCCC)(CCCC)CCCC,2.8492164611816406
CHA,C1COCCN1,3.0461292266845703
ATO,CCCNCCC,3.6554298400878906
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.591262340545654
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,4.869069576263428
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,5.109364032745361
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,3.896421432495117
LEV,C[N+]12CCC(CC1)CC2,3.8558969497680664
AFI,CCCN(CCC)CCC,3.436330795288086
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.055399417877197
MAZ,OSDA-free,4.422906875610352
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.2937822341918945
AEN,CC[n+]1ccn(C)c1C,2.7758636474609375
FAU,C1COCCOCCOCCOCCOCCO1,1.5190277099609375
FAU,CC[N+](CC)(CC)CC,2.5220603942871094
GIS,CCCNCCC,4.887122631072998
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,5.194338798522949
PHI,OSDA-free,2.102381706237793
LEV,C[N+]1(C)CCCCC1,4.643287181854248
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.519530773162842
FER,C[N+]1(Cc2ccccc2)CCCC1,0.9087696075439453
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.720107555389404
SAV,C1CNCCCNCCNCCNC1,3.268766403198242
AEI,CC[P+](CC)(CC)CC,1.862009048461914
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.113652229309082
