zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.05179282868525897,0.6772908366533864,0.9681274900398407,0.9681274900398407,0.5378486055776892,0.9840637450199203,0.32270916334661354,0.7211155378486056,0.44621513944223107,0.05976095617529881,0.2948207171314741,0.19123505976095617
AEL,CCCNCCC,1.0,0.017467248908296942,0.5283842794759825,0.5283842794759825,0.9956331877729258,1.0,1.0,0.8995633187772926,0.4847161572052402,0.17467248908296942,0.1615720524017467,0.13100436681222707
CHA,OSDA-free,0.42138364779874216,0.949685534591195,0.9748427672955975,0.9433962264150944,0.5094339622641509,0.20754716981132076,0.1069182389937107,0.6918238993710691,0.24528301886792453,1.0,0.006289308176100629,0.10062893081761007
MFI,OSDA-free,0.04878048780487805,0.9349593495934959,0.983739837398374,0.9512195121951219,0.0,1.0,0.0975609756097561,1.0,0.3252032520325203,0.967479674796748,0.06504065040650407,0.11382113821138211
CHA,CCN(CC)CC,1.0,0.5660377358490566,0.8962264150943396,0.8962264150943396,1.0,1.0,1.0,0.9622641509433962,0.4716981132075472,0.018867924528301886,0.0,0.04716981132075472
LTA,C[N+](C)(C)C,0.0,0.010869565217391304,0.9456521739130435,0.9456521739130435,0.16304347826086957,1.0,0.0,0.967391304347826,0.0,0.0,0.06521739130434782,0.021739130434782608
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.3855421686746988,0.4819277108433735,0.891566265060241,0.8433734939759037,0.4939759036144578,0.9879518072289156,0.03614457831325301,1.0,0.18072289156626506,0.18072289156626506,0.04819277108433735,0.03614457831325301
CHA,C1COCCN1,1.0,0.0,0.7804878048780488,0.7804878048780488,1.0,1.0,1.0,0.7682926829268293,0.573170731707317,0.23170731707317074,0.10975609756097561,0.024390243902439025
ATO,CCCNCCC,1.0,0.0,0.746031746031746,0.746031746031746,1.0,1.0,1.0,0.873015873015873,0.3333333333333333,0.1746031746031746,0.047619047619047616,0.015873015873015872
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9193548387096774,0.0,0.06451612903225806,0.12903225806451613,1.0,1.0,0.5645161290322581,0.532258064516129,0.0967741935483871,0.06451612903225806,0.0,0.0
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8833333333333333,0.0,0.8833333333333333,0.11666666666666667,1.0,1.0,1.0,0.0,0.05,0.0,0.0,0.0
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.07407407407407407,1.0,1.0,1.0,0.07407407407407407,1.0,0.09259259259259259,1.0,0.0,0.9074074074074074,0.2962962962962963,0.09259259259259259
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.66,0.66,0.04,0.74,1.0,1.0,0.82,0.18,0.42,0.04,0.0,0.0
