zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.45779798963255885
AEL,CCCNCCC,0.6006305542127159
CHA,OSDA-free,0.16103422576823617
MFI,OSDA-free,0.4584759098816424
CHA,CCN(CC)CC,0.12088266470725954
LTA,C[N+](C)(C)C,0.40965581964607767
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7074011000438188
CHA,C1COCCN1,0.33067555395546666
ATO,CCCNCCC,0.37932865586833664
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1032967739945434
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.1665842553127734
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.4910701678003534
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8798199557530407
LEV,C[N+]12CCC(CC1)CC2,0.31972861302419353
AFI,CCCN(CCC)CCC,0.217304838575563
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6570391773937077
MAZ,OSDA-free,0.528178612842285
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9459392242251672
AEN,CC[n+]1ccn(C)c1C,0.0997470825531924
FAU,C1COCCOCCOCCOCCOCCO1,0.12127083564008279
FAU,CC[N+](CC)(CC)CC,0.09400199469159916
GIS,CCCNCCC,0.4045053412178182
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.4980883016647898
PHI,OSDA-free,0.06410742957682906
LEV,C[N+]1(C)CCCCC1,0.5723427133116454
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.0971145369684987
FER,C[N+]1(Cc2ccccc2)CCCC1,0.0996580078241722
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.144732374101669
SAV,C1CNCCCNCCNCCNC1,0.1465244775150039
AEI,CC[P+](CC)(CC)CC,0.011131498041664502
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.021597345525730664
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3815635332663478
NSI,c1cc(-c2ccncc2)ccn1,1.396382974955153
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.8805256344665293
FER,C1CNCCN1,0.05595121873286244
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.004350837379822054
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.5200784650185578
MWW,CCCCCCC[N+](C)(C)C,0.46110179222233416
MFI,CCN,0.2285464419434713
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.016586750828572187
TON,NCCCCCCCCN,0.5638083396373148
AST,c1ccncc1,0.5010201201331771
AFR,CCC[N+](CCC)(CCC)CCC,0.6845011289956654
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.9391549715502951
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.5818933389682707
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.6574575959758922
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.5366245640966061
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.5371295071747795
STF,CCC1CCCC[N+]12CCCCC2,0.8037553637678387
CHA,CC(C)NC(C)C,0.3356161055447201
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.24503615122255912
ITE,NCCNCCNCCNCCNCCN,0.07608585589731598
UFI,CC[N+](CC)(CC)CC,0.16302895071281354
AFI,[CH]1C=CC=C1,0.06781770597239445
CLO,C1CN2CCC1CC2,0.0390350949064936
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.28491878814320526
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.3042777513989006
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.06415259204659343
LAU,c1c[nH]cn1,0.8979418545321636
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.13342825751735943
STI,CC[N+](CC)(CC)CC,0.7267853483313581
AEN,CC[N+](CC)(CC)CC,0.38453819499079334
AFI,CCN(C(C)C)C(C)C,0.1615307834133335
LEV,CC[N+](C)(C)CC,0.4447958733563322
MTN,C1CCNC1,0.38568995929464267
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.6980356958504483
FER,NCCCCN,0.24019852328199226
OFF,C[N+](C)(C)Cc1ccccc1,0.012213184551538522
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9466672153028857
MFI,C1CCNC1,0.2150341797881378
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5737985214295203
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.7619476345331598
MTW,C1CN2CCN1CC2,0.2795925885093785
AST,CC(C)[N+](C)(C)C,0.18950303398563323
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.007298638078377762
MTW,C1CCC[N+]2(CC1)CCCCC2,0.6298407056269113
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.5480815916412809
ERI,C[N+]1(C)CCCCC1,0.11800664568900213
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.11981019826642683
AFI,C1CCCNCC1,0.7367871120237992
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.8718837692221739
CHA,CN(CCO)CCO,0.09345023231131105
NON,CC1CCCN1,0.30717341431187245
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.231280572201022
NON,CC1CCCCN1,0.3214272284541325
CHA,CN1CCNCC1,0.018647186499387493
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.7141445862460005
FAU,Cc1cccc(C)[n+]1C,0.015784384609498395
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.0329294205343635
CHA,NCCNCCN,0.4612074990199534
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.840270218741942
MFI,CCCNCCC,0.29614823605738444
TON,CC(N)CN,0.35955925507994335
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.755825003342233
ETL,C[N+](C)(C)CCO,0.01225684930404158
FER,CCCCN,1.596975123618264
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.7589807932857262
AEL,CCNCC,0.3935991702561526
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.48883114926521576
ITE,C[N+]1(C)CCCCC2CCCCC21,0.7536971484794107
AVE,C1CC[N+]2(CC1)CCCC2,0.619280612831543
AEL,CCCCNCCCC,0.6969646509951014
MWW,CCCCCC[N+](C)(C)C,0.656996455693486
MEI,CN(CCO)CCO,0.028379168424260387
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.3190968152109659
STW,CCc1n(C)cc(C)[n+]1C,0.022736791996798483
GIS,C[N+](C)(C)C,0.535392541748083
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.3692360523413248
JST,NCCN,1.1025777194376902
PWN,C[N+]12CC[N+](C)(CC1)CC2,0.006003421036047262
AFI,CN1C2CCC1CC(O)C2,1.6896474586864325
DOH,CC1CNCCN1,0.8906880403900705
AWO,CNC,0.06114884654753362
STF,CC[N+]1(C)C2CCCC1CCC2,0.668425223046823
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.5149012156246673
TON,CCC(C)N,0.45710809195007257
SOD,C1CCC2(C1)CCC[NH2+]2,0.5664745236654264
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.30306628381014633
AEN,C[N+](C)(C)C,0.07073840523217018
AFI,Fc1cccc(CN2CCCC2)c1,0.5724251031241727
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,0.5251202219307942
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.4694881887448756
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,0.6076284345572862
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1.4174047306782356
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.03692767228864978
MFI,CN(C)CC(C)(C)CN(C)C,0.009086817423436061
FER,NC1CCCCC1,0.02761088169860787
MTW,N[C@H]1CC[C@H](N)CC1,0.004242973141152956
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,0.1330510090992524
LAU,Cn1ccnc1,1.1072648735446444
MEL,CCCN,0.057081386402935946
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.44106635755587587
SAV,C1CNCCNCCCNCCNC1,0.9878467218862864
DDR,C1CN2CCC1CC2,1.28010905745477
BEA,C[N+](C)(C)Cc1ccccc1,0.007250405179349009
CGS,C1CN2CCC1CC2,1.0104425722125097
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.5490095872322982
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,0.5268444112019078
MOR,CN(C)CCCN(C)C,0.011492126243497942
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.4388550428200139
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,0.6090305267617675
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,0.42896375830293954
TON,CCn1cc[n+](CC)c1,0.017345240821758097
ATS,CCCNCCC,0.10878054986073192
EMT,CC[N+](CC)(CC)CC,1.0853958038987799
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4515504161744188
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,0.07941720999822582
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,0.713254829082361
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.4190666596425577
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.13754340490441885
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,0.08185482582956659
NON,CC1CC[N+](C)(C)CC1,0.9645554911182241
MOR,C1CCC[N+]2(CC1)CCCCC2,0.4870771323874782
