zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,7.280555606702962,5.164254306932292,12.444809913635254,0.6274857156834243,0.04414550131944439,0.6716312170028687,0.15625,0.15625,0.0,1.3163242774851878,1.6368374365218241,0.32051315903663635,0.10566437158453415,0.00022813018691588799,0.10589250177145004,0.10415465384721756,0.0,0.10415465384721756,0.10662341529095978,0.09712296313082366,0.20374637842178345,0.10980263105847261,0.0008008653738317754,0.11060349643230438,16.660489107075648,14.133404707011268,30.793893814086914,0.40459716386172706,0.13520282440807885,0.5397999882698059,18.65270684655266,145.0304596573536,163.68316650390625,57.90514895653223,144.9766287538955,87.07147979736328
AEL,0.7204964439323094,0.8152801598360684,0.094783715903759,0.3895193824739982,0.5586678495435189,0.9481872320175171,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452509503811598,0.0,0.0005452509503811598,0.0,0.0,0.0,0.0,0.0,0.0,0.029681082937072535,0.006147540983606557,0.03582862392067909,12.736347051460132,15.638830331962719,28.37517738342285,0.07814575622637254,0.3293110590163948,0.40745681524276733,10.411182591172519,174.69262295081967,185.1038055419922,19.553819625104055,96.07377049180327,76.51995086669922
MFI,12.240932615677032,38.42136749418625,50.66230010986328,0.4492048417391325,0.4492048417391325,0.0,,,0.7000002861022949,,,20.286149978637695,0.26299212029603947,0.5206095044913672,0.25761738419532776,0.018879050388932228,0.0,0.018879050388932228,0.044363236933114336,0.32761908224141817,0.28325584530830383,0.010643637548001104,0.023106363793103404,0.03375000134110451,5.77785595882672,31.022318754308046,36.800174713134766,0.20377776338414033,0.11688068197413604,0.32065844535827637,12.144358147561945,156.37526465517243,168.51962280273438,2.7997894240473755,113.80432891379347,111.0045394897461
LTA,1.29396403478807,0.2932580645161292,1.5872220993041992,0.5166923276583354,0.013333333333333334,0.5300256609916687,1.258258088942497,0.016129032258064516,1.2743871212005615,0.0,0.0,0.0,0.24444137513637543,0.0,0.24444137513637543,0.0,0.0,0.0,0.44373325181124396,0.08000042366864495,0.5237336754798889,0.08326406273255321,0.01062113550295857,0.09388519823551178,43.4527650298665,11.54658647159835,54.999351501464844,0.16497118207334016,0.9816773441183713,1.1466485261917114,21.77355008999976,157.10059171597632,135.32704162597656,16.459085949779265,106.93491124260355,123.39399719238281
AFI,2.6824783878905953,3.4106375175101937,0.7281591296195984,0.5401419792001422,0.17322327758620426,0.7133652567863464,0.0,0.0,0.0,0.686856314168995,1.387611344827587,2.074467658996582,0.00643555261194706,0.0,0.00643555261194706,0.004661021754145622,0.0,0.004661021754145622,0.011227718971758553,0.010332258932203582,0.021559977903962135,0.0342614925512524,0.010088781355932197,0.0443502739071846,13.226146217564217,25.135406974574455,38.36155319213867,0.16128491392889438,0.2769705153389889,0.4382554292678833,6.444950168415659,162.71186440677965,169.1568145751953,13.912647311970332,115.28813559322033,101.37548828125
IWR,,,24.795499801635742,0.0,0.0,0.0,,,8.830423355102539,,,25.956357955932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0316353543094894,0.10868251785714421,0.1403178721666336,0.29065966606140137,0.0,0.29065966606140137,17.85201512380476,25.331071482142164,7.479056358337402,0.08775233928649262,0.15429602857144042,0.24204836785793304,13.883924211774541,161.07142857142858,174.95535278320312,165.93231053572006,164.06768946427994,330.0
BEA,16.85875370190429,37.097877999999994,20.239124298095703,0.20121428571428612,0.20121428571428612,0.0,,,5.5271148681640625,,,20.745588302612305,0.05627316763446724,0.02205914477064216,0.0783323124051094,0.01669081300497055,0.0,0.01669081300497055,0.15638549741632216,0.03641730431192645,0.1928028017282486,0.06233481706753649,0.12549010275229536,0.18782491981983185,6.125553410325711,9.326667506422336,15.452220916748047,0.049306805143631366,0.21683452009173546,0.2661413252353668,0.7917055594179487,157.43123192660545,156.6395263671875,105.72596155739112,190.35970128440576,296.0856628417969
MTW,19.604026138134827,82.09096080000006,62.486934661865234,0.21135482000000114,0.21135482000000114,0.0,,,0.0,,,48.18868637084961,0.04716032901424268,0.06889892211538455,0.11605925112962723,0.0,0.0,0.0,0.06991103110039637,0.059882106211539055,0.12979313731193542,0.07541891241072289,0.008741259038461532,0.08416017144918442,15.395105782921068,25.62377315384651,41.01887893676758,0.1261072259038899,0.20526423048076892,0.3313714563846588,0.5259786752554021,154.90384615384616,155.42982482910156,230.72307014573622,208.22913932692003,438.95220947265625
MEL,0.05807685400393936,30.454473499999967,30.512550354003906,0.03546099361702125,0.03546099361702125,0.0,,,0.0,,,7.783884048461914,0.12513945996761322,0.0,0.12513945996761322,0.0012022065930068493,0.0,0.0012022065930068493,0.2126576402245501,0.025458147281553396,0.23811578750610352,0.033980581909418106,0.0,0.033980581909418106,6.716055015911529,35.603357215533784,42.31941223144531,0.039806806200730516,0.2702589265048382,0.23045212030410767,5.345268619870666,152.23300970873785,146.8877410888672,19.843944835500878,163.8729435922335,183.71688842773438
LEV,13.427912776389817,29.269662921348313,15.841750144958496,0.27631044387817383,0.0,0.27631044387817383,,,0.3333333432674408,,,2.627408266067505,0.24350522458553314,0.0,0.24350522458553314,0.0,0.0,0.0,0.2614086866378784,0.0,0.2614086866378784,0.016179773956537247,0.0,0.016179773956537247,0.19631944192999917,14.831477303370294,15.027796745300293,0.09334192428122423,0.15250436213482954,0.24584628641605377,6.011239898338744,155.4494382022472,161.46067810058594,86.67639509901167,142.14927323594927,228.82566833496094
