zeo,MMD
CHA,0.7657308578491211
AEL,2.7060346603393555
MFI,0.6779155731201172
LTA,1.6723613739013672
AFI,1.087752342224121
IWR,3.1756744384765625
BEA,0.6592769622802734
MTW,0.5623998641967773
MEL,2.019707679748535
LEV,1.3455896377563477
FAU,0.6186122894287109
BEC,2.1769814491271973
FER,0.49767398834228516
ATO,2.458404541015625
MWW,2.097898483276367
IMF,5.121343612670898
AEN,1.5159740447998047
STF,2.18649959564209
MAZ,4.162772178649902
AEI,1.1576662063598633
GIS,2.837886333465576
TON,0.8476667404174805
ITE,3.0414605140686035
NON,1.7019543647766113
MOR,0.7715950012207031
AST,1.355454444885254
PHI,1.5160961151123047
SAV,1.3749637603759766
UOV,5.191595554351807
ITT,4.521210670471191
ITG,4.719756126403809
MTT,1.9649901390075684
NSI,4.020514488220215
CON,3.3078765869140625
ERI,1.6236248016357422
MTN,1.2555904388427734
AFR,4.520949363708496
MRE,1.6231021881103516
DDR,1.8684720993041992
LAU,2.1788368225097656
SWY,3.8291263580322266
AFX,3.3878626823425293
UFI,5.04123592376709
ISV,2.5508861541748047
CLO,6.220678806304932
ANA,0.6724300384521484
STI,6.857822895050049
CTH,1.1454763412475586
OFF,6.607603549957275
AWO,0.8295345306396484
DOH,3.9225707054138184
STW,0.18680381774902344
SOD,1.7052092552185059
ETL,1.6348562240600586
AVE,4.296804428100586
UOZ,4.916425704956055
MEI,5.060391426086426
SZR,2.2469053268432617
IFR,4.639572620391846
PWN,3.371220588684082
IFW,5.725841045379639
CGS,4.0567779541015625
JST,4.2602338790893555
BPH,2.7218494415283203
EUO,0.9637336730957031
EMT,3.3022055625915527
ATS,4.3034563064575195
RTH,2.9903697967529297
IHW,4.096790313720703
AWW,4.448567867279053
SFH,3.6333651542663574
ASV,3.411214828491211
LTJ,5.740096092224121
RWY,6.0446882247924805
TUN,6.8119964599609375
VFI,4.160511016845703
IRR,0.908787727355957
ITW,0.9609313011169434
IWV,0.8269033432006836
IFU,1.6046180725097656
SFW,3.990290641784668
EON,0.9432897567749023
STO,2.1680116653442383
NES,0.3858528137207031
APC,6.882974624633789
IFO,4.718104362487793
SSY,6.173598766326904
SFV,6.876558303833008
PUN,6.963760852813721
LTL,6.919666290283203
ABW,4.585453987121582
EEI,7.351742744445801
SFN,2.608595848083496
VET,5.379805564880371
AHT,2.5055227279663086
CGF,7.218785285949707
UOS,4.471806526184082
AFN,6.9810791015625
MER,7.684582710266113
RTE,7.418438911437988
LOS,6.7510986328125
SFG,7.287878036499023
PWW,5.792712211608887
