zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.2146120071411133
AEL,CCCNCCC,3.1193151473999023
CHA,OSDA-free,2.2480697631835938
MFI,OSDA-free,2.2587013244628906
CHA,CCN(CC)CC,5.076408863067627
LTA,C[N+](C)(C)C,4.092935562133789
MEL,CCCC[N+](CCCC)(CCCC)CCCC,2.9195938110351562
CHA,C1COCCN1,3.0652265548706055
ATO,CCCNCCC,2.458404541015625
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.3907551765441895
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,3.484044075012207
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,5.121343612670898
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,3.9112563133239746
LEV,C[N+]12CCC(CC1)CC2,2.668065071105957
AFI,CCCN(CCC)CCC,3.421278953552246
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.032113552093506
MAZ,OSDA-free,4.39249849319458
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.362347602844238
AEN,CC[n+]1ccn(C)c1C,3.1277265548706055
FAU,C1COCCOCCOCCOCCOCCO1,1.2374505996704102
FAU,CC[N+](CC)(CC)CC,2.695561408996582
GIS,CCCNCCC,5.6347150802612305
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,5.191595554351807
PHI,OSDA-free,1.9472379684448242
LEV,C[N+]1(C)CCCCC1,2.7521705627441406
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.521210670471191
FER,C[N+]1(Cc2ccccc2)CCCC1,2.5086727142333984
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.719756126403809
SAV,C1CNCCCNCCNCCNC1,1.801198959350586
AEI,CC[P+](CC)(CC)CC,2.3130693435668945
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6214990615844727
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,2.0212926864624023
NSI,c1cc(-c2ccncc2)ccn1,4.572610378265381
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,3.9369735717773438
FER,C1CNCCN1,1.7003555297851562
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.7106151580810547
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,4.043339729309082
MWW,CCCCCCC[N+](C)(C)C,6.198095798492432
MFI,CCN,2.8684558868408203
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,3.072709083557129
TON,NCCCCCCCCN,3.916718006134033
AST,c1ccncc1,5.140463352203369
AFR,CCC[N+](CCC)(CCC)CCC,4.520949363708496
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,3.5502853393554688
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,3.8291263580322266
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,3.4369211196899414
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,4.019015312194824
MFI,CCCN(CCC)CCCCCN(CCC)CCC,3.7233128547668457
STF,CCC1CCCC[N+]12CCCCC2,4.466128349304199
CHA,CC(C)NC(C)C,5.38895845413208
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,2.5508861541748047
ITE,NCCNCCNCCNCCNCCN,6.645895004272461
UFI,CC[N+](CC)(CC)CC,5.04123592376709
AFI,[CH]1C=CC=C1,3.7999343872070312
CLO,C1CN2CCC1CC2,6.220678806304932
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,2.1473398208618164
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,5.120638847351074
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,3.139284133911133
LAU,c1c[nH]cn1,4.752632141113281
DDR,C[N+]1(C)C2CCC1CC(O)C2,2.544295310974121
STI,CC[N+](CC)(CC)CC,6.857822895050049
AEN,CC[N+](CC)(CC)CC,1.3653221130371094
AFI,CCN(C(C)C)C(C)C,4.843512535095215
LEV,CC[N+](C)(C)CC,3.512144088745117
MTN,C1CCNC1,2.751378059387207
STF,CC1(C)C2CCC[N+](C)(C)C1C2,4.3111042976379395
FER,NCCCCN,5.2063093185424805
OFF,C[N+](C)(C)Cc1ccccc1,6.607603549957275
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,4.474037170410156
MFI,C1CCNC1,2.3164892196655273
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,3.9092745780944824
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,4.137179374694824
MTW,C1CN2CCN1CC2,4.235589981079102
AST,CC(C)[N+](C)(C)C,0.7095422744750977
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.695378303527832
MTW,C1CCC[N+]2(CC1)CCCCC2,4.103914260864258
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,6.024355411529541
ERI,C[N+]1(C)CCCCC1,3.585895538330078
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,2.5914993286132812
AFI,C1CCCNCC1,3.6698665618896484
BEC,CC[N+](CC)(CC)Cc1ccccc1,4.013391494750977
CHA,CN(CCO)CCO,4.500761032104492
NON,CC1CCCN1,6.838348388671875
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,4.64847993850708
NON,CC1CCCCN1,4.786211013793945
CHA,CN1CCNCC1,2.3638248443603516
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,3.093017101287842
FAU,Cc1cccc(C)[n+]1C,5.136573791503906
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,3.661266326904297
CHA,NCCNCCN,3.3391456604003906
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.916425704956055
MFI,CCCNCCC,1.308558464050293
