zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,1.0,1.0,1.0,0.895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AEL,0.95,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0
MFI,0.98,0.95,1.0,1.0,0.96,1.0,1.0,0.955,1.0,1.0,1.0,1.0
LTA,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.99,1.0,0.5,1.0,1.0
AFI,0.95,0.99,1.0,0.915,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0
IWR,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.54,0.54,0.0
BEA,0.95,0.865,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
MTW,0.945,0.87,1.0,1.0,0.965,1.0,0.975,1.0,1.0,0.97,0.965,1.0
MEL,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.095
LEV,0.365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.985
FAU,0.92,0.975,1.0,1.0,0.85,1.0,0.875,1.0,0.575,1.0,0.975,0.97
BEC,1.0,1.0,0.84,1.0,1.0,1.0,1.0,0.89,1.0,0.875,0.825,0.27
FER,0.93,1.0,1.0,1.0,0.925,1.0,1.0,0.62,1.0,1.0,0.59,0.845
ATO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MWW,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.445,1.0,1.0
IMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
AEN,1.0,1.0,0.935,0.935,1.0,1.0,0.935,1.0,1.0,1.0,1.0,0.86
STF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.345,1.0,0.2
