zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.48753894080996885,0.6651090342679128,1.0,0.9922118380062306,0.8021806853582555,0.7959501557632399,0.6479750778816199,0.7757009345794392,0.6806853582554517,0.6090342679127726,0.6074766355140186,0.367601246105919
AEL,1.0,0.11885245901639344,1.0,1.0,0.9959016393442623,1.0,1.0,0.9057377049180327,0.5614754098360656,0.6844262295081968,0.1680327868852459,0.4918032786885246
MFI,0.5344827586206896,1.0,0.9827586206896551,0.9612068965517241,0.6422413793103449,0.9482758620689655,0.5603448275862069,0.9655172413793104,0.9094827586206896,0.8620689655172413,0.5258620689655172,0.4396551724137931
LTA,0.5088757396449705,0.7633136094674556,0.9467455621301775,1.0,0.5443786982248521,1.0,0.6863905325443787,0.6035502958579881,0.15384615384615385,0.33136094674556216,0.3254437869822485,0.5739644970414202
AFI,0.9915254237288136,0.9067796610169492,1.0,0.9661016949152542,0.9322033898305084,0.9830508474576272,0.923728813559322,0.923728813559322,0.6694915254237288,0.9152542372881356,0.7372881355932204,0.8305084745762712
IWR,0.8035714285714286,0.8035714285714286,0.05357142857142857,0.4017857142857143,1.0,1.0,0.6785714285714286,0.375,0.24107142857142858,0.7946428571428571,0.008928571428571428,0.0
BEA,0.5688073394495413,1.0,0.8715596330275229,0.9357798165137615,0.7706422018348624,0.944954128440367,0.7614678899082569,0.9724770642201835,0.963302752293578,0.7522935779816514,0.7706422018348624,0.3577981651376147
MTW,0.8269230769230769,1.0,0.9807692307692307,0.8846153846153846,0.9326923076923077,1.0,0.9711538461538461,0.7788461538461539,0.6346153846153846,0.8653846153846154,0.8365384615384616,0.18269230769230768
MEL,0.4563106796116505,1.0,0.912621359223301,0.8737864077669902,0.5145631067961165,0.9902912621359223,0.6019417475728155,0.9320388349514563,0.8446601941747572,0.5728155339805825,0.6407766990291263,0.4563106796116505
LEV,0.25842696629213485,0.898876404494382,0.9325842696629213,0.8202247191011236,0.14606741573033707,1.0,0.25842696629213485,0.9662921348314607,0.7303370786516854,0.7415730337078652,0.8314606741573034,0.30337078651685395
FAU,0.7972972972972973,0.918918918918919,1.0,1.0,0.5,0.9864864864864865,0.7297297297297297,1.0,0.9594594594594594,0.9594594594594594,0.7162162162162162,0.36486486486486486
BEC,0.8783783783783784,0.8783783783783784,0.013513513513513514,0.8108108108108109,1.0,1.0,0.9459459459459459,0.6891891891891891,1.0,0.918918918918919,0.9054054054054054,0.12162162162162163
FER,0.6811594202898551,1.0,1.0,0.9710144927536232,0.6231884057971014,0.9420289855072463,0.8695652173913043,0.5217391304347826,0.782608695652174,0.6521739130434783,0.7246376811594203,0.18840579710144928
ATO,1.0,0.7777777777777778,0.746031746031746,0.746031746031746,1.0,1.0,1.0,0.873015873015873,0.30158730158730157,0.1111111111111111,0.047619047619047616,0.015873015873015872
MWW,0.8870967741935484,1.0,0.9516129032258065,0.5806451612903226,0.8387096774193549,0.8548387096774194,0.3387096774193548,0.9838709677419355,0.41935483870967744,0.8387096774193549,0.3709677419354839,0.45161290322580644
IMF,0.07407407407407407,1.0,1.0,1.0,0.07407407407407407,1.0,0.09259259259259259,1.0,0.0,0.9814814814814815,0.4444444444444444,0.16666666666666666
AEN,1.0,0.4,1.0,1.0,0.98,1.0,1.0,1.0,0.56,0.62,0.06,0.64
STF,0.4878048780487805,1.0,0.7073170731707317,0.8536585365853658,1.0,0.975609756097561,0.6829268292682927,0.9512195121951219,0.5853658536585366,0.9024390243902439,0.926829268292683,0.0975609756097561
MAZ,0.4,0.95,1.0,1.0,0.425,0.825,0.35,1.0,0.55,0.925,0.075,0.1
AEI,0.0,1.0,1.0,1.0,0.5277777777777778,1.0,0.4722222222222222,0.7222222222222222,0.9444444444444444,0.7222222222222222,0.5833333333333334,0.7222222222222222
GIS,0.9705882352941176,0.9117647058823529,1.0,0.7352941176470589,0.9117647058823529,0.9705882352941176,0.8235294117647058,0.38235294117647056,0.14705882352941177,0.23529411764705882,0.6176470588235294,0.11764705882352941
TON,0.6666666666666666,1.0,0.9393939393939394,0.9696969696969697,0.9090909090909091,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.696969696969697,0.8787878787878788,0.18181818181818182
ITE,0.13333333333333333,1.0,1.0,0.9333333333333333,0.16666666666666666,1.0,0.36666666666666664,1.0,0.43333333333333335,1.0,0.16666666666666666,0.26666666666666666
NON,1.0,1.0,1.0,1.0,0.9655172413793104,0.9310344827586207,0.896551724137931,0.7931034482758621,0.3103448275862069,0.3103448275862069,0.4827586206896552,0.5172413793103449
MOR,0.7142857142857143,1.0,1.0,1.0,0.4642857142857143,0.9642857142857143,0.07142857142857142,1.0,0.9642857142857143,0.7857142857142857,0.8214285714285714,0.8571428571428571
AST,1.0,0.5185185185185185,0.7407407407407407,1.0,1.0,1.0,0.9629629629629629,1.0,0.9259259259259259,0.6666666666666666,0.18518518518518517,0.1111111111111111
PHI,0.8148148148148148,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.4444444444444444,0.5555555555555556,0.1111111111111111,1.0,0.37037037037037035,0.8148148148148148,0.4444444444444444,0.25925925925925924
SAV,1.0,0.2692307692307692,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0,0.6923076923076923,0.19230769230769232,0.9615384615384616,0.0,0.7692307692307693
UOV,1.0,1.0,0.0,1.0,1.0,1.0,0.4583333333333333,1.0,0.20833333333333334,0.08333333333333333,0.5416666666666666,0.041666666666666664
ITT,0.5909090909090909,0.5909090909090909,0.0,0.4090909090909091,1.0,1.0,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0
ITG,0.6190476190476191,0.38095238095238093,0.0,0.38095238095238093,1.0,1.0,0.7142857142857143,1.0,0.0,0.0,1.0,1.0
MTT,0.3333333333333333,0.6190476190476191,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.6190476190476191,1.0,1.0,0.7142857142857143,0.7619047619047619,0.8571428571428571,0.2857142857142857
NSI,0.15,0.6,1.0,1.0,0.95,1.0,0.95,1.0,0.0,0.7,0.0,0.0
CON,0.6,0.65,0.95,0.1,0.15,1.0,0.95,0.9,0.2,0.1,0.2,0.1
ERI,0.6111111111111112,0.6666666666666666,1.0,1.0,1.0,0.4444444444444444,0.3888888888888889,0.9444444444444444,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.1111111111111111
MTN,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.6470588235294118,0.35294117647058826
AFR,1.0,0.07142857142857142,0.6428571428571429,0.35714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.0
MRE,0.8571428571428571,1.0,1.0,0.9285714285714286,0.9285714285714286,0.5714285714285714,0.7142857142857143,1.0,1.0,0.07142857142857142,0.6428571428571429,0.35714285714285715
DDR,0.0,0.6153846153846154,1.0,0.6923076923076923,0.46153846153846156,1.0,0.38461538461538464,1.0,0.0,0.6153846153846154,0.46153846153846156,0.3076923076923077
LAU,0.6153846153846154,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46153846153846156,0.0
SWY,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9230769230769231,0.7692307692307693
AFX,0.0,0.08333333333333333,0.25,0.25,0.9166666666666666,1.0,0.0,0.9166666666666666,0.0,1.0,0.0,0.4166666666666667
UFI,1.0,1.0,1.0,1.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818182
ISV,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,0.36363636363636365,0.0,0.8181818181818182,0.9090909090909091,0.0,0.0
CLO,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ANA,0.1,1.0,1.0,1.0,0.6,1.0,0.8,1.0,0.6,0.8,0.5,0.8
STI,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0
CTH,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.2222222222222222
OFF,0.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.0,0.5555555555555556
AWO,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.625,0.0,0.375
DOH,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.2857142857142857
STW,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.14285714285714285
SOD,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285
