zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.45985077859798695
AEL,CCCNCCC,0.5336407263978717
CHA,OSDA-free,0.161609559119804
MFI,OSDA-free,0.13955499720128278
CHA,CCN(CC)CC,1.0582108448209087
LTA,C[N+](C)(C)C,0.9622999873778333
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7111165372689568
CHA,C1COCCN1,0.33165343628047095
ATO,CCCNCCC,0.29049758616845434
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.864636422592895
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.32226513064501006
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.49322903045479993
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8922297258419787
LEV,C[N+]12CCC(CC1)CC2,0.3023115080464389
AFI,CCCN(CCC)CCC,0.21051081215055123
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6555659558806257
MAZ,OSDA-free,0.5070397480245944
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0536061310376044
AEN,CC[n+]1ccn(C)c1C,0.100902089641669
FAU,C1COCCOCCOCCOCCOCCO1,0.11887018684327093
FAU,CC[N+](CC)(CC)CC,0.09787527660752009
GIS,CCCNCCC,0.8556931199694626
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.496476253822486
PHI,OSDA-free,0.05828710632101946
LEV,C[N+]1(C)CCCCC1,0.11902901006505114
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.0993198279045013
FER,C[N+]1(Cc2ccccc2)CCCC1,0.11344469004690334
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.144353301512016
SAV,C1CNCCCNCCNCCNC1,0.04337996356453825
AEI,CC[P+](CC)(CC)CC,0.022022056842884413
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.0008978949548375688
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3816741875552439
NSI,c1cc(-c2ccncc2)ccn1,1.2679361646943423
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.8666621937231056
FER,C1CNCCN1,0.056360451949654944
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.008312929643837777
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.5619616935358434
MWW,CCCCCCC[N+](C)(C)C,0.4610862193864813
MFI,CCN,0.2337563604390887
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.024262303147216994
TON,NCCCCCCCCN,0.5677338428439208
AST,c1ccncc1,0.3550113107869251
AFR,CCC[N+](CCC)(CCC)CCC,0.7034273095102128
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.9533026638305627
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.063248103644287
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.49939191717283116
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.794208804905755
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.6135723944126097
STF,CCC1CCCC[N+]12CCCCC2,0.7934914887972855
CHA,CC(C)NC(C)C,1.0972433936485926
