zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,3.2466394855849128,15.691449399220167,12.444809913635254,0.36764673627524935,1.039277953278118,0.6716312170028687,,,0.0,,,0.32051315903663635,0.10589250177145004,0.0,0.10589250177145004,0.10415465384721756,0.0,0.10415465384721756,0.18027102835947623,0.023475350062307214,0.20374637842178345,0.11060349643230438,0.0,0.11060349643230438,12.81871678604698,17.975177028039933,30.793893814086914,0.3108109836124766,0.22898900465732927,0.5397999882698059,48.705734151880904,114.97743235202535,163.68316650390625,5.8886954518579415,92.96017524922122,87.07147979736328
AEL,19.930552926719134,20.025336642622893,0.094783715903759,,,0.9481872320175171,,,0.0,,,0.0,0.0005452509503811598,0.0,0.0005452509503811598,0.0,0.0,0.0,0.0,0.0,0.0,0.03582862392067909,0.0,0.03582862392067909,13.342791498176895,15.032385885245956,28.37517738342285,0.2096636227837246,0.19779319245904273,0.40745681524276733,24.734953082975807,160.36885245901638,185.1038055419922,28.5937213585025,47.92622950819672,76.51995086669922
MFI,12.47847981255876,63.14077992242204,50.66230010986328,1.0450767166666652,1.0450767166666652,0.0,,,0.7000002861022949,,,20.286149978637695,0.25761738419532776,0.0,0.25761738419532776,0.018879050388932228,0.0,0.018879050388932228,0.10917637636003577,0.17407946894826806,0.28325584530830383,0.03375000134110451,0.0,0.03375000134110451,22.473383417877688,14.326791295257078,36.800174713134766,0.2050801640500785,0.11557828130819785,0.32065844535827637,43.47651935445852,125.04310344827586,168.51962280273438,56.38352820957389,54.621011280172205,111.0045394897461
LTA,189.69090171997863,191.27812381928283,1.5872220993041992,0.4699743390083313,1.0,0.5300256609916687,,,1.2743871212005615,,,0.0,0.24444137513637543,0.0,0.24444137513637543,0.0,0.0,0.0,0.5237336754798889,0.0,0.5237336754798889,0.09388519823551178,0.0,0.09388519823551178,44.32824874998613,10.671102751478712,54.999351501464844,0.8827250496828607,0.26392347650885073,1.1466485261917114,20.29426014917138,155.62130177514794,135.32704162597656,76.91637505806327,46.47762213431954,123.39399719238281
AFI,4.871685724617667,5.599844854237265,0.7281591296195984,0.48214756629057565,1.195512823076922,0.7133652567863464,,,0.0,,,2.074467658996582,0.00643555261194706,0.0,0.00643555261194706,0.004661021754145622,0.0,0.004661021754145622,0.021559977903962135,0.0,0.021559977903962135,0.0443502739071846,0.0,0.0443502739071846,18.513898454849958,19.847654737288714,38.36155319213867,0.2231044477424594,0.2151509815254239,0.4382554292678833,4.877153558246164,164.27966101694915,169.1568145751953,61.55087451006445,39.82461377118555,101.37548828125
IWR,2.025324140918638,22.770175660717104,24.795499801635742,,,0.0,,,8.830423355102539,,,25.956357955932617,0.0,0.0,0.0,0.0,0.0,0.0,0.1403178721666336,0.0,0.1403178721666336,0.29065966606140137,0.0,0.29065966606140137,6.8977263380907345,14.376782696428137,7.479056358337402,0.029656457857942076,0.21239190999999097,0.24204836785793304,24.955352783203125,150.0,174.95535278320312,231.66497767857325,98.33502232142675,330.0
BEA,16.045029814053848,36.28415411214955,20.239124298095703,1.0,1.0,0.0,,,5.5271148681640625,,,20.745588302612305,0.0783323124051094,0.0,0.0783323124051094,0.01669081300497055,0.0,0.01669081300497055,0.18547407649889078,0.007328725229357826,0.1928028017282486,0.18782491981983185,0.0,0.18782491981983185,4.875005201151813,10.577215715596234,15.452220916748047,0.1311343877766529,0.13500693745871392,0.2661413252353668,8.474388752508588,148.1651376146789,156.6395263671875,169.4428069885863,126.64285585321056,296.0856628417969
MTW,20.09846682936235,82.58540149122759,62.486934661865234,1.0726126111111065,1.0726126111111065,0.0,0.0,0.0,0.0,,,48.18868637084961,0.10290898891808885,0.013150262211538383,0.11605925112962723,0.0,0.0,0.0,0.004297164361141886,0.1340903016730773,0.12979313731193542,0.08416017144918442,0.0,0.08416017144918442,23.51130119638311,17.50757774038447,41.01887893676758,0.09960118005764107,0.4309726364422999,0.3313714563846588,2.5232548824359924,157.95307971153755,155.42982482910156,382.48993237650257,56.462277096153656,438.95220947265625
MEL,19.36968380060557,11.142866553398335,30.512550354003906,1.067708349999998,1.067708349999998,0.0,,,0.0,,,7.783884048461914,0.12513945996761322,0.0,0.12513945996761322,0.0012022065930068493,0.0,0.0012022065930068493,0.07186893575852302,0.1662468517475805,0.23811578750610352,0.033980581909418106,0.0,0.033980581909418106,26.10731477513402,16.21209745631129,42.31941223144531,0.023370889721567728,0.20708123058253994,0.23045212030410767,3.2093462897735776,150.09708737864077,146.8877410888672,89.80683405880222,93.91005436893215,183.71688842773438
LEV,3.527083978637023,19.36883412359552,15.841750144958496,0.7236895561218262,1.0,0.27631044387817383,,,0.3333333432674408,,,2.627408266067505,0.24350522458553314,0.0,0.24350522458553314,0.0,0.0,0.0,0.2614086866378784,0.0,0.2614086866378784,0.016179773956537247,0.0,0.016179773956537247,0.24932731087854165,15.277124056178835,15.027796745300293,0.006818669112691883,0.2390276173033619,0.24584628641605377,11.460678100585938,150.0,161.46067810058594,96.7836747394559,132.04199359550503,228.82566833496094
