zeo,MMD
CHA,1.1071510314941406
AEL,3.4812564849853516
MFI,1.079427719116211
LTA,2.108837604522705
AFI,3.3407435417175293
IWR,4.199244022369385
BEA,1.6949148178100586
MTW,1.0392179489135742
MEL,1.9653148651123047
LEV,3.0889463424682617
FAU,1.988821029663086
BEC,3.351065158843994
FER,2.0923948287963867
ATO,4.54711389541626
MWW,3.496267318725586
IMF,3.9207372665405273
AEN,3.70424747467041
STF,2.503042221069336
MAZ,2.353731155395508
AEI,3.392810821533203
GIS,2.8773603439331055
TON,1.4342927932739258
ITE,1.6607723236083984
NON,3.5604910850524902
MOR,1.5800857543945312
AST,3.4633426666259766
PHI,1.9018974304199219
SAV,1.9995832443237305
UOV,6.061773777008057
ITT,3.350494384765625
MTT,2.9031076431274414
ITG,4.6137003898620605
CON,3.923978328704834
NSI,2.5135726928710938
ERI,1.5104618072509766
MTN,3.962944984436035
MRE,2.9385504722595215
AFR,4.14816951751709
SWY,1.8701677322387695
LAU,4.780196666717529
DDR,3.051558494567871
AFX,3.553079605102539
UFI,5.534893989562988
ISV,4.863221168518066
ANA,2.208319664001465
CLO,5.767714500427246
OFF,4.692373275756836
STI,6.832340717315674
CTH,6.126910209655762
SFS,5.905319690704346
AWO,4.905956268310547
DOH,5.627541542053223
SOD,3.446849822998047
STW,5.173713207244873
UOZ,4.680708885192871
MEI,3.481447219848633
ETL,2.716167449951172
AVE,5.992795944213867
SZR,2.1266212463378906
JST,4.853548526763916
IFR,2.2504615783691406
IFW,6.130123138427734
CGS,5.055339813232422
PWN,2.3961496353149414
ATS,6.340261459350586
RTH,4.189643859863281
EUO,1.1382570266723633
EMT,3.5512256622314453
BPH,1.856013298034668
AWW,4.969786167144775
ASV,3.5282273292541504
IHW,3.9881181716918945
RWY,7.294663906097412
LTJ,5.876138210296631
SFH,4.247917652130127
NES,1.2745437622070312
IRR,6.839199066162109
TUN,4.837447166442871
IWV,3.1427106857299805
EON,2.25982666015625
STO,1.9637975692749023
ITW,2.393551826477051
SFW,4.83389949798584
IFU,6.893619060516357
VFI,3.593842029571533
EEI,6.869836807250977
SFG,7.272011756896973
LOS,7.054214954376221
SFV,3.444413185119629
IFO,6.462044715881348
RTE,7.431472301483154
MER,7.292231559753418
AFN,6.957635879516602
APC,6.573989391326904
SFN,7.116579532623291
SSY,6.816639423370361
PUN,6.979544639587402
LTL,5.3119964599609375
UOS,7.179655075073242
CGF,6.840230941772461
AHT,6.950444221496582
VET,6.813857555389404
ABW,7.006052017211914
PWW,5.750607490539551
