zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AEL,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFI,0.45,0.715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LTA,0.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFI,0.56,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IWR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46
BEA,0.495,0.605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTW,0.87,0.84,1.0,1.0,1.0,1.0,0.965,1.0,1.0,0.475,0.875,1.0
MEL,0.965,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985
LEV,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975
FAU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEC,0.055,0.715,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,0.76,1.0
FER,0.945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATO,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MWW,0.0,0.445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.605
IMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
AEN,0.0,1.0,0.0,0.0,1.0,1.0,0.645,1.0,1.0,0.935,0.935,1.0
STF,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.775,0.03,1.0,0.97
MAZ,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
AEI,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GIS,0.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.175
TON,0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITE,0.8,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.4,0.6,1.0,0.0
NON,0.36,0.395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.705
MOR,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.185
AST,0.0,0.59,1.0,1.0,1.0,1.0,1.0,1.0,0.055,0.515,0.925,0.0
PHI,0.025,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.0,0.975
SAV,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.915
UOV,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ITT,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
MTT,1.0,1.0,1.0,1.0,1.0,1.0,0.215,1.0,0.245,0.755,0.785,0.0
ITG,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
CON,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,1.0,0.0
NSI,0.045,0.045,1.0,1.0,1.0,1.0,0.955,1.0,0.045,0.045,0.0,0.955
ERI,0.0,0.665,1.0,1.0,1.0,1.0,0.97,1.0,0.945,0.0,1.0,0.18
MTN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0
MRE,0.835,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.0,1.0,1.0,0.87
AFR,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
SWY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
LAU,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.34,0.0
DDR,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
AFX,0.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.91
UFI,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ISV,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ANA,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLO,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
OFF,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
STI,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CTH,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SFS,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AWO,0.0,1.0,0.0,0.0,1.0,1.0,0.875,1.0,1.0,1.0,0.0,0.85
DOH,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16,0.0
SOD,0.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.0,1.0,0.0
STW,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
UOZ,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MEI,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ETL,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
AVE,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
