zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.2336448598130841,0.7445482866043613,0.9143302180685359,0.9065420560747663,0.6915887850467289,0.7959501557632399,0.5934579439252337,0.7757009345794392,0.5218068535825545,0.13239875389408098,0.397196261682243,0.42679127725856697
AEL,0.0,0.01639344262295082,0.4713114754098361,0.4713114754098361,0.9959016393442623,1.0,1.0,0.8934426229508197,0.42213114754098363,0.45491803278688525,0.11475409836065574,0.20491803278688525
MFI,0.4224137931034483,0.8620689655172413,0.9827586206896551,0.9612068965517241,0.1896551724137931,0.9482758620689655,0.7629310344827587,0.9525862068965517,0.40086206896551724,0.6336206896551724,0.4396551724137931,0.5948275862068966
LTA,0.11242603550295859,0.6094674556213018,0.5680473372781065,0.6331360946745562,0.5443786982248521,1.0,0.6863905325443787,0.6035502958579881,0.23076923076923078,0.08875739644970414,0.14792899408284024,0.5266272189349113
AFI,0.8389830508474576,0.4830508474576271,0.2457627118644068,0.2033898305084746,0.9322033898305084,0.9830508474576272,0.9152542372881356,0.8728813559322034,0.3474576271186441,0.3220338983050847,0.5254237288135594,0.5932203389830508
IWR,0.08035714285714286,0.19642857142857142,0.05357142857142857,0.4017857142857143,1.0,1.0,0.6785714285714286,0.375,0.25892857142857145,0.9910714285714286,0.0,0.03571428571428571
BEA,0.5779816513761468,0.45871559633027525,0.8715596330275229,0.9357798165137615,0.7522935779816514,0.944954128440367,0.6422018348623854,0.5871559633027523,0.6972477064220184,0.6972477064220184,0.29357798165137616,0.3302752293577982
MTW,0.8557692307692307,0.40384615384615385,1.0,0.8846153846153846,0.8173076923076923,1.0,0.8942307692307693,0.7788461538461539,0.41346153846153844,0.2692307692307692,0.8365384615384616,0.22115384615384615
MEL,0.14563106796116504,0.49514563106796117,0.912621359223301,0.8737864077669902,0.5145631067961165,0.9902912621359223,0.6310679611650486,0.9320388349514563,0.33980582524271846,0.2621359223300971,0.30097087378640774,0.44660194174757284
LEV,0.42696629213483145,0.0,0.9325842696629213,0.8202247191011236,0.14606741573033707,1.0,0.25842696629213485,0.9662921348314607,0.6853932584269663,0.6629213483146067,0.550561797752809,0.0898876404494382
FAU,0.04054054054054054,0.918918918918919,1.0,1.0,0.05405405405405406,0.9864864864864865,0.08108108108108109,1.0,0.8243243243243243,0.28378378378378377,0.013513513513513514,0.06756756756756757
BEC,0.8783783783783784,0.12162162162162163,0.013513513513513514,0.8108108108108109,1.0,1.0,0.9459459459459459,0.08108108108108109,0.3783783783783784,0.9324324324324325,0.13513513513513514,0.3108108108108108
FER,0.10144927536231885,0.9130434782608695,0.9710144927536232,0.9420289855072463,0.463768115942029,0.9420289855072463,0.8985507246376812,0.5217391304347826,0.2608695652173913,0.07246376811594203,0.5362318840579711,0.2028985507246377
ATO,0.0,0.0,0.25396825396825395,0.25396825396825395,1.0,1.0,1.0,0.873015873015873,0.3333333333333333,0.031746031746031744,0.0,0.19047619047619047
MWW,0.0,0.06451612903225806,0.9516129032258065,0.5806451612903226,0.8387096774193549,0.8548387096774194,0.3387096774193548,0.9838709677419355,0.06451612903225806,0.8870967741935484,0.5967741935483871,0.11290322580645161
IMF,0.1111111111111111,1.0,1.0,1.0,0.07407407407407407,1.0,0.8333333333333334,1.0,0.0,0.8148148148148148,0.0,0.0
