zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.44657121638075614
AEL,CCCNCCC,0.655953784981275
CHA,OSDA-free,0.1558902000591656
MFI,OSDA-free,0.13040673229958172
CHA,CCN(CC)CC,0.4985156019012073
LTA,C[N+](C)(C)C,1.0210173595247194
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.720250484634376
CHA,C1COCCN1,0.3344743958164372
ATO,CCCNCCC,0.8666561616979487
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8615843738526765
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.3282595032013629
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.5468377325228793
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8796498862827087
LEV,C[N+]12CCC(CC1)CC2,0.2981756839676662
AFI,CCCN(CCC)CCC,0.8412665461446459
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6332191036456077
MAZ,OSDA-free,0.13731579626620963
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.6651223174574581
AEN,CC[n+]1ccn(C)c1C,1.1022441682438684
FAU,C1COCCOCCOCCOCCOCCO1,0.1666116438068715
FAU,CC[N+](CC)(CC)CC,0.15276459118949628
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1045114500428488
PHI,OSDA-free,0.0765254759500935
GIS,CCCNCCC,0.3291935238085758
LEV,C[N+]1(C)CCCCC1,0.14267294674612083
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1827773867740168
FER,C[N+]1(Cc2ccccc2)CCCC1,0.20493404969728038
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.0585196820395204
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6333305754296836
SAV,C1CNCCCNCCNCCNC1,0.04391186998550882
AEI,CC[P+](CC)(CC)CC,0.010183867323190706
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.2256855781247737
NSI,c1cc(-c2ccncc2)ccn1,1.2539679878723557
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.0385178178683585
FER,C1CNCCN1,0.15465768994052598
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.7590108540997096
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.5165352119037699
MWW,CCCCCCC[N+](C)(C)C,1.0604158248090814
MFI,CCN,0.3760522486457873
