zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,4.734350681304932
AEL,CCCNCCC,4.767412185668945
CHA,OSDA-free,5.345591068267822
MFI,OSDA-free,5.45952033996582
CHA,CCN(CC)CC,5.669112682342529
LTA,C[N+](C)(C)C,4.502608299255371
MEL,CCCC[N+](CCCC)(CCCC)CCCC,4.389176845550537
CHA,C1COCCN1,5.121994972229004
ATO,CCCNCCC,5.927990913391113
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.815850257873535
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,5.550005912780762
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,6.236679553985596
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,4.351391315460205
LEV,C[N+]12CCC(CC1)CC2,5.842164993286133
AFI,CCCN(CCC)CCC,4.346297740936279
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.961471080780029
MAZ,OSDA-free,5.863113880157471
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.983067035675049
AEN,CC[n+]1ccn(C)c1C,3.4772815704345703
FAU,C1COCCOCCOCCOCCOCCO1,5.320095539093018
FAU,CC[N+](CC)(CC)CC,5.754483699798584
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,6.34758996963501
PHI,OSDA-free,6.191613674163818
GIS,CCCNCCC,6.085219860076904
LEV,C[N+]1(C)CCCCC1,5.61806583404541
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.853176116943359
FER,C[N+]1(Cc2ccccc2)CCCC1,6.448164939880371
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.700324058532715
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,7.356331825256348
SAV,C1CNCCCNCCNCCNC1,5.336924076080322
AEI,CC[P+](CC)(CC)CC,6.0022125244140625
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,4.584400177001953
NSI,c1cc(-c2ccncc2)ccn1,5.504715919494629
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,4.644018173217773
FER,C1CNCCN1,5.682298183441162
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,6.548641204833984
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,4.899774074554443
MWW,CCCCCCC[N+](C)(C)C,7.31351900100708
MFI,CCN,5.020110130310059
TON,NCCCCCCCCN,5.23213529586792
AFR,CCC[N+](CCC)(CCC)CCC,3.6758899688720703
AST,c1ccncc1,6.36350679397583
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,6.5315704345703125
