zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.975,0.995,0.99,0.96,0.935,0.86,1.0,1.0,1.0,1.0,1.0,0.965
AEL,0.685,0.96,0.995,0.995,0.975,0.9,0.83,1.0,0.99,0.95,0.915,0.96
MFI,0.945,0.995,1.0,1.0,0.985,0.99,0.995,1.0,0.995,0.965,0.955,0.99
LTA,0.745,0.835,0.985,0.995,0.955,1.0,0.65,1.0,0.95,0.745,1.0,0.97
AFI,0.79,0.825,0.99,0.98,0.865,0.995,0.945,0.98,0.99,0.965,0.925,0.91
IWR,0.695,0.95,0.885,0.895,0.85,0.98,0.815,0.995,0.965,0.645,0.52,0.26
BEA,0.865,0.985,0.985,0.96,0.975,1.0,0.995,0.99,0.995,0.985,0.995,0.94
MTW,0.785,0.93,0.995,0.985,0.97,0.995,0.89,1.0,0.965,0.915,0.935,0.965
MEL,0.815,0.985,0.99,1.0,0.99,1.0,0.99,0.945,0.905,0.96,0.935,0.615
LEV,0.97,0.98,1.0,0.975,1.0,0.995,0.895,0.96,0.95,0.985,0.87,0.91
FAU,0.925,0.905,0.91,0.915,0.975,0.935,0.905,0.92,0.835,0.765,0.81,0.9
BEC,0.9,0.98,0.735,0.95,1.0,1.0,0.96,1.0,0.975,0.81,0.89,0.565
FER,0.92,0.86,0.99,1.0,0.89,0.99,0.84,0.965,0.965,0.83,0.76,0.89
ATO,0.72,0.52,1.0,0.995,0.815,1.0,0.98,1.0,0.84,0.935,0.615,0.51
MWW,0.715,0.985,1.0,0.875,0.935,1.0,0.955,0.915,0.96,0.72,0.955,0.75
IMF,0.565,0.65,0.965,0.995,0.665,1.0,0.445,0.935,0.345,0.82,0.71,0.625
AEN,0.21,0.97,0.485,0.225,0.98,0.92,0.895,0.49,1.0,0.985,0.48,0.74
STF,0.805,0.975,0.995,0.9,0.89,1.0,0.825,0.945,0.765,0.76,0.895,0.86
MAZ,0.15,0.99,0.955,0.96,0.54,0.78,0.67,0.995,0.765,0.995,0.555,0.845
AEI,0.38,0.61,0.915,0.915,0.77,0.965,0.765,0.95,0.66,0.93,0.545,0.635
GIS,0.705,0.935,1.0,1.0,0.87,0.915,0.86,0.97,0.71,0.86,0.465,0.86
TON,0.61,0.87,0.99,0.99,0.845,0.89,0.79,0.935,0.915,0.735,0.67,0.555
ITE,0.73,0.99,0.915,0.905,0.865,0.995,0.785,0.9,0.69,0.745,0.815,0.52
NON,0.56,0.875,1.0,0.995,0.64,1.0,0.705,0.975,0.495,0.43,0.915,0.495
MOR,0.345,0.66,0.875,0.875,0.85,0.955,0.9,0.89,0.935,0.885,0.635,0.73
AST,0.46,0.395,0.985,1.0,0.69,0.985,0.6,0.955,0.61,0.62,0.635,0.135
PHI,0.715,0.98,1.0,1.0,0.84,0.65,0.7,0.99,0.82,0.985,0.69,0.79
SAV,0.32,0.9,0.98,0.995,0.44,0.995,0.725,0.985,0.095,0.935,0.14,0.415
UOV,0.615,0.58,0.08,0.98,0.87,1.0,0.545,0.865,0.845,0.935,0.79,0.325
ITT,0.74,0.99,0.095,1.0,0.955,1.0,0.885,0.95,0.66,0.855,0.01,0.175
MTT,0.625,0.92,0.995,0.99,0.85,0.995,0.92,0.91,0.455,0.835,0.205,0.61
ITG,0.65,0.99,0.15,0.895,0.995,1.0,0.115,0.62,0.55,0.67,0.56,0.26
CON,0.655,0.985,0.99,0.915,0.995,1.0,0.695,0.97,0.87,0.715,0.535,0.35
NSI,0.885,0.765,1.0,0.985,0.935,0.99,0.955,0.835,0.715,0.1,0.07,0.505
ERI,0.25,0.98,1.0,0.99,0.65,0.7,0.55,0.975,0.35,0.275,0.345,0.55
MTN,0.475,0.88,0.835,0.815,0.89,0.975,0.81,0.99,0.645,0.42,0.405,0.46
MRE,0.59,0.96,0.88,0.89,0.665,0.995,0.265,0.815,0.605,0.795,0.33,0.495
AFR,0.355,0.535,0.985,0.99,0.76,1.0,0.49,0.87,0.7,0.61,0.315,0.22
SWY,0.77,0.0,0.92,0.935,0.58,1.0,0.725,1.0,0.51,0.315,0.22,0.325
LAU,0.71,0.575,0.97,1.0,0.89,0.945,0.875,0.79,0.68,0.265,0.155,0.15
DDR,0.765,0.99,0.965,0.87,0.965,0.995,0.95,0.86,0.34,0.575,0.46,0.845
AFX,0.15,0.99,0.99,0.99,0.585,1.0,0.385,0.93,0.235,0.25,0.21,0.405
UFI,0.0,0.47,0.875,0.87,0.86,0.925,0.0,0.81,0.275,0.01,0.18,0.465
ISV,0.98,0.97,0.655,0.99,1.0,1.0,1.0,0.995,1.0,0.99,0.86,0.1
ANA,0.325,0.58,0.855,0.85,0.725,0.955,0.595,0.92,0.76,0.675,0.615,0.45
CLO,0.13,0.62,0.27,0.13,0.735,1.0,0.985,0.07,0.675,0.055,0.195,0.145
OFF,0.135,0.34,0.95,0.94,0.98,1.0,0.115,0.45,0.79,0.16,0.0,0.305
STI,0.23,0.29,0.225,0.78,0.7,0.795,0.435,0.0,0.455,0.16,0.12,0.315
CTH,0.65,0.635,0.005,0.985,0.925,1.0,0.825,0.595,0.87,0.8,0.025,0.42
SFS,0.745,0.735,0.975,0.01,0.905,1.0,0.955,0.73,0.225,0.17,0.57,0.415
AWO,0.435,0.385,0.42,0.37,0.91,1.0,0.895,0.93,0.605,0.405,0.615,0.265
DOH,0.72,0.375,0.99,0.29,0.83,1.0,0.835,0.98,0.035,0.145,0.575,0.24
SOD,0.855,0.995,0.96,0.955,0.41,0.925,0.215,0.94,0.295,0.085,0.33,0.285
STW,0.91,0.91,0.875,0.955,0.97,1.0,1.0,0.525,0.96,0.74,0.56,0.695
UOZ,0.65,0.995,0.04,0.93,0.785,1.0,0.735,0.34,0.565,0.62,0.27,0.27
MEI,0.715,0.0,0.35,0.42,0.97,1.0,0.89,0.825,0.235,0.025,0.185,0.04
ETL,0.14,0.86,0.97,0.975,0.515,1.0,0.115,0.96,0.33,0.025,0.17,0.18
AVE,0.12,0.01,0.995,1.0,0.375,1.0,0.325,0.93,0.26,0.16,0.085,0.1
SZR,0.385,0.995,1.0,0.995,0.385,0.92,0.43,0.955,0.73,0.895,0.145,0.705
JST,0.565,0.95,0.18,0.18,0.985,0.915,0.92,1.0,0.12,0.0,0.025,0.145
IFR,0.08,0.37,0.89,0.86,0.97,0.97,0.035,0.735,0.035,0.25,0.745,0.28
IFW,0.27,0.315,0.955,0.005,0.575,0.995,0.5,0.95,0.665,0.605,0.375,0.045
CGS,0.7,0.4,1.0,0.995,0.775,0.935,0.74,0.825,0.235,0.38,0.465,0.215
PWN,0.0,0.905,0.99,0.995,0.28,0.745,0.045,1.0,0.705,0.22,0.08,0.21
ATS,0.49,0.01,0.48,0.49,0.925,0.945,0.93,0.845,0.23,0.19,0.33,0.155
RTH,0.095,0.7,0.615,0.0,0.09,0.935,0.89,0.88,0.015,0.19,0.125,0.21
EUO,0.4,0.67,0.935,0.89,0.805,1.0,0.705,0.9,0.545,0.85,0.4,0.15
EMT,0.215,0.975,1.0,1.0,0.535,1.0,0.46,0.86,0.34,0.21,0.12,0.245
BPH,0.185,0.585,0.835,0.995,0.75,1.0,0.53,0.68,0.255,0.435,0.165,0.155
AWW,0.3466666666666667,0.03333333333333333,0.18,0.24,0.8133333333333334,1.0,0.7533333333333333,0.7733333333333333,0.44,0.04666666666666667,0.1,0.21333333333333335
ASV,0.6933333333333334,0.9866666666666667,0.0,0.74,0.96,1.0,0.09333333333333334,0.44,0.22666666666666666,0.3333333333333333,0.16666666666666666,0.22666666666666666
IHW,0.20666666666666667,0.7933333333333333,0.9866666666666667,0.9333333333333333,0.6466666666666666,1.0,0.44666666666666666,0.04666666666666667,0.14,0.2733333333333333,0.3333333333333333,0.12666666666666668
RWY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006666666666666667,0.08666666666666667,0.0
LTJ,0.10666666666666667,0.9133333333333333,0.9866666666666667,0.9866666666666667,0.08,0.0,0.04,1.0,0.29333333333333333,1.0,0.5933333333333334,0.4533333333333333
SFH,0.8533333333333334,0.86,0.9866666666666667,0.04,0.9933333333333333,1.0,0.8533333333333334,0.5866666666666667,0.09333333333333334,0.3,0.4666666666666667,0.17333333333333334
NES,0.7,0.99,0.96,0.95,0.69,0.98,0.54,0.14,0.26,0.17,0.3,0.09
IRR,0.69,0.55,0.01,0.98,1.0,1.0,1.0,0.0,1.0,0.05,0.0,0.0
TUN,0.01,0.74,1.0,0.97,0.43,0.84,0.16,0.97,0.37,0.05,0.24,0.1
IWV,0.18,0.58,0.98,1.0,0.82,1.0,0.67,0.89,0.55,0.45,0.27,0.16
EON,0.14,0.74,0.97,0.96,0.6,0.96,0.21,1.0,0.24,0.05,0.22,0.04
STO,0.88,0.73,1.0,0.96,0.14,1.0,0.26,0.81,0.15,0.35,0.28,0.02
ITW,0.69,0.69,0.98,0.99,0.94,1.0,0.93,0.48,0.38,0.06,0.16,0.1
SFW,0.04,0.34,0.95,0.85,0.0,1.0,0.09,0.72,0.17,0.07,0.02,0.02
IFU,0.99,1.0,0.0,0.94,1.0,1.0,1.0,0.05,0.93,0.0,0.0,0.23
VFI,0.91,0.09,0.2,0.22,0.46,1.0,0.41,0.89,0.36,0.46,0.07,0.53
EEI,0.0,0.12,0.28,0.3,0.98,1.0,1.0,1.0,0.18,0.52,0.06,0.02
SFG,0.04,0.62,0.08,0.02,0.96,1.0,0.86,0.4,0.02,0.04,0.32,0.0
LOS,0.54,0.56,0.94,0.96,0.06,1.0,0.0,0.9,0.0,0.0,0.0,0.02
SFV,0.0,0.0,0.04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
IFO,0.44,0.52,0.94,0.94,0.92,0.98,0.42,0.0,0.24,0.2,0.0,0.02
RTE,0.28,0.38,0.2,0.2,0.7,0.82,0.54,0.9,0.02,0.02,0.46,0.0
MER,0.38,0.58,0.4,0.32,0.88,0.98,0.94,0.82,0.0,0.06,0.3,0.28
AFN,0.2,0.04,0.14,0.18,0.6,1.0,0.24,0.9,0.3,0.14,0.28,0.12
APC,1.0,0.08,0.1,0.1,0.98,1.0,1.0,1.0,0.92,0.2,0.0,0.0
SFN,0.56,0.66,0.86,0.0,0.06,1.0,0.02,0.7,0.1,0.32,0.16,0.02
SSY,0.66,0.66,0.94,0.0,0.04,1.0,0.08,0.78,0.08,0.16,0.36,0.02
PUN,0.32,0.66,0.16,0.16,0.62,0.98,0.04,0.96,0.08,0.34,0.3,0.2
LTL,0.04,0.64,0.5,0.52,0.9,0.0,0.0,0.96,0.06,0.02,0.22,0.1
UOS,0.7,0.76,0.02,0.88,0.9,1.0,0.78,0.04,0.64,0.22,0.3,0.3
CGF,0.22,0.28,0.66,0.6,0.76,1.0,1.0,0.94,0.02,0.0,0.14,0.32
AHT,0.7,0.26,0.36,0.32,0.9,0.96,0.84,0.92,0.18,0.4,0.0,0.0
VET,0.72,0.66,0.92,0.82,0.94,1.0,0.0,0.46,0.06,0.28,0.0,0.0
ABW,0.26,0.32,0.14,0.14,0.64,1.0,0.7,0.78,0.22,0.0,0.0,0.14
PWW,0.14,0.7,0.94,0.98,0.94,1.0,0.66,0.0,0.7,0.38,0.32,0.28
