zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,5.789065361022949,6.655744552612305,12.444809913635254,0.36768639087677,0.30394482612609863,0.6716312170028687,0.4299086928367615,0.4299086928367615,0.0,0.03131762146949768,0.28919553756713867,0.32051315903663635,0.2527063861489296,0.35859888792037964,0.10589250177145004,0.2921987399458885,0.3963533937931061,0.10415465384721756,0.13519611954689026,0.3389424979686737,0.20374637842178345,0.10930913826450706,0.001294358167797327,0.11060349643230438,2.6792259216308594,28.114667892456055,30.793893814086914,0.28401750326156616,0.25578248500823975,0.5397999882698059,10.676925659179688,153.00624084472656,163.68316650390625,62.758872985839844,149.83035278320312,87.07147979736328
AEL,3.5313838198781013,3.6261675357818604,0.094783715903759,0.06920701265335083,0.8789802193641663,0.9481872320175171,0.017520859837532043,0.017520859837532043,0.0,0.05830992013216019,0.05830992013216019,0.0,0.022085742326453328,0.022630993276834488,0.0005452509503811598,0.020040230825543404,0.020040230825543404,0.0,0.008049373514950275,0.008049373514950275,0.0,0.00030633434653282166,0.03552228957414627,0.03582862392067909,10.402362823486328,17.972814559936523,28.37517738342285,0.010539323091506958,0.3969174921512604,0.40745681524276733,10.846633911132812,174.25717163085938,185.1038055419922,6.716194152832031,83.23614501953125,76.51995086669922
MFI,30.05531883239746,20.60698127746582,50.66230010986328,0.03853125125169754,0.03853125125169754,0.0,1.5544459819793701,2.254446268081665,0.7000002861022949,18.722097158432007,1.5640528202056885,20.286149978637695,0.10451662540435791,0.36213400959968567,0.25761738419532776,0.5836253818124533,0.6025044322013855,0.018879050388932228,0.046219855546951294,0.3294757008552551,0.28325584530830383,0.0076460279524326324,0.026103973388671875,0.03375000134110451,4.774406433105469,32.0257682800293,36.800174713134766,0.10135485231876373,0.21930359303951263,0.32065844535827637,14.174102783203125,154.34552001953125,168.51962280273438,32.056358337402344,143.06089782714844,111.0045394897461
LTA,3.3916373252868652,4.9788594245910645,1.5872220993041992,0.2549193799495697,0.275106281042099,0.5300256609916687,0.9915571808815002,0.2828299403190613,1.2743871212005615,0.09626941382884979,0.09626941382884979,0.0,0.1228143572807312,0.12162701785564423,0.24444137513637543,0.38878971338272095,0.38878971338272095,0.0,0.3467104434967041,0.17702323198318481,0.5237336754798889,0.08153131231665611,0.012353885918855667,0.09388519823551178,9.852958679199219,45.146392822265625,54.999351501464844,0.906872421503067,0.2397761046886444,1.1466485261917114,26.636871337890625,161.9639129638672,135.32704162597656,5.470733642578125,128.86473083496094,123.39399719238281
AFI,6.859047710895538,7.587206840515137,0.7281591296195984,0.2333976924419403,0.47996756434440613,0.7133652567863464,0.33985960483551025,0.33985960483551025,0.0,1.9933892637491226,0.08107839524745941,2.074467658996582,0.04721279256045818,0.05364834517240524,0.00643555261194706,0.08420630730688572,0.08886732906103134,0.004661021754145622,0.01406019739806652,0.035620175302028656,0.021559977903962135,0.03353690356016159,0.07788717746734619,0.0443502739071846,10.880912780761719,27.480640411376953,38.36155319213867,0.10332012176513672,0.3349353075027466,0.4382554292678833,5.481201171875,163.6756134033203,169.1568145751953,5.9835662841796875,107.35905456542969,101.37548828125
IWR,2.751697540283203,27.547197341918945,24.795499801635742,0.01828915625810623,0.01828915625810623,0.0,3.5000343322753906,5.330389022827148,8.830423355102539,24.594624638557434,1.361733317375183,25.956357955932617,0.045288991183042526,0.045288991183042526,0.0,0.38153275847435,0.38153275847435,0.0,0.038458630442619324,0.17877650260925293,0.1403178721666336,0.12718923389911652,0.16347043216228485,0.29065966606140137,9.968247413635254,17.447303771972656,7.479056358337402,0.020674094557762146,0.2213742733001709,0.24204836785793304,6.6862945556640625,168.26905822753906,174.95535278320312,46.41021728515625,283.58978271484375,330.0
BEA,0.3590240478515625,20.598148345947266,20.239124298095703,0.017276206985116005,0.017276206985116005,0.0,0.7055482864379883,6.232663154602051,5.5271148681640625,11.575972557067871,9.169615745544434,20.745588302612305,0.03548969700932503,0.04284261539578438,0.0783323124051094,0.06054147332906723,0.07723228633403778,0.01669081300497055,0.02668459713459015,0.16611820459365845,0.1928028017282486,0.048782482743263245,0.1390424370765686,0.18782491981983185,3.665400505065918,11.786820411682129,15.452220916748047,0.03772692382335663,0.2284144014120102,0.2661413252353668,4.0992584228515625,160.73878479003906,156.6395263671875,64.73574829101562,231.34991455078125,296.0856628417969
MTW,39.07163619995117,23.415298461914062,62.486934661865234,0.06319482624530792,0.06319482624530792,0.0,3.801896572113037,3.801896572113037,0.0,47.40071326494217,0.7879731059074402,48.18868637084961,0.04060433804988861,0.07545491307973862,0.11605925112962723,0.16462887823581696,0.16462887823581696,0.0,0.005542948842048645,0.13533608615398407,0.12979313731193542,0.0026827529072761536,0.08684292435646057,0.08416017144918442,0.6800689697265625,40.338809967041016,41.01887893676758,0.08175306022167206,0.24961839616298676,0.3313714563846588,7.708831787109375,163.13865661621094,155.42982482910156,206.10641479492188,232.84579467773438,438.95220947265625
MEL,19.20075511932373,11.311795234680176,30.512550354003906,0.03446551784873009,0.03446551784873009,0.0,0.2921634018421173,0.2921634018421173,0.0,7.571325972676277,0.2125580757856369,7.783884048461914,0.08226702362298965,0.042872436344623566,0.12513945996761322,0.03714230330660939,0.03834450989961624,0.0012022065930068493,0.09281817078590393,0.33093395829200745,0.23811578750610352,0.10296958312392235,0.13695016503334045,0.033980581909418106,6.7422637939453125,49.061676025390625,42.31941223144531,0.10279873013496399,0.33325085043907166,0.23045212030410767,7.7059173583984375,154.59365844726562,146.8877410888672,56.02595520019531,127.69093322753906,183.71688842773438
LEV,3.594829559326172,12.246920585632324,15.841750144958496,0.19940541684627533,0.0769050270318985,0.27631044387817383,1.612361341714859,1.9456946849822998,0.3333333432674408,2.2590093910694122,0.36839887499809265,2.627408266067505,0.11410686373710632,0.12939836084842682,0.24350522458553314,0.33334648609161377,0.33334648609161377,0.0,0.013967663049697876,0.24744102358818054,0.2614086866378784,0.042998142540454865,0.05917791649699211,0.016179773956537247,0.3295326232910156,15.357329368591309,15.027796745300293,0.033577218651771545,0.2794235050678253,0.24584628641605377,12.247406005859375,149.21327209472656,161.46067810058594,35.66583251953125,193.1598358154297,228.82566833496094
FAU,0.9174985885620117,5.60106897354126,6.5185675621032715,0.08867854624986649,0.17201188206672668,0.0833333358168602,,0.5576914548873901,,,0.027651764452457428,,0.14500342309474945,0.1297673135995865,0.27477073669433594,0.4231647312408313,0.4246174991130829,0.0014527678722515702,0.046443432569503784,0.2585301697254181,0.3049736022949219,0.021255653351545334,0.021255653351545334,0.0,10.506251335144043,22.38702964782715,11.880778312683105,0.2127089947462082,0.367259681224823,0.1545506864786148,22.11187744140625,135.44314575195312,113.33126831054688,37.179718017578125,170.06610107421875,207.24581909179688
BEC,0.3917045593261719,22.63623046875,23.027935028076172,0.07632655650377274,0.07632655650377274,0.0,1.1409764289855957,3.7385339736938477,4.879510402679443,16.22026252746582,4.195972442626953,20.416234970092773,0.025547530502080917,0.025547530502080917,0.0,0.026679864153265953,0.026679864153265953,0.0,0.03816352225840092,0.06521759927272797,0.02705407701432705,0.13264207541942596,0.2081613689661026,0.34080344438552856,8.68980598449707,12.60615062713623,3.91634464263916,0.022643834352493286,0.23559027910232544,0.2582341134548187,0.7458648681640625,172.02964782714844,171.28378295898438,96.90582275390625,134.296875,231.20269775390625
FER,12.285264015197754,11.829236030578613,24.114500045776367,0.22533012926578522,0.22533012926578522,0.0,0.9661837816238403,0.9661837816238403,0.0,2.073244631290436,0.1767544150352478,2.2499990463256836,0.08448133617639542,0.06699255853891373,0.15147389471530914,0.14064912777394056,0.14855226874351501,0.007903140969574451,0.01526956632733345,0.066892609000206,0.05162304267287254,0.18602347373962402,0.12106844782829285,0.30709192156791687,3.266765594482422,22.547334671020508,25.81410026550293,0.2996189594268799,0.5496086478233337,0.8492276072502136,7.9339447021484375,161.6874237060547,153.75347900390625,355.47715759277344,199.89772033691406,555.3748779296875
ATO,2.2952349334955215,2.3422117233276367,0.04697678983211517,0.4043811559677124,0.5974187850952148,1.0017999410629272,0.011976871639490128,0.011976871639490128,0.0,0.014847810380160809,0.014847810380160809,0.0,0.02307278849184513,0.02307278849184513,0.0,0.003918135073035955,0.003918135073035955,0.0,0.0,0.0,0.0,0.02904067002236843,0.0,0.02904067002236843,24.9918155670166,22.748342514038086,47.74015808105469,0.0676422119140625,0.3190343976020813,0.3866766095161438,10.98876953125,180.75918579101562,191.74795532226562,41.715858459472656,94.901123046875,53.185264587402344
