zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.4369792938232422
AEL,CCCNCCC,0.41603660583496094
CHA,OSDA-free,0.792445182800293
MFI,OSDA-free,0.8114843368530273
CHA,CCN(CC)CC,1.4448308944702148
LTA,C[N+](C)(C)C,0.9915399551391602
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.20890235900878906
CHA,C1COCCN1,0.7225551605224609
ATO,CCCNCCC,1.1329240798950195
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5424213409423828
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8460397720336914
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.4215831756591797
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.3524184226989746
LEV,C[N+]12CCC(CC1)CC2,0.9152803421020508
AFI,CCCN(CCC)CCC,0.3536825180053711
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.22240352630615234
MAZ,OSDA-free,0.6390409469604492
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0130443572998047
AEN,CC[n+]1ccn(C)c1C,1.8101387023925781
FAU,C1COCCOCCOCCOCCOCCO1,0.23593425750732422
FAU,CC[N+](CC)(CC)CC,0.7182188034057617
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.5762104988098145
PHI,OSDA-free,0.6478681564331055
GIS,CCCNCCC,2.529867649078369
LEV,C[N+]1(C)CCCCC1,0.44515037536621094
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.563185214996338
FER,C[N+]1(Cc2ccccc2)CCCC1,1.8034563064575195
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.2228264808654785
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.1872148513793945
SAV,C1CNCCCNCCNCCNC1,0.6921272277832031
AEI,CC[P+](CC)(CC)CC,1.4067878723144531
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.4392271041870117
NSI,c1cc(-c2ccncc2)ccn1,0.9205493927001953
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.4330663681030273
FER,C1CNCCN1,0.4690742492675781
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9132242202758789
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3814888000488281
MWW,CCCCCCC[N+](C)(C)C,2.2395801544189453
MFI,CCN,0.700714111328125
TON,NCCCCCCCCN,0.41271018981933594
AFR,CCC[N+](CCC)(CCC)CCC,1.6208739280700684
AST,c1ccncc1,2.4452757835388184
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.2065057754516602
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.2536039352416992
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.4410400390625
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.2842283248901367
STF,CCC1CCCC[N+]12CCCCC2,1.9079394340515137
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.20767784118652344
CHA,CC(C)NC(C)C,2.022416114807129
MFI,CCCN(CCC)CCCCCN(CCC)CCC,-0.049263954162597656
ITE,NCCNCCNCCNCCNCCN,1.9415512084960938
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2924976348876953
UFI,CC[N+](CC)(CC)CC,3.0305533409118652
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,2.449673652648926
CLO,C1CN2CCC1CC2,2.1318745613098145
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.22745800018310547
AFI,[CH]1C=CC=C1,3.19248628616333
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.5143280029296875
LAU,c1c[nH]cn1,1.049170970916748
LEV,CC[N+](C)(C)CC,0.6659955978393555
OFF,C[N+](C)(C)Cc1ccccc1,2.3657217025756836
FER,NCCCCN,1.5482206344604492
DDR,C[N+]1(C)C2CCC1CC(O)C2,1.2518773078918457
STI,CC[N+](CC)(CC)CC,3.4318575859069824
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.156813621520996
STF,CC1(C)C2CCC[N+](C)(C)C1C2,1.1703667640686035
MTN,C1CCNC1,1.3192558288574219
AFI,CCN(C(C)C)C(C)C,2.0505123138427734
AEN,CC[N+](CC)(CC)CC,1.451582431793213
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.2723541259765625
AST,CC(C)[N+](C)(C)C,2.286190986633301
MTW,C1CN2CCN1CC2,2.667896270751953
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.0247230529785156
MTW,C1CCC[N+]2(CC1)CCCCC2,0.932124137878418
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,2.3978567123413086
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,2.822507381439209
MFI,C1CCNC1,0.5235824584960938
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,2.3479785919189453
NON,CC1CCCN1,4.051063537597656
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,3.306560516357422
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.3992156982421875
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.9189062118530273
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.441154956817627
CHA,CN(CCO)CCO,0.8711633682250977
FAU,Cc1cccc(C)[n+]1C,0.7119770050048828
NON,CC1CCCCN1,3.3550968170166016
CHA,CN1CCNCC1,2.2033681869506836
ERI,C[N+]1(C)CCCCC1,1.8021135330200195
AFI,C1CCCNCC1,0.8991584777832031
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.9380741119384766
ITE,C[N+]1(C)CCCCC2CCCCC21,2.1914877891540527
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.9718732833862305
