zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.8878504672897196,0.9485981308411215,1.0,0.9922118380062306,0.9984423676012462,0.9922118380062306,1.0,0.9345794392523364,0.8551401869158879,0.9345794392523364,0.9704049844236761,0.9595015576323987
AEL,1.0,0.9959016393442623,1.0,1.0,1.0,1.0,1.0,0.9959016393442623,0.889344262295082,0.9836065573770492,0.9590163934426229,0.930327868852459
MFI,0.8448275862068966,1.0,0.9913793103448276,0.9698275862068966,1.0,0.978448275862069,0.9913793103448276,0.9655172413793104,0.9181034482758621,0.9353448275862069,0.75,0.9655172413793104
LTA,1.0,0.7869822485207101,0.9408284023668639,1.0,0.834319526627219,1.0,0.7455621301775148,1.0,1.0,0.5502958579881657,0.8579881656804734,0.9408284023668639
AFI,0.9915254237288136,0.9745762711864406,1.0,0.9661016949152542,1.0,1.0,1.0,0.9830508474576272,0.9915254237288136,0.9745762711864406,0.9661016949152542,0.9745762711864406
IWR,0.9821428571428571,1.0,0.7678571428571429,0.4107142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEA,0.8899082568807339,1.0,0.9174311926605505,0.9357798165137615,0.963302752293578,0.944954128440367,0.981651376146789,1.0,0.9724770642201835,0.944954128440367,0.981651376146789,0.908256880733945
MTW,0.9711538461538461,1.0,1.0,0.9038461538461539,0.9711538461538461,1.0,1.0,1.0,1.0,0.9326923076923077,1.0,0.8653846153846154
MEL,0.8155339805825242,1.0,1.0,0.9611650485436893,0.9514563106796117,0.9902912621359223,0.9902912621359223,1.0,0.9611650485436893,0.9514563106796117,0.8446601941747572,0.8737864077669902
LEV,0.9662921348314607,0.9775280898876404,0.9887640449438202,0.8764044943820225,0.9775280898876404,1.0,0.9887640449438202,1.0,0.9775280898876404,1.0,0.898876404494382,0.9438202247191011
FAU,0.9324324324324325,1.0,1.0,1.0,0.9324324324324325,1.0,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.9459459459459459
BEC,0.918918918918919,1.0,0.9594594594594594,0.8378378378378378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FER,0.9420289855072463,1.0,1.0,0.9710144927536232,0.9855072463768116,0.9420289855072463,1.0,0.8840579710144928,0.9855072463768116,0.9565217391304348,0.8115942028985508,0.7971014492753623
ATO,1.0,0.8412698412698413,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,0.42857142857142855,0.9841269841269841,1.0,0.9682539682539683
MWW,1.0,1.0,1.0,0.9838709677419355,1.0,1.0,0.9032258064516129,0.9838709677419355,1.0,1.0,1.0,0.9354838709677419
