zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.98,0.99,0.96,0.965,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.91
AEL,CCCNCCC,0.88,0.895,1.0,1.0,0.975,1.0,0.97,1.0,0.995,0.995,0.99,0.99
CHA,OSDA-free,0.605,0.98,1.0,1.0,0.395,0.215,1.0,1.0,1.0,1.0,0.785,1.0
MFI,OSDA-free,0.84,1.0,1.0,1.0,1.0,0.995,0.99,1.0,1.0,1.0,0.915,1.0
CHA,CCN(CC)CC,1.0,0.925,0.99,0.99,1.0,1.0,1.0,0.925,0.985,1.0,0.785,0.95
LTA,C[N+](C)(C)C,0.475,1.0,0.995,1.0,0.975,0.98,0.47,1.0,0.83,0.85,0.985,0.995
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.73,0.99,0.995,1.0,0.99,1.0,0.995,1.0,0.925,0.98,0.9,0.875
CHA,C1COCCN1,0.86,0.635,0.98,0.995,0.935,0.98,0.885,0.975,0.99,0.98,0.87,0.995
ATO,CCCNCCC,0.85,0.46,0.995,0.995,1.0,1.0,1.0,1.0,0.985,0.87,0.7,0.715
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.915,0.985,0.8,0.965,0.82,1.0,0.88,0.935,0.865,0.81,0.62,0.305
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.96,0.79,0.995,1.0,1.0,1.0,1.0,1.0,0.79,0.93,0.58,0.96
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.655,0.605,0.985,1.0,0.88,1.0,0.345,0.96,0.62,0.615,0.68,0.9
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.47,0.97,0.925,0.795,0.955,1.0,0.785,0.97,0.98,0.28,0.285,0.15
LEV,C[N+]12CCC(CC1)CC2,0.595,0.985,0.87,0.855,0.995,1.0,0.89,0.89,0.78,0.545,0.645,0.835
AFI,CCCN(CCC)CCC,0.985,0.875,0.99,0.995,0.995,1.0,1.0,0.99,0.885,1.0,0.295,0.8
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.98,1.0,0.575,0.96,1.0,1.0,0.96,1.0,0.185,0.95,0.32,0.63
MAZ,OSDA-free,0.455,1.0,0.97,0.975,0.435,0.935,0.505,1.0,0.645,1.0,0.5,0.915
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.55,0.985,1.0,1.0,1.0,0.905,0.875,0.75,0.51,0.605,0.09,0.515
AEN,CC[n+]1ccn(C)c1C,1.0,0.235,0.97,0.915,1.0,1.0,1.0,1.0,0.53,0.57,0.36,0.99
FAU,C1COCCOCCOCCOCCOCCO1,0.825,0.995,0.965,0.965,0.65,0.885,0.85,1.0,0.97,0.96,0.745,0.695
FAU,CC[N+](CC)(CC)CC,0.31,0.84,0.93,0.925,0.315,0.91,0.195,1.0,0.41,0.365,0.455,0.295
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.49,0.435,0.08,0.99,0.635,1.0,0.365,0.945,0.915,0.655,0.46,0.54
PHI,OSDA-free,0.38,0.995,0.92,0.935,0.52,0.705,0.425,1.0,0.925,1.0,0.535,0.76
GIS,CCCNCCC,0.935,0.24,0.995,0.995,1.0,1.0,1.0,1.0,0.295,0.375,0.235,0.53
LEV,C[N+]1(C)CCCCC1,0.555,0.985,0.955,0.955,0.855,1.0,0.825,0.945,0.905,0.945,0.745,0.565
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.535,0.99,0.115,0.97,0.89,1.0,0.785,1.0,0.32,0.19,0.625,0.36
FER,C[N+]1(Cc2ccccc2)CCCC1,0.255,0.94,0.99,1.0,1.0,1.0,0.815,0.975,0.81,0.555,0.62,0.17
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.675,0.99,0.335,0.99,1.0,1.0,0.31,1.0,0.965,0.905,0.63,0.305
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.7,0.575,0.96,0.99,0.96,1.0,0.975,0.435,0.99,0.585,0.405,0.4
SAV,C1CNCCCNCCNCCNC1,0.41,0.575,0.68,0.66,0.575,1.0,0.705,1.0,0.48,0.055,0.01,0.055
AEI,CC[P+](CC)(CC)CC,0.33,0.565,0.75,0.74,0.82,0.84,0.665,1.0,0.28,0.515,0.36,0.16
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.935,0.865,0.96,1.0,0.97,1.0,0.66,0.76,0.63,0.725,0.635,0.755
NSI,c1cc(-c2ccncc2)ccn1,0.975,0.96,0.99,0.99,0.99,1.0,0.95,0.55,0.535,0.015,0.19,0.235
