zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2704401506983113
AEL,CCCNCCC,0.06681192974615545
CHA,OSDA-free,0.3787741848918289
MFI,OSDA-free,0.07630515533218707
CHA,CCN(CC)CC,0.43128575023381743
LTA,C[N+](C)(C)C,0.33546312707732795
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.06660098040864688
CHA,C1COCCN1,0.235117965000986
ATO,CCCNCCC,0.08564507769606577
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6182388838714633
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.33894046252259724
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.4741922288002937
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.5555805750276903
LEV,C[N+]12CCC(CC1)CC2,0.24697625007333956
AFI,CCCN(CCC)CCC,0.06275512486535248
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.10012364480931416
MAZ,OSDA-free,0.1559369530482171
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.35959882526608977
AEN,CC[n+]1ccn(C)c1C,0.1382252257756139
FAU,C1COCCOCCOCCOCCOCCO1,0.11317484620555263
FAU,CC[N+](CC)(CC)CC,0.17664116567294957
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.8424582453597214
PHI,OSDA-free,0.2243001549080389
GIS,CCCNCCC,0.8026069000154169
LEV,C[N+]1(C)CCCCC1,0.12406018420250348
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.635587049840509
FER,C[N+]1(Cc2ccccc2)CCCC1,0.4309171878463913
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.36485873505877814
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.39131404543522963
SAV,C1CNCCCNCCNCCNC1,0.49755761968550244
AEI,CC[P+](CC)(CC)CC,0.35284600679798783
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.2849945636704066
NSI,c1cc(-c2ccncc2)ccn1,0.7370353165018937
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.5944490463150941
FER,C1CNCCN1,0.24620761789211895
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.11409012916795813
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.09071858597772835
MWW,CCCCCCC[N+](C)(C)C,0.6146162976275722
MFI,CCN,0.0932662425891072
TON,NCCCCCCCCN,0.24131927490809768
AFR,CCC[N+](CCC)(CCC)CCC,0.6811175288632116
AST,c1ccncc1,1.0472106465615134
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.06664342659700635
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4199613808432999
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.18793204338312772
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.0901587717161346
STF,CCC1CCCC[N+]12CCCCC2,0.561661180522837
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.10828089504483868
CHA,CC(C)NC(C)C,0.9073338987933881
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.01298632726061874
ITE,NCCNCCNCCNCCNCCN,0.6868278541522159
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.27543572094355984
UFI,CC[N+](CC)(CC)CC,0.7960120420679961
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.4968697609095249
CLO,C1CN2CCC1CC2,0.9365417146575079
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.18262091926288695
AFI,[CH]1C=CC=C1,0.6701571136661413
