zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.9049844236760125,0.9283489096573209,1.0,0.9922118380062306,0.9968847352024922,0.8161993769470405,0.8769470404984424,0.9314641744548287,0.9813084112149533,0.7757009345794392,0.9439252336448598,0.9844236760124611
AEL,1.0,0.9918032786885246,1.0,1.0,1.0,1.0,1.0,0.8975409836065574,0.9016393442622951,0.9672131147540983,0.930327868852459,0.9508196721311475
MFI,0.9525862068965517,1.0,0.9956896551724138,0.9698275862068966,1.0,0.9698275862068966,0.9956896551724138,0.9655172413793104,0.9698275862068966,0.9698275862068966,0.9181034482758621,0.9267241379310345
LTA,1.0,0.8106508875739645,0.9349112426035503,1.0,0.834319526627219,1.0,0.7692307692307693,0.7396449704142012,0.9408284023668639,0.5857988165680473,0.8165680473372781,0.9289940828402367
AFI,1.0,0.9491525423728814,1.0,0.9576271186440678,1.0,0.9830508474576272,1.0,0.9745762711864406,0.9067796610169492,0.9661016949152542,0.9661016949152542,0.9661016949152542
IWR,0.9107142857142857,1.0,0.7678571428571429,0.41964285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571
BEA,0.7798165137614679,1.0,0.981651376146789,0.9357798165137615,0.926605504587156,0.9724770642201835,1.0,0.981651376146789,0.981651376146789,0.9724770642201835,0.7889908256880734,0.8165137614678899
MTW,0.9519230769230769,1.0,1.0,0.9038461538461539,0.9903846153846154,1.0,0.9903846153846154,1.0,1.0,0.9326923076923077,1.0,0.7980769230769231
MEL,0.8932038834951457,1.0,1.0,0.9611650485436893,0.9611650485436893,1.0,1.0,1.0,0.9611650485436893,1.0,0.970873786407767,0.8737864077669902
LEV,0.9775280898876404,0.9662921348314607,1.0,0.8764044943820225,0.9887640449438202,1.0,0.9887640449438202,1.0,0.9662921348314607,0.9887640449438202,0.898876404494382,0.9550561797752809
FAU,1.0,1.0,1.0,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,0.9594594594594594
BEC,0.918918918918919,1.0,0.7567567567567568,0.8108108108108109,1.0,1.0,1.0,0.8648648648648649,1.0,1.0,1.0,1.0
FER,0.8695652173913043,1.0,1.0,0.9710144927536232,0.9855072463768116,1.0,1.0,0.9855072463768116,0.9855072463768116,0.9130434782608695,0.6811594202898551,0.782608695652174
ATO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.873015873015873,1.0,1.0,1.0,0.9682539682539683
MWW,1.0,1.0,1.0,0.6290322580645161,1.0,0.8548387096774194,0.9032258064516129,0.9838709677419355,0.9516129032258065,0.9838709677419355,0.9838709677419355,0.9354838709677419
IMF,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
AEN,1.0,0.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.98,0.94
STF,0.7804878048780488,1.0,0.926829268292683,0.8536585365853658,1.0,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.975609756097561,0.975609756097561,0.926829268292683
MAZ,0.9,1.0,1.0,1.0,0.975,0.875,1.0,1.0,1.0,1.0,1.0,0.85
