zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,1.0547571182250977,11.390052795410156,12.444809913635254,0.4669882655143738,0.20464295148849487,0.6716312170028687,0.11821895092725754,0.11821895092725754,0.0,0.13329154253005981,0.18722161650657654,0.32051315903663635,0.17419949918985367,0.2800920009613037,0.10589250177145004,0.26384954899549484,0.3680042028427124,0.10415465384721756,0.0007700175046920776,0.20297636091709137,0.20374637842178345,0.06414485722780228,0.046458639204502106,0.11060349643230438,10.946605682373047,19.847288131713867,30.793893814086914,0.17658179998397827,0.36321818828582764,0.5397999882698059,31.2696533203125,132.41351318359375,163.68316650390625,2.10260009765625,89.17407989501953,87.07147979736328
AEL,12.283011503517628,12.377795219421387,0.094783715903759,0.3802987337112427,0.5678884983062744,0.9481872320175171,0.12260501086711884,0.12260501086711884,0.0,0.08924814313650131,0.08924814313650131,0.0,0.06037965160794556,0.06092490255832672,0.0005452509503811598,0.26612064242362976,0.26612064242362976,0.0,0.018677566200494766,0.018677566200494766,0.0,0.03182652220129967,0.06765514612197876,0.03582862392067909,1.7857990264892578,26.589378356933594,28.37517738342285,0.13810479640960693,0.5455616116523743,0.40745681524276733,14.85205078125,170.2517547607422,185.1038055419922,45.92206573486328,122.4420166015625,76.51995086669922
MFI,29.90909767150879,20.753202438354492,50.66230010986328,0.12658290565013885,0.12658290565013885,0.0,1.0902007818222046,1.7902010679244995,0.7000002861022949,20.02615514397621,0.25999483466148376,20.286149978637695,0.015518605709075928,0.2731359899044037,0.25761738419532776,0.6087373550981283,0.6276164054870605,0.018879050388932228,0.12919360399246216,0.412449449300766,0.28325584530830383,0.004839356988668442,0.028910644352436066,0.03375000134110451,6.677152633666992,30.123022079467773,36.800174713134766,0.12260772287845612,0.19805072247982025,0.32065844535827637,13.544540405273438,154.97508239746094,168.51962280273438,23.88831329345703,134.89285278320312,111.0045394897461
LTA,12.577048301696777,14.164270401000977,1.5872220993041992,0.29868660867214203,0.23133905231952667,0.5300256609916687,0.33652496337890625,0.9378621578216553,1.2743871212005615,0.11157738417387009,0.11157738417387009,0.0,0.16227172315120697,0.08216965198516846,0.24444137513637543,0.0999007299542427,0.0999007299542427,0.0,0.3066410422325134,0.2170926332473755,0.5237336754798889,0.029407449066638947,0.06447774916887283,0.09388519823551178,15.475700378417969,39.523651123046875,54.999351501464844,0.8257653117179871,0.32088321447372437,1.1466485261917114,23.608718872070312,158.93576049804688,135.32704162597656,0.640350341796875,124.03434753417969,123.39399719238281
AFI,15.624282658100128,16.352441787719727,0.7281591296195984,0.32303547859191895,0.3903297781944275,0.7133652567863464,0.657599687576294,0.657599687576294,0.0,1.9058721512556076,0.16859550774097443,2.074467658996582,0.06691303662955761,0.07334858924150467,0.00643555261194706,0.047989072278141975,0.0526500940322876,0.004661021754145622,0.04832240752875805,0.06988238543272018,0.021559977903962135,0.04276222735643387,0.08711250126361847,0.0443502739071846,11.083084106445312,27.27846908569336,38.36155319213867,0.025476157665252686,0.4127792716026306,0.4382554292678833,13.433074951171875,155.72373962402344,169.1568145751953,32.94879150390625,134.32427978515625,101.37548828125
IWR,2.7941455841064453,22.001354217529297,24.795499801635742,0.07555387169122696,0.07555387169122696,0.0,0.25962352752685547,9.090046882629395,8.830423355102539,19.543015480041504,6.413342475891113,25.956357955932617,0.061267465353012085,0.061267465353012085,0.0,0.37850677967071533,0.37850677967071533,0.0,0.0826185941696167,0.2229364663362503,0.1403178721666336,0.14784091711044312,0.14281874895095825,0.29065966606140137,9.412697792053223,16.891754150390625,7.479056358337402,0.022055283188819885,0.21999308466911316,0.24204836785793304,9.688446044921875,165.26690673828125,174.95535278320312,118.08848571777344,211.91151428222656,330.0
BEA,16.63813018798828,36.877254486083984,20.239124298095703,0.019060298800468445,0.019060298800468445,0.0,0.7969145774841309,6.324029445648193,5.5271148681640625,16.880624055862427,3.864964246749878,20.745588302612305,0.019207734614610672,0.059124577790498734,0.0783323124051094,0.2753445878624916,0.29203540086746216,0.01669081300497055,0.030240371823310852,0.22304317355155945,0.1928028017282486,0.05189238488674164,0.1359325349330902,0.18782491981983185,1.5288524627685547,16.9810733795166,15.452220916748047,0.014156550168991089,0.25198477506637573,0.2661413252353668,1.20574951171875,155.43377685546875,156.6395263671875,68.18745422363281,227.89820861816406,296.0856628417969
MTW,24.30856704711914,38.178367614746094,62.486934661865234,0.04836301878094673,0.04836301878094673,0.0,4.454349517822266,4.454349517822266,0.0,44.98317742347717,3.2055089473724365,48.18868637084961,0.06397249549627304,0.05208675563335419,0.11605925112962723,0.17145922780036926,0.17145922780036926,0.0,0.013010650873184204,0.14280378818511963,0.12979313731193542,0.04540091007947922,0.12956108152866364,0.08416017144918442,7.681243896484375,33.3376350402832,41.01887893676758,0.039704084396362305,0.2916673719882965,0.3313714563846588,5.6362762451171875,161.06610107421875,155.42982482910156,229.56585693359375,209.3863525390625,438.95220947265625
MEL,15.48556900024414,45.99811935424805,30.512550354003906,0.12332618236541748,0.12332618236541748,0.0,0.777178168296814,0.777178168296814,0.0,6.694090485572815,1.0897935628890991,7.783884048461914,0.048650920391082764,0.07648853957653046,0.12513945996761322,0.04136916669085622,0.04257137328386307,0.0012022065930068493,0.062160879373550415,0.30027666687965393,0.23811578750610352,0.03065464273095131,0.06463522464036942,0.033980581909418106,6.814884185791016,35.5045280456543,42.31941223144531,0.057554006576538086,0.28800612688064575,0.23045212030410767,8.572158813476562,155.45989990234375,146.8877410888672,77.16419219970703,106.55269622802734,183.71688842773438
LEV,10.300320625305176,26.142070770263672,15.841750144958496,0.22809968516230583,0.048210758715867996,0.27631044387817383,2.4825240671634674,2.815857410430908,0.3333333432674408,2.37982040643692,0.24758785963058472,2.627408266067505,0.15048036724328995,0.0930248573422432,0.24350522458553314,0.10343100875616074,0.10343100875616074,0.0,0.0011477172374725342,0.26255640387535095,0.2614086866378784,0.06990409269928932,0.08608386665582657,0.016179773956537247,4.409148216247559,19.43694496154785,15.027796745300293,0.08981452882289886,0.33566081523895264,0.24584628641605377,7.02935791015625,154.4313201904297,161.46067810058594,37.01377868652344,265.8394470214844,228.82566833496094
