zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.5770912170410156
AEL,CCCNCCC,0.45993804931640625
CHA,OSDA-free,1.0054059028625488
MFI,OSDA-free,0.3688077926635742
CHA,CCN(CC)CC,1.3826351165771484
LTA,C[N+](C)(C)C,0.8881721496582031
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.1564340591430664
CHA,C1COCCN1,0.8376893997192383
ATO,CCCNCCC,1.1248245239257812
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.7525310516357422
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8475341796875
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.9568843841552734
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.2801523208618164
LEV,C[N+]12CCC(CC1)CC2,1.1775646209716797
AFI,CCCN(CCC)CCC,0.5594968795776367
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1990694999694824
MAZ,OSDA-free,0.6231374740600586
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9280309677124023
AEN,CC[n+]1ccn(C)c1C,2.2164759635925293
FAU,C1COCCOCCOCCOCCOCCO1,0.6557283401489258
FAU,CC[N+](CC)(CC)CC,1.3591423034667969
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.644169330596924
PHI,OSDA-free,0.9451608657836914
GIS,CCCNCCC,2.314601421356201
LEV,C[N+]1(C)CCCCC1,0.7204141616821289
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.315481185913086
FER,C[N+]1(Cc2ccccc2)CCCC1,2.1127681732177734
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,2.0108890533447266
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.525294303894043
SAV,C1CNCCCNCCNCCNC1,0.7829179763793945
AEI,CC[P+](CC)(CC)CC,1.708512306213379
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.32508087158203125
NSI,c1cc(-c2ccncc2)ccn1,0.5169496536254883
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.2472448348999023
FER,C1CNCCN1,0.5871438980102539
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.0732641220092773
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.39874744415283203
MWW,CCCCCCC[N+](C)(C)C,3.6912708282470703
MFI,CCN,0.6296768188476562
TON,NCCCCCCCCN,0.7077455520629883
