zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2599882222379033
AEL,CCCNCCC,0.2539499898912232
CHA,OSDA-free,0.35547670775860035
MFI,OSDA-free,0.15880307681522238
CHA,CCN(CC)CC,0.3125884698290583
LTA,C[N+](C)(C)C,0.3818924923312138
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.08219665798867828
CHA,C1COCCN1,0.12138587132788038
ATO,CCCNCCC,0.35478604849003637
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1820696437577507
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.4316269470244706
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.5387818314538364
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.5405144095755245
LEV,C[N+]12CCC(CC1)CC2,0.3666272167788388
AFI,CCCN(CCC)CCC,0.5192393744315431
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7905153337853823
MAZ,OSDA-free,0.18847460955235568
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.24529604553944476
AEN,CC[n+]1ccn(C)c1C,1.2220129377497961
FAU,C1COCCOCCOCCOCCOCCO1,0.451763423117015
FAU,CC[N+](CC)(CC)CC,0.34478626328894935
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0567979910643022
PHI,OSDA-free,0.24027311316673838
GIS,CCCNCCC,0.4833058263872559
LEV,C[N+]1(C)CCCCC1,0.3212795215789689
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7456178156080336
FER,C[N+]1(Cc2ccccc2)CCCC1,0.6570265825123305
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.7270450864582566
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6323113778394308
SAV,C1CNCCCNCCNCCNC1,0.42417582291981815
AEI,CC[P+](CC)(CC)CC,0.6173119678823591
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.4537919910115908
NSI,c1cc(-c2ccncc2)ccn1,0.3059041565230147
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.611161060136319
FER,C1CNCCN1,0.37920691267449075
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.34556992691817434
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.20976018525672674
MWW,CCCCCCC[N+](C)(C)C,0.8262575293911242
MFI,CCN,0.4105424165417323
