zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.99,1.0,0.99,0.99,1.0,0.835,1.0,0.995,0.995,0.995,1.0,0.96
AEL,0.63,0.96,0.99,0.995,0.965,0.975,0.925,0.975,0.985,0.915,0.99,1.0
MFI,0.955,0.935,1.0,0.995,0.905,0.96,0.92,0.985,0.965,0.975,0.91,0.96
LTA,0.65,0.96,0.98,1.0,0.995,0.995,0.69,1.0,0.98,0.89,1.0,0.985
AFI,0.7,0.98,0.965,0.99,0.875,0.985,0.965,0.97,0.985,0.945,0.87,0.955
IWR,0.54,0.955,0.895,0.915,0.83,0.96,0.865,0.97,0.79,0.735,0.385,0.375
BEA,0.81,0.975,0.88,0.96,0.97,1.0,0.99,0.99,0.98,0.99,0.99,0.95
MTW,0.82,0.935,0.94,1.0,0.975,0.995,0.93,1.0,0.905,0.93,0.93,0.98
MEL,0.82,0.94,0.995,1.0,0.945,0.995,0.965,0.975,0.95,0.995,0.955,0.895
LEV,0.86,0.985,0.985,0.995,1.0,1.0,0.915,0.99,0.945,0.965,0.865,0.925
FAU,0.87,0.92,0.9,0.935,0.985,0.91,0.945,0.935,0.835,0.92,0.79,0.915
BEC,0.685,0.955,0.935,0.95,0.825,1.0,0.705,0.995,0.48,0.775,0.635,0.645
FER,0.83,0.905,0.925,1.0,0.95,1.0,0.94,0.955,0.935,0.885,0.845,0.86
ATO,0.845,0.51,0.985,1.0,0.965,1.0,0.98,0.965,0.795,0.89,0.835,0.77
MWW,0.855,0.965,0.95,0.98,1.0,0.945,0.96,0.81,0.86,0.665,0.895,0.645
IMF,0.555,0.62,0.825,0.945,0.835,0.995,0.57,0.79,0.36,0.465,0.715,0.64
AEN,0.235,0.94,0.255,0.195,0.91,0.98,0.755,0.495,0.935,0.865,0.705,0.66
STF,0.865,0.985,0.945,0.945,0.87,0.995,0.845,0.965,0.74,0.695,0.885,0.86
MAZ,0.62,0.995,0.98,0.975,0.55,0.79,0.62,0.995,0.72,0.995,0.705,0.815
AEI,0.305,0.66,0.915,0.94,0.87,0.945,0.8,0.915,0.74,0.975,0.485,0.585
GIS,0.765,0.885,0.98,0.995,0.97,0.955,0.91,0.97,0.575,0.925,0.475,0.87
TON,0.53,0.845,0.99,0.995,0.86,0.88,0.81,0.9,0.98,0.765,0.73,0.495
ITE,0.62,0.975,0.89,0.845,0.775,0.985,0.77,0.895,0.695,0.78,0.75,0.57
NON,0.445,0.87,0.975,0.995,0.71,0.99,0.81,0.965,0.475,0.635,0.95,0.44
MOR,0.255,0.645,0.805,0.85,0.92,0.93,0.86,0.86,0.93,0.92,0.755,0.72
AST,0.61,0.445,0.995,1.0,0.655,0.985,0.66,0.955,0.475,0.675,0.76,0.185
PHI,0.695,0.99,0.99,0.995,0.78,0.685,0.6,0.99,0.835,0.975,0.66,0.7
SAV,0.47,0.88,0.99,0.995,0.665,0.995,0.815,0.995,0.26,0.94,0.36,0.595
