zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.98,0.975,0.985,0.99,1.0,1.0,1.0,0.965,1.0,1.0,0.95,0.96
AEL,CCCNCCC,0.725,0.985,0.99,0.995,0.965,0.995,0.975,0.99,0.965,0.925,0.995,0.995
CHA,OSDA-free,0.81,0.975,0.995,1.0,0.965,0.385,1.0,1.0,1.0,1.0,0.89,0.655
MFI,OSDA-free,0.685,0.995,0.995,1.0,0.84,0.94,0.8,0.985,0.945,1.0,0.815,0.78
CHA,CCN(CC)CC,0.995,0.96,0.995,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.5,0.86
LTA,C[N+](C)(C)C,0.39,0.985,0.975,0.99,0.995,0.975,0.43,0.97,0.75,0.73,0.965,0.995
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.75,0.96,1.0,1.0,0.87,0.99,0.96,0.93,0.855,0.985,0.865,0.955
CHA,C1COCCN1,0.84,0.47,0.995,0.995,0.885,1.0,0.865,0.935,0.99,0.87,0.855,0.915
ATO,CCCNCCC,0.845,0.51,0.985,1.0,0.965,1.0,0.98,0.965,0.795,0.89,0.835,0.77
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.585,0.955,0.85,0.92,0.74,0.96,0.78,0.98,0.53,0.505,0.235,0.36
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0,0.735,0.995,1.0,1.0,1.0,1.0,1.0,0.665,0.95,0.61,0.76
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.555,0.62,0.825,0.945,0.835,0.995,0.57,0.79,0.36,0.465,0.715,0.64
