zeo,MMD
CHA,0.2423725128173828
AEL,0.24017047882080078
MFI,0.10111713409423828
LTA,0.4189119338989258
AFI,0.14338302612304688
IWR,0.9423580169677734
BEA,0.09948444366455078
MTW,0.10066986083984375
MEL,0.22536087036132812
LEV,0.5812835693359375
FAU,0.2026233673095703
BEC,0.33366966247558594
FER,0.2920351028442383
ATO,1.2130661010742188
MWW,1.1424980163574219
IMF,1.5088796615600586
AEN,0.8467998504638672
STF,0.8091301918029785
MAZ,0.4864187240600586
AEI,1.0848388671875
GIS,1.313565731048584
TON,0.1569671630859375
ITE,0.999567985534668
NON,0.760460376739502
MOR,0.25760459899902344
AST,0.5049605369567871
PHI,0.7405071258544922
SAV,0.6421642303466797
UOV,2.7969889640808105
ITT,1.4416980743408203
MTT,0.3738288879394531
ITG,1.4775729179382324
CON,1.2300724983215332
NSI,1.3593425750732422
ERI,0.35286521911621094
MTN,0.44559192657470703
MRE,0.5886659622192383
AFR,1.0817060470581055
SWY,2.294462203979492
LAU,1.209266185760498
DDR,0.6459269523620605
AFX,1.1293931007385254
UFI,3.5222153663635254
ISV,1.9628992080688477
ANA,0.2993736267089844
CLO,1.4362964630126953
OFF,2.534916877746582
STI,3.8777341842651367
CTH,1.6989870071411133
SFS,3.360283851623535
AWO,0.5649375915527344
DOH,2.7528696060180664
SOD,0.5001049041748047
STW,0.5249176025390625
UOZ,2.194155216217041
MEI,2.768016815185547
ETL,1.273752212524414
AVE,3.5112509727478027
SZR,0.41219139099121094
JST,1.113924503326416
IFR,2.6393589973449707
IFW,2.7383995056152344
CGS,1.9727892875671387
PWN,2.1744909286499023
ATS,1.765106201171875
RTH,1.5096116065979004
EUO,0.13655376434326172
EMT,1.6275873184204102
BPH,0.4807319641113281
AWW,3.3274364471435547
ASV,0.7986397743225098
IHW,1.7014799118041992
RWY,4.465436935424805
LTJ,2.8905110359191895
SFH,2.161569118499756
NES,-0.36579132080078125
IRR,1.9537200927734375
TUN,3.236337661743164
IWV,1.1514625549316406
EON,0.9921627044677734
STO,0.7882814407348633
ITW,-0.5178952217102051
SFW,3.206183910369873
IFU,2.8968772888183594
VFI,1.219569206237793
EEI,3.5592517852783203
SFG,4.410918235778809
LOS,5.207671642303467
SFV,2.8770322799682617
IFO,4.420214653015137
RTE,4.028432846069336
MER,4.384794235229492
AFN,2.536874771118164
APC,5.45109748840332
SFN,3.9925618171691895
SSY,4.037200450897217
PUN,4.524749755859375
LTL,4.034482955932617
UOS,3.400506019592285
CGF,3.729678153991699
AHT,3.6190185546875
VET,2.5411176681518555
ABW,2.637674331665039
PWW,3.4249744415283203
