zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.955,1.0,0.985,1.0,1.0,0.83,1.0,1.0,1.0,0.975,0.865,0.97
AEL,0.96,0.995,0.995,1.0,0.97,1.0,1.0,0.99,0.995,0.98,0.98,0.99
MFI,0.95,0.995,0.995,1.0,1.0,0.9,1.0,0.995,0.995,0.97,0.955,0.95
LTA,0.565,0.945,0.99,1.0,1.0,1.0,0.835,1.0,0.995,0.905,1.0,1.0
AFI,0.95,0.92,0.935,0.995,1.0,1.0,0.97,0.98,0.98,0.98,0.97,0.975
IWR,0.7,0.99,0.905,0.975,0.89,0.98,0.96,0.99,0.95,0.785,0.255,0.395
BEA,0.81,1.0,0.95,0.995,0.985,0.975,1.0,0.945,1.0,1.0,1.0,0.96
MTW,0.785,0.995,0.99,0.995,0.97,0.97,0.82,0.99,0.955,0.845,0.895,0.95
MEL,0.885,0.995,0.995,0.995,1.0,0.985,1.0,0.88,0.9,0.985,0.94,0.86
LEV,0.89,0.965,0.985,1.0,1.0,1.0,0.97,0.92,0.92,0.92,0.735,0.93
FAU,0.925,0.985,0.935,0.935,0.925,1.0,0.875,1.0,0.645,0.915,0.885,0.79
BEC,0.615,0.99,0.695,0.95,0.995,1.0,0.98,1.0,0.965,0.795,0.745,0.655
FER,0.93,0.98,0.995,1.0,0.935,0.945,0.96,0.975,0.995,0.835,0.775,0.59
ATO,0.985,0.855,0.99,0.995,1.0,1.0,1.0,1.0,1.0,0.845,0.955,0.27
MWW,0.655,0.99,0.985,1.0,0.905,0.88,0.955,0.87,0.985,0.735,0.895,0.675
IMF,0.43,0.87,0.885,0.995,0.85,1.0,0.265,0.985,0.53,0.85,0.875,0.85
AEN,0.835,0.905,0.72,0.72,0.985,0.89,0.81,0.765,0.935,0.785,0.68,0.915
STF,0.795,1.0,1.0,1.0,0.965,1.0,0.95,0.95,0.87,0.85,0.95,0.885
MAZ,0.38,1.0,1.0,1.0,0.46,0.955,0.725,1.0,0.895,1.0,0.85,0.99
AEI,0.07,0.3,0.725,0.73,0.935,1.0,1.0,1.0,0.82,0.765,0.315,0.32
GIS,0.67,0.955,0.985,1.0,0.8,0.97,0.74,0.825,0.795,0.245,0.885,0.63
TON,0.56,0.995,0.995,1.0,0.88,0.81,0.835,0.955,0.92,0.69,0.74,0.7
ITE,0.785,0.995,0.935,0.93,0.815,1.0,0.99,0.93,0.83,0.89,0.835,0.63
NON,0.87,0.985,0.975,0.99,0.9,0.995,0.96,0.95,0.58,0.625,0.94,0.5
MOR,0.41,0.92,0.995,0.99,0.82,0.945,0.83,1.0,0.885,0.91,0.52,0.74
AST,0.945,0.93,0.945,1.0,1.0,1.0,0.9,0.925,0.96,0.615,0.845,0.405
PHI,0.825,0.995,1.0,1.0,0.85,0.605,0.555,0.95,0.99,0.99,0.705,0.585
SAV,0.89,0.86,0.995,0.995,1.0,0.965,0.98,0.99,0.58,0.87,0.48,0.35
UOV,0.325,0.48,0.035,0.79,0.71,0.795,0.86,1.0,0.705,0.6,0.62,0.43
ITT,0.45,0.985,0.2,0.96,0.995,1.0,0.99,0.555,0.895,0.34,0.16,0.125
MTT,0.76,0.995,0.995,1.0,0.885,0.79,0.95,0.95,0.63,0.925,0.305,0.75
ITG,0.69,0.98,0.325,0.92,0.985,1.0,0.1,0.145,0.775,0.955,0.295,0.085
CON,0.785,0.995,0.89,0.985,1.0,0.925,0.69,0.965,0.53,0.365,0.675,0.14
NSI,0.945,1.0,0.925,1.0,0.995,1.0,0.96,0.865,0.465,0.245,0.18,0.1
ERI,0.53,0.975,0.99,1.0,0.785,0.81,0.79,0.97,0.655,0.385,0.39,0.535
MTN,0.865,0.995,0.96,0.97,0.98,0.96,0.835,0.91,0.38,0.19,0.28,0.355
MRE,0.825,0.99,0.89,0.95,0.705,0.83,0.325,0.82,0.665,0.75,0.38,0.49
AFR,0.54,0.515,0.995,1.0,0.92,1.0,0.92,1.0,0.445,0.41,0.405,0.085
SWY,0.97,0.02,0.735,0.71,0.995,0.685,0.56,1.0,0.21,0.4,0.035,0.235
LAU,0.9,0.71,0.99,0.995,0.84,1.0,0.925,0.68,0.38,0.25,0.305,0.04
DDR,0.715,0.995,0.985,0.95,0.9,1.0,0.825,0.98,0.29,0.695,0.4,0.545
AFX,0.53,0.96,0.99,1.0,0.835,0.88,0.715,0.975,0.145,0.42,0.23,0.515
UFI,0.05,0.54,0.88,0.88,1.0,1.0,0.0,1.0,0.0,0.02,0.14,0.44
ISV,0.865,0.845,0.36,1.0,0.995,1.0,0.95,0.975,0.975,0.855,0.72,0.125
