zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.9766355140186916,0.9704049844236761,1.0,0.9922118380062306,0.9735202492211839,0.9158878504672897,0.9517133956386293,0.9330218068535826,0.8722741433021807,0.9221183800623053,0.9906542056074766,0.9719626168224299
AEL,1.0,0.9631147540983607,1.0,1.0,0.9959016393442623,1.0,1.0,0.9918032786885246,0.8524590163934426,0.9959016393442623,0.930327868852459,0.9344262295081968
MFI,0.8232758620689655,1.0,0.9913793103448276,0.9698275862068966,0.9870689655172413,0.9482758620689655,0.9698275862068966,0.9655172413793104,0.9655172413793104,0.9439655172413793,0.75,0.9655172413793104
LTA,1.0,0.7810650887573964,0.9408284023668639,1.0,0.8106508875739645,1.0,0.9881656804733728,1.0,0.7455621301775148,0.7810650887573964,0.7692307692307693,0.8875739644970414
AFI,0.9915254237288136,0.9576271186440678,1.0,0.9576271186440678,1.0,0.9830508474576272,0.9915254237288136,1.0,0.9830508474576272,0.9661016949152542,0.9830508474576272,0.940677966101695
IWR,0.9285714285714286,1.0,0.8839285714285714,0.4017857142857143,1.0,1.0,1.0,0.9910714285714286,1.0,1.0,1.0,0.9910714285714286
BEA,0.9357798165137615,1.0,0.926605504587156,0.9357798165137615,0.963302752293578,0.981651376146789,1.0,1.0,0.981651376146789,0.9357798165137615,0.9908256880733946,0.8073394495412844
MTW,0.9326923076923077,1.0,1.0,0.9038461538461539,0.8846153846153846,1.0,0.9903846153846154,0.9807692307692307,0.9038461538461539,0.9326923076923077,0.9903846153846154,0.8942307692307693
MEL,0.7475728155339806,1.0,1.0,0.9611650485436893,0.9611650485436893,0.9902912621359223,0.9902912621359223,1.0,0.9611650485436893,0.970873786407767,0.8349514563106796,0.8058252427184466
LEV,0.9775280898876404,0.9550561797752809,0.9887640449438202,0.8764044943820225,0.8876404494382022,1.0,0.8426966292134831,1.0,0.9662921348314607,1.0,0.898876404494382,0.7640449438202247
FAU,0.918918918918919,0.9864864864864865,1.0,1.0,0.9864864864864865,0.9864864864864865,0.972972972972973,1.0,0.9864864864864865,0.972972972972973,1.0,0.9594594594594594
BEC,0.9324324324324325,1.0,0.9864864864864865,0.8108108108108109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9864864864864865
FER,1.0,1.0,1.0,0.9710144927536232,0.9855072463768116,0.9420289855072463,1.0,0.9855072463768116,0.927536231884058,0.9420289855072463,0.8115942028985508,0.7246376811594203
ATO,1.0,0.8253968253968254,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.4126984126984127,0.9523809523809523,1.0,0.9841269841269841
MWW,1.0,1.0,1.0,0.6290322580645161,1.0,0.8548387096774194,0.9516129032258065,1.0,0.9516129032258065,0.967741935483871,1.0,0.8870967741935484
IMF,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.8333333333333334,0.9444444444444444
