zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.22413703032687216
AEL,CCCNCCC,0.05434776841697781
CHA,OSDA-free,0.31688287706890295
MFI,OSDA-free,0.08206089359282619
CHA,CCN(CC)CC,0.16786975161366113
LTA,C[N+](C)(C)C,0.3709620169909455
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.14600057658115306
CHA,C1COCCN1,0.05725739524958176
ATO,CCCNCCC,0.04776483467369752
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8922582803924306
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.6542511813352374
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.23639135912232356
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.456159520009965
LEV,C[N+]12CCC(CC1)CC2,0.37156949618250096
AFI,CCCN(CCC)CCC,0.08670515202661147
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4352804265749688
MAZ,OSDA-free,0.039929164295498476
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.48101446999264574
AEN,CC[n+]1ccn(C)c1C,0.3222317540855906
FAU,C1COCCOCCOCCOCCOCCO1,0.18184696329852365
FAU,CC[N+](CC)(CC)CC,0.12414993349952391
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0842112108509867
PHI,OSDA-free,0.2439973389760526
GIS,CCCNCCC,0.7158872158461904
LEV,C[N+]1(C)CCCCC1,0.2985954966355022
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4374271065833356
FER,C[N+]1(Cc2ccccc2)CCCC1,0.3013433983637913
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.4674645371897854
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.5111542809617773
SAV,C1CNCCCNCCNCCNC1,0.5122152902456436
AEI,CC[P+](CC)(CC)CC,0.36234531551064725
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.2725012686408079
NSI,c1cc(-c2ccncc2)ccn1,0.9343554733488451
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6369241001681898
FER,C1CNCCN1,0.25336903919702325
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.3414115984454976
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.14430796787412792
MWW,CCCCCCC[N+](C)(C)C,0.97586173374473
MFI,CCN,0.07851520422125743
TON,NCCCCCCCCN,0.19309120663626952
AFR,CCC[N+](CCC)(CCC)CCC,0.2103691436675526
AST,c1ccncc1,0.8505662642068863
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.4643480521704565
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.5221542168936827
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.13237728608993699
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.35255707474482734
STF,CCC1CCCC[N+]12CCCCC2,0.5608959957269726
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.12004184932089249
CHA,CC(C)NC(C)C,0.8174399459785319
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.09424879136603016
ITE,NCCNCCNCCNCCNCCN,0.49569761996038997
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.49795750528394134
UFI,CC[N+](CC)(CC)CC,0.681651239706248
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.5307614950501693
CLO,C1CN2CCC1CC2,0.40411642121443503
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.18990933449704267
AFI,[CH]1C=CC=C1,0.2795710955644225
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.46833290444624154
LAU,c1c[nH]cn1,1.2106399117786726
LEV,CC[N+](C)(C)CC,0.14725793786648736
OFF,C[N+](C)(C)Cc1ccccc1,0.7766353863044937
FER,NCCCCN,0.7075063392683585
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.36669746748224624
STI,CC[N+](CC)(CC)CC,1.0729027671139786
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.5970673199564956
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.3219703758282487
MTN,C1CCNC1,0.23463112342004644
AFI,CCN(C(C)C)C(C)C,0.27115074405150863
AEN,CC[N+](CC)(CC)CC,0.4842839671141368
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.3813681095283746
AST,CC(C)[N+](C)(C)C,0.21535748652658965
MTW,C1CN2CCN1CC2,0.4953951024303111
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.3078330403713242
MTW,C1CCC[N+]2(CC1)CCCCC2,0.264476491345924
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.45203291611371554
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.6216516889879824
MFI,C1CCNC1,0.19645644464811624
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.45238803793438187
NON,CC1CCCN1,1.4167725344617117
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.6974475227237493
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.5012970113613063
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.45771446492291396
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.27830052781370573
CHA,CN(CCO)CCO,0.5222036058437685
FAU,Cc1cccc(C)[n+]1C,0.07355435162361894
NON,CC1CCCCN1,1.2338797518869822
CHA,CN1CCNCC1,0.8348582050612545
