zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.7754907608032227
AEL,CCCNCCC,0.4540090560913086
CHA,OSDA-free,1.290320873260498
MFI,OSDA-free,0.3407440185546875
CHA,CCN(CC)CC,1.2743167877197266
LTA,C[N+](C)(C)C,0.6926088333129883
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.28902339935302734
CHA,C1COCCN1,0.8156490325927734
ATO,CCCNCCC,1.2504987716674805
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5191307067871094
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,2.0361971855163574
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.9244365692138672
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8088068962097168
LEV,C[N+]12CCC(CC1)CC2,1.5674400329589844
AFI,CCCN(CCC)CCC,0.23056793212890625
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4170713424682617
MAZ,OSDA-free,0.4677114486694336
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.673325538635254
AEN,CC[n+]1ccn(C)c1C,0.9716720581054688
FAU,C1COCCOCCOCCOCCOCCO1,0.4181327819824219
FAU,CC[N+](CC)(CC)CC,1.3742599487304688
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.105421543121338
PHI,OSDA-free,0.9041957855224609
GIS,CCCNCCC,2.5410423278808594
LEV,C[N+]1(C)CCCCC1,0.9786872863769531
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.4944977760314941
FER,C[N+]1(Cc2ccccc2)CCCC1,1.523691177368164
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.4733405113220215
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.3172683715820312
SAV,C1CNCCCNCCNCCNC1,0.884547233581543
AEI,CC[P+](CC)(CC)CC,1.7281713485717773
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.4414854049682617
NSI,c1cc(-c2ccncc2)ccn1,1.9588074684143066
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.5802764892578125
FER,C1CNCCN1,0.5138797760009766
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.8677377700805664
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.43759727478027344
MWW,CCCCCCC[N+](C)(C)C,3.883303165435791
MFI,CCN,0.8411283493041992
TON,NCCCCCCCCN,0.4586782455444336
AFR,CCC[N+](CCC)(CCC)CCC,1.4307727813720703
AST,c1ccncc1,1.8742809295654297
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.9917793273925781
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6270928382873535
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.617706298828125
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.402923583984375
STF,CCC1CCCC[N+]12CCCCC2,2.165417194366455
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.2786855697631836
CHA,CC(C)NC(C)C,1.8780393600463867
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.07883071899414062
ITE,NCCNCCNCCNCCNCCN,2.3898000717163086
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.5282840728759766
UFI,CC[N+](CC)(CC)CC,3.713440418243408
