zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.94,0.95,0.99,1.0,1.0,0.945,1.0,0.815,0.945,1.0,0.875,0.975
AEL,CCCNCCC,0.93,0.96,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
CHA,OSDA-free,0.885,1.0,1.0,1.0,0.995,0.325,1.0,1.0,1.0,1.0,0.685,0.97
MFI,OSDA-free,0.925,0.995,1.0,1.0,1.0,0.815,1.0,1.0,1.0,0.995,0.725,0.89
CHA,CCN(CC)CC,0.905,0.955,0.995,0.995,0.92,1.0,0.935,1.0,0.99,1.0,0.465,0.81
LTA,C[N+](C)(C)C,0.985,0.995,1.0,1.0,1.0,1.0,0.57,1.0,0.8,0.69,0.83,0.995
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.91,0.995,1.0,1.0,1.0,1.0,1.0,0.855,0.835,1.0,0.84,0.945
CHA,C1COCCN1,0.915,0.265,1.0,1.0,0.83,1.0,0.925,0.99,0.835,0.8,0.865,0.925
ATO,CCCNCCC,0.985,0.845,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.855,0.78,0.73
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.94,0.995,0.825,0.95,0.85,0.95,0.845,0.98,0.88,0.715,0.63,0.305
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.73,0.48,0.875,0.97,1.0,1.0,1.0,1.0,0.76,0.555,0.575,0.08
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.705,0.825,0.99,0.995,0.83,1.0,0.365,1.0,0.34,0.69,0.85,0.43
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.82,0.965,0.86,0.98,1.0,0.965,0.96,0.985,0.995,0.455,0.05,0.205
LEV,C[N+]12CCC(CC1)CC2,0.895,0.95,0.92,0.92,0.99,0.97,0.995,0.845,0.82,0.175,0.59,0.655
AFI,CCCN(CCC)CCC,1.0,0.89,1.0,1.0,1.0,1.0,1.0,0.98,0.78,0.965,0.46,0.8
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.665,0.98,0.865,0.875,0.98,1.0,0.915,1.0,0.535,0.92,0.58,0.225
MAZ,OSDA-free,0.365,0.995,0.995,0.995,0.575,0.985,0.805,1.0,0.55,1.0,0.71,0.635
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.515,0.995,1.0,1.0,1.0,0.895,0.87,0.82,0.37,0.875,0.195,0.68
AEN,CC[n+]1ccn(C)c1C,0.995,0.155,0.87,0.86,1.0,1.0,0.995,0.63,0.71,0.53,0.795,0.875
FAU,C1COCCOCCOCCOCCOCCO1,0.41,0.995,0.82,0.815,0.685,1.0,0.96,1.0,0.67,0.71,0.485,0.665
FAU,CC[N+](CC)(CC)CC,0.26,0.975,0.925,0.925,0.045,1.0,0.075,1.0,0.215,0.375,0.2,0.4
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.12,0.37,0.01,0.785,0.68,0.68,0.45,1.0,0.83,0.385,0.43,0.265
PHI,OSDA-free,0.47,0.995,0.975,0.98,0.39,0.625,0.46,1.0,0.99,1.0,0.375,0.56
GIS,CCCNCCC,0.85,0.1,0.995,1.0,0.76,0.995,0.79,0.88,0.175,0.6,0.285,0.68
LEV,C[N+]1(C)CCCCC1,0.43,0.645,0.89,0.885,1.0,1.0,0.935,0.945,0.935,0.95,0.885,0.45
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.615,0.98,0.315,0.98,0.965,1.0,0.895,0.48,0.935,0.69,0.205,0.405
FER,C[N+]1(Cc2ccccc2)CCCC1,0.275,0.985,0.975,0.995,0.865,0.93,0.635,0.99,0.535,0.315,0.69,0.175
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.52,0.985,0.28,0.96,0.985,1.0,0.185,0.28,0.815,0.96,0.37,0.44
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.485,0.445,0.925,0.995,0.73,0.975,0.775,0.23,0.845,0.3,0.53,0.445
SAV,C1CNCCCNCCNCCNC1,0.4,0.49,0.6,0.6,0.87,0.755,0.78,0.985,0.255,0.28,0.16,0.085
AEI,CC[P+](CC)(CC)CC,0.005,0.195,0.81,0.82,0.97,1.0,0.995,1.0,0.785,0.425,0.045,0.075
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.985,0.82,0.865,1.0,1.0,0.98,1.0,0.545,0.845,0.905,0.22,0.63
NSI,c1cc(-c2ccncc2)ccn1,0.955,1.0,0.92,0.985,1.0,1.0,1.0,1.0,0.77,0.33,0.12,0.21
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.9,0.95,0.95,0.02,0.97,0.945,0.71,0.575,0.375,0.155,0.56,0.42
FER,C1CNCCN1,0.585,0.825,0.94,0.935,1.0,0.96,1.0,0.905,0.76,0.3,0.56,0.535
