zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.83,0.99,0.945,0.97,1.0,1.0,1.0,0.975,1.0,1.0,0.87,0.72
AEL,CCCNCCC,0.865,0.92,0.995,1.0,1.0,1.0,1.0,1.0,0.975,1.0,0.91,1.0
CHA,OSDA-free,0.58,1.0,1.0,1.0,0.96,0.53,0.99,1.0,1.0,1.0,0.92,0.995
MFI,OSDA-free,0.82,0.995,1.0,1.0,1.0,0.805,1.0,1.0,1.0,0.985,0.99,0.89
CHA,CCN(CC)CC,0.925,0.925,1.0,0.995,0.95,1.0,0.99,1.0,0.995,0.955,0.875,0.99
LTA,C[N+](C)(C)C,0.97,1.0,1.0,1.0,0.94,1.0,0.765,1.0,0.95,0.69,0.975,0.995
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.905,0.99,0.995,1.0,1.0,1.0,1.0,0.855,0.735,0.99,0.785,0.82
CHA,C1COCCN1,0.755,0.54,0.995,0.995,0.745,1.0,0.825,1.0,1.0,0.295,0.935,0.995
ATO,CCCNCCC,0.97,0.925,0.995,1.0,1.0,1.0,0.995,1.0,0.955,0.315,0.83,0.38
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.83,0.985,0.785,0.74,0.955,1.0,0.985,0.95,0.95,0.85,0.9,0.605
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.94,0.845,0.97,1.0,0.97,1.0,0.995,0.89,0.62,0.985,0.715,0.995
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.805,0.43,0.665,1.0,0.845,1.0,0.565,0.68,0.02,0.18,0.24,0.625
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.945,1.0,0.76,0.97,0.99,1.0,0.89,0.96,0.98,0.33,0.065,0.285
LEV,C[N+]12CCC(CC1)CC2,0.73,0.985,0.955,0.955,0.975,1.0,0.995,0.94,0.71,0.695,0.875,0.935
AFI,CCCN(CCC)CCC,1.0,0.965,1.0,0.995,1.0,1.0,1.0,1.0,0.84,0.91,0.605,0.88
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.825,0.98,0.565,0.865,1.0,1.0,1.0,1.0,0.985,0.95,0.98,0.395
MAZ,OSDA-free,0.795,0.995,0.99,0.995,0.895,0.95,0.935,1.0,0.995,0.98,0.87,0.915
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.585,0.995,1.0,1.0,0.995,0.895,0.95,0.765,0.57,0.565,0.525,0.63
AEN,CC[n+]1ccn(C)c1C,0.915,0.53,0.875,0.87,1.0,1.0,1.0,0.835,0.935,0.37,0.805,0.795
