zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.37479591369628906
AEL,CCCNCCC,0.4667673110961914
CHA,OSDA-free,0.4990215301513672
MFI,OSDA-free,0.3583660125732422
CHA,CCN(CC)CC,0.7662897109985352
LTA,C[N+](C)(C)C,0.7094783782958984
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.34433650970458984
CHA,C1COCCN1,0.49691104888916016
ATO,CCCNCCC,1.3952503204345703
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5823678970336914
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.3963232040405273
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.0262489318847656
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.9889135360717773
LEV,C[N+]12CCC(CC1)CC2,1.2590351104736328
AFI,CCCN(CCC)CCC,1.5142631530761719
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3237109184265137
MAZ,OSDA-free,0.22949981689453125
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.8848705291748047
AEN,CC[n+]1ccn(C)c1C,1.9686694145202637
FAU,C1COCCOCCOCCOCCOCCO1,0.2934226989746094
FAU,CC[N+](CC)(CC)CC,0.8740148544311523
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.075259208679199
PHI,OSDA-free,0.4946155548095703
GIS,CCCNCCC,1.9444899559020996
LEV,C[N+]1(C)CCCCC1,0.9815845489501953
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3607759475708008
FER,C[N+]1(Cc2ccccc2)CCCC1,1.9939956665039062
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.5760002136230469
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.754179000854492
SAV,C1CNCCCNCCNCCNC1,0.4875774383544922
AEI,CC[P+](CC)(CC)CC,1.2126684188842773
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.8375787734985352
NSI,c1cc(-c2ccncc2)ccn1,0.7025771141052246
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.1795434951782227
FER,C1CNCCN1,0.9551210403442383
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,2.189912796020508
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.5451374053955078
MWW,CCCCCCC[N+](C)(C)C,3.9134225845336914
MFI,CCN,0.8702540397644043
TON,NCCCCCCCCN,0.5540523529052734
AFR,CCC[N+](CCC)(CCC)CCC,1.303487777709961
AST,c1ccncc1,2.7709169387817383
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,2.097344398498535
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4507880210876465
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.7271022796630859
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.7490119934082031
STF,CCC1CCCC[N+]12CCCCC2,1.7721352577209473
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.26366138458251953
CHA,CC(C)NC(C)C,1.7150897979736328
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.503753662109375
ITE,NCCNCCNCCNCCNCCN,2.5647945404052734
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.584704875946045
UFI,CC[N+](CC)(CC)CC,2.967879295349121
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,2.0890049934387207
CLO,C1CN2CCC1CC2,2.8964362144470215
