zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.4646605904159311
AEL,CCCNCCC,0.6214772120675383
CHA,OSDA-free,0.16432769128660082
MFI,OSDA-free,0.11454264874339837
CHA,CCN(CC)CC,0.17785663533964802
LTA,C[N+](C)(C)C,0.4727610085811174
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7215507812664474
CHA,C1COCCN1,0.2498292226674335
ATO,CCCNCCC,0.7826794644404083
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5030649811128709
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.19380705972030043
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9810663246407492
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.7990164649776208
LEV,C[N+]12CCC(CC1)CC2,0.303141233399555
AFI,CCCN(CCC)CCC,0.10423966156119786
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.1987599431536964
MAZ,OSDA-free,0.09577839589523868
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.17916831162577737
AEN,CC[n+]1ccn(C)c1C,0.0875196715869605
FAU,C1COCCOCCOCCOCCOCCO1,0.1167528556333182
FAU,CC[N+](CC)(CC)CC,0.08115614036729854
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.8356982732126899
PHI,OSDA-free,0.04962340790082587
GIS,CCCNCCC,0.22920077849517326
LEV,C[N+]1(C)CCCCC1,0.06687383020774294
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5182482502098762
FER,C[N+]1(Cc2ccccc2)CCCC1,0.09866461892029772
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.5907750056424259
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,7.173909257256699e-05
SAV,C1CNCCCNCCNCCNC1,0.04197305766259883
AEI,CC[P+](CC)(CC)CC,0.005040622500962341
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3843943645595992
NSI,c1cc(-c2ccncc2)ccn1,1.3937418993095876
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.39676608938144314
FER,C1CNCCN1,0.0460347565966769
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.014641477907276898
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.36314648151812323
MWW,CCCCCCC[N+](C)(C)C,0.0009232097955623911
MFI,CCN,0.22316642482000731
TON,NCCCCCCCCN,0.38636461713544534
AFR,CCC[N+](CCC)(CCC)CCC,0.6819593067667504
AST,c1ccncc1,0.06625268575173274
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.02058843910254142
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6048931673026676
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.46636828392648094
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.04816491722802495
STF,CCC1CCCC[N+]12CCCCC2,0.302919403670456
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.2993789942339695
CHA,CC(C)NC(C)C,0.24871410676604794
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.26593387300689875
