zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,0.8464587704141042,13.291268684049358,12.444809913635254,0.02796634653506902,0.6995975635379377,0.6716312170028687,0.007277774258760108,0.007277774258760108,0.0,0.2739038731150888,0.04660928592154754,0.32051315903663635,0.17866594589029045,0.2845584476617405,0.10589250177145004,0.08810484179225697,0.01604981205496058,0.10415465384721756,0.030222970620385592,0.23396934904216904,0.20374637842178345,0.07597746882532622,0.034626027606978166,0.11060349643230438,10.285506278385679,20.508387535701235,30.793893814086914,0.09415731286086848,0.4456426754089374,0.5397999882698059,13.35366280591569,150.32950369799056,163.68316650390625,1.3135022326527377,85.75797756471054,87.07147979736328
AEL,0.060109108040850665,0.03467460786290834,0.094783715903759,0.037360568073508515,0.9855478000910256,0.9481872320175171,0.0004705049972113776,0.0004705049972113776,0.0,0.0,0.0,0.0,0.0005215437626762418,2.3707187704918037e-05,0.0005452509503811598,1.3695306393442624e-05,1.3695306393442624e-05,0.0,0.0,0.0,0.0,0.03263645716412172,0.0031921667565573764,0.03582862392067909,14.134930206589216,14.240247176833636,28.37517738342285,0.06197640570579904,0.3454804095369683,0.40745681524276733,6.449812164974901,191.5536177069671,185.1038055419922,11.904991188778808,64.61495967792041,76.51995086669922
MFI,5.995642960474697,44.666657149388584,50.66230010986328,0.004794221051344743,0.004794221051344743,0.0,0.7704425005643716,1.4704427866666665,0.7000002861022949,14.358308721893518,5.927841256744176,20.286149978637695,0.14548504146860147,0.40310242566392923,0.25761738419532776,0.006308528173966712,0.012570522214965517,0.018879050388932228,0.07335692067972066,0.3566127659880245,0.28325584530830383,0.014897233788173467,0.01885276755293104,0.03375000134110451,1.9997488164796593,34.800425896655106,36.800174713134766,0.14907473380508782,0.17158371155318855,0.32065844535827637,12.418534297648137,156.10108850508624,168.51962280273438,4.740720236555447,115.74525972630154,111.0045394897461
LTA,2.3458837905839314,3.9331058898881306,1.5872220993041992,0.14887820816445724,0.38114745282721146,0.5300256609916687,0.5083690409400919,0.7660180802604696,1.2743871212005615,0.009280972338451696,0.009280972338451696,0.0,0.21304985361580303,0.031391521520572396,0.24444137513637543,0.00014833747692307692,0.00014833747692307692,0.0,0.12496115823432663,0.3987725172455623,0.5237336754798889,0.037116561506872654,0.056768636728639126,0.09388519823551178,21.110061205684886,33.88929029577996,54.999351501464844,0.6552525344458089,0.49139599174590254,1.1466485261917114,1.0710965715387033,134.25594505443786,135.32704162597656,53.06592589874077,176.45992309112358,123.39399719238281
AFI,0.5222738204688253,0.20588530915077305,0.7281591296195984,0.0015602036814770237,0.7118050531048694,0.7133652567863464,0.003568363905325444,0.003568363905325444,0.0,1.8662264579530707,0.2082412010435113,2.074467658996582,0.00814528643008682,0.01458083904203388,0.00643555261194706,0.003981408091433758,0.0006796136627118644,0.004661021754145622,0.022646487695190433,0.04420646559915257,0.021559977903962135,0.03205089591735409,0.01229937798983051,0.0443502739071846,14.653708675843358,23.707844516295314,38.36155319213867,0.09470317505584819,0.3435522542120351,0.4382554292678833,0.547297580906303,169.70411215610162,169.1568145751953,13.436898351530957,87.93858992971904,101.37548828125
IWR,5.515739515236902,30.311239316872644,24.795499801635742,0.0,0.0,0.0,0.8837406199548798,7.946682735147659,8.830423355102539,8.933862535135368,34.890220491067986,25.956357955932617,0.0012041882595892855,0.0012041882595892855,0.0,0.0006040823080357143,0.0006040823080357143,0.0,0.07688741033806215,0.06343046182857145,0.1403178721666336,0.011034101727886048,0.3016937677892874,0.29065966606140137,1.1954899304267244,6.283566427910678,7.479056358337402,0.008845311448493265,0.2508936793064263,0.24204836785793304,4.184390861774659,170.77096192142847,174.95535278320312,48.88759324219495,281.11240675780505,330.0
BEA,9.779714277840615,30.018838575936318,20.239124298095703,0.0023822816135538527,0.0023822816135538527,0.0,0.4622546372205534,5.989369505384616,5.5271148681640625,8.00918306619256,12.736405236419746,20.745588302612305,0.05690179872841219,0.021430513676697217,0.0783323124051094,0.015964069031722844,0.0007267439732477065,0.01669081300497055,0.08840548974916607,0.10439731197908253,0.1928028017282486,0.045049929126407845,0.2328748489462397,0.18782491981983185,5.26014187427298,10.192079042475067,15.452220916748047,0.001376809304359794,0.264764515931007,0.2661413252353668,3.2351654632712155,159.87469183045872,156.6395263671875,28.029717945107905,324.1153807869048,296.0856628417969
MTW,3.6322801715779605,66.1192148334432,62.486934661865234,0.0013069735382104978,0.0013069735382104978,0.0,0.3020976886138614,0.3020976886138614,0.0,34.42384075788712,13.764845612962485,48.18868637084961,0.02695849654770424,0.08910075458192299,0.11605925112962723,0.0009058637210269231,0.0009058637210269231,0.0,0.026375844324217884,0.1561689816361533,0.12979313731193542,0.039854164114569025,0.04430600733461539,0.08416017144918442,2.7113226445521263,38.30755629221545,41.01887893676758,0.03972442216752009,0.2916470342171387,0.3313714563846588,1.5604829010907224,156.99030773019228,155.42982482910156,189.23820612968936,249.7140033429669,438.95220947265625
MEL,8.815320764522774,39.32787111852668,30.512550354003906,0.000905567403183654,0.000905567403183654,0.0,0.034714558891454965,0.034714558891454965,0.0,6.932632436097489,0.8512516123644254,7.783884048461914,0.019727649712271533,0.10541181025534169,0.12513945996761322,0.030191812634954303,0.03139401922796115,0.0012022065930068493,0.07624154687680901,0.3143573343829125,0.23811578750610352,0.02486196996767053,0.009118611941747573,0.033980581909418106,9.286765926706138,51.60617815815145,42.31941223144531,0.07162564943247562,0.3020777697365833,0.23045212030410767,19.171168328414325,166.0589094172815,146.8877410888672,101.36120440366815,82.35568402406622,183.71688842773438
LEV,5.510953032818161,10.330797112140335,15.841750144958496,0.16590264594197107,0.4422130898201449,0.27631044387817383,0.3138528237869213,0.01948051948051948,0.3333333432674408,2.5203029351713186,0.10710533089618644,2.627408266067505,0.06505294928890354,0.1784522752966296,0.24350522458553314,0.00012026685968539327,0.00012026685968539327,0.0,0.08818588287203588,0.17322280376584254,0.2614086866378784,4.051953559758292e-05,0.01622029349213483,0.016179773956537247,11.588651665540056,26.61644841084035,15.027796745300293,0.0202015398800095,0.22564474653604427,0.24584628641605377,24.494309526653325,136.9663685739326,161.46067810058594,87.85456565139495,140.971102683566,228.82566833496094
FAU,1.3284540448385078,5.190113517264764,6.5185675621032715,0.40956695823719397,0.49290029405405417,0.0833333358168602,,0.041112883040935674,,,0.12507889705882352,,0.07295501302539392,0.34772574971972986,0.27477073669433594,0.0005148012178110296,0.0009379666544405406,0.0014527678722515702,0.1834857109737203,0.48845931326864217,0.3049736022949219,0.008047608610883782,0.008047608610883782,0.0,14.010030096370933,25.89080840905404,11.880778312683105,0.14948922226687172,0.30403990874548653,0.1545506864786148,5.87145086702067,119.20271917756754,113.33126831054688,28.771181053134683,178.4746380386622,207.24581909179688
BEC,17.475497838009154,40.503432866085326,23.027935028076172,0.004414069181875393,0.004414069181875393,0.0,2.0250474115266233,6.904557814206067,4.879510402679443,12.248711334394407,32.66494630448718,20.416234970092773,5.29028945945946e-05,5.29028945945946e-05,0.0,0.00022346738756756756,0.00022346738756756756,0.0,0.02139454117378651,0.0056595358405405385,0.02705407701432705,0.04051851085582403,0.3813219552413526,0.34080344438552856,1.505593879363536,5.421938522002696,3.91634464263916,0.018650114406802587,0.2768842278616213,0.2582341134548187,8.729181101416827,162.55460185756755,171.28378295898438,15.461746674799826,215.74095107910642,231.20269775390625
FER,1.8431119756037582,22.27138807017261,24.114500045776367,0.01486247656612529,0.01486247656612529,0.0,0.05948376363636364,0.05948376363636364,0.0,0.7086180681043719,1.5413809782213117,2.2499990463256836,0.018494861666719598,0.16996875638202874,0.15147389471530914,0.007109473587429524,0.0007936673821449275,0.007903140969574451,0.038987597954953754,0.0906106406278263,0.05162304267287254,0.09301645187226454,0.21407546969565233,0.30709192156791687,5.286049050445033,20.528051215057896,25.81410026550293,0.0909456254055756,0.758281981844638,0.8492276072502136,1.8540863720357663,155.60756537594202,153.75347900390625,58.12406214101645,613.498940070704,555.3748779296875
ATO,0.015150907980083415,0.03182588185203176,0.04697678983211517,0.050439683262924806,0.9513602578000024,1.0017999410629272,0.00038580246913580245,0.00038580246913580245,0.0,0.0,0.0,0.0,6.379823492063492e-05,6.379823492063492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02904067002236843,0.0,0.02904067002236843,41.92973314944264,5.810424931612049,47.74015808105469,0.03182077543819889,0.3548558340779449,0.3866766095161438,5.407014430115311,197.15496975238094,191.74795532226562,67.5470250236452,120.73228961104755,53.185264587402344
MWW,0.9715240216609278,11.193394444024209,10.221870422363281,0.002978214232999473,0.002978214232999473,0.0,0.028411974278481012,0.028411974278481012,0.0,3.284209382090139,5.452055800404978,8.736265182495117,0.012406072388981747,0.019678817320967747,0.03208488970994949,0.037796359065747485,0.0555925532465937,0.017796194180846214,0.10925679500139697,0.10630188291036145,0.21555867791175842,0.002576852039687849,0.0019505947741935482,0.004527446813881397,32.204490699823154,74.53589252477433,42.33140182495117,0.12504183979057673,0.15010005502677556,0.2751418948173523,11.651602474388795,169.07095977419348,157.4193572998047,3.5154712140051174,225.89657712583863,229.41204833984375
IMF,24.31635670944943,45.93310170456662,21.616744995117188,,0.0,,,0.01680672268907563,,,0.5402970162601627,,0.0031200697975048985,0.639926617439259,0.6368065476417542,0.006647060785185184,0.006647060785185184,0.0,0.3566535696389158,0.6930482670666654,0.33639469742774963,0.00852848414310456,0.008841551951851852,0.00031306780874729156,8.465620049082943,45.10521889551849,36.63959884643555,5.192916750396126e-05,0.15764012794851745,0.1575881987810135,6.791200037620058,159.1347185414815,165.92591857910156,38.48199640522,310.0375383974075,271.5555419921875
AEN,0.0010376430516206483,0.0010376430516206483,0.0,0.25521697012708633,0.7989619514159962,0.5437449812889099,0.00040241448692152917,0.00040241448692152917,0.0,0.0,0.0,0.0,0.012991458177566528,0.0,0.012991458177566528,0.0,0.0,0.0,0.0,0.0,0.0,0.027473639880275874,0.03570382687912002,0.008230186998844147,1.1449151917180274,15.32270756523998,16.467622756958008,0.6499289740916198,0.4488633404377992,1.098792314529419,3.7782034919999887,167.778203492,164.0,32.81888654108685,29.258101679127996,62.076988220214844
STF,29.66269042897256,52.791075440168065,82.45376586914062,0.0006798096532970768,0.0006798096532970768,0.0,2.7974858531171938,4.224360729139533,1.4268748760223389,21.117578118229204,42.695357888126665,21.57777976989746,0.003888065382926829,0.003888065382926829,0.0,0.04282043087330606,0.0001454022243902439,0.042965833097696304,0.10982625924168529,0.03752992309512196,0.14735618233680725,0.05699137286400313,0.09967429996585364,0.04268292710185051,19.397666644926943,8.593952465180479,27.991619110107422,0.06979976360849224,0.18459041650243915,0.2543901801109314,4.410793229360678,161.75560386536588,166.16639709472656,85.23742430003472,403.14361326487847,317.90618896484375
MAZ,17.127334281205925,6.0298198020460285,23.157154083251953,0.06328780606060606,0.06328780606060606,0.0,,0.0,,,0.10934470967741935,,0.44218400406443725,0.9471796481569971,0.5049956440925598,0.09065135148507843,0.004984852400000001,0.09563620388507843,0.4628489549774384,0.8388539488929962,0.37600499391555786,0.00577870389,0.00577870389,0.0,31.7552892409877,38.38825909724991,6.632969856262207,0.01823198222240624,0.039074411472884985,0.020842429250478745,24.41030366700005,129.16030366700005,104.75,63.11797272488391,102.50702727511609,165.625
