zeo,osda,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9119295078385008,30.08191357077478,30.99384307861328,0.0019642857142857144,0.0019642857142857144,0.0,2.0,2.0,0.0,13.7041225,13.7041225,0.0,0.23522557247742532,0.339531055878247,0.10430548,0.0038832324026320843,0.001170457766374502,0.00505369,0.030046148411270013,0.2721390889964143,0.30218524,0.21536144993545653,0.000829841873625498,0.21619129,0.7554142110805913,24.0441749460239,24.79959,0.3707135613126279,0.14547792123131745,0.5161915,1.7867954724179924,152.1922542101992,153.97905,56.412322738474955,62.47093989580239,118.88326
AEL,CCCNCCC,0.06515653987775372,0.027102099755901825,0.09225863963365555,0.02433319125008937,0.9848193052752053,0.960486114025116,0.0004863458203620431,0.0004863458203620431,0.0,0.0,0.0,0.0,0.0005686642538183942,1.230181135371179e-05,0.00058096607,2.4385779912663755e-06,2.4385779912663755e-06,0.0,0.0,0.0,0.0,0.028317828111374576,0.0026524119004366813,0.03097024,15.106608595511856,14.413037095406112,29.519646,0.0029355872564414964,0.3404210496835808,0.33748546,6.041540165650588,191.7634945113537,185.72195,9.59067563313964,65.40874453287599,74.99942
CHA,OSDA-free,0.31800407344592685,8.615393219644893,8.93339729309082,0.11809249758838386,0.11809249758838386,0.0,0.06414152332361517,0.06414152332361517,0.0,1.934199558276332,0.20255471609195402,2.136754274368286,0.3451403396340339,0.594026567241761,0.24888623,0.3956062747950118,0.015916322279496853,0.4115226,0.164480862848003,0.5048106589238239,0.3403298,0.06082876906492966,0.0026564957132075473,0.063485265,39.24995679221436,18.58238344826415,57.83234,0.0015133577464150946,0.0015133577464150946,0.0,44.638684252934596,107.96518232421384,152.60387,13.632122275624553,74.07390236595658,60.44178
MFI,OSDA-free,4.778516689558742,39.13838394520688,43.916900634765625,0.0,0.0,0.0,1.7997705400000001,1.7997705400000001,0.0,21.280836441252788,8.763772628571429,30.04460906982422,0.23403637226702356,0.5545376699793496,0.3205013,0.0028304140302439023,0.0028304140302439023,0.0,0.17332634090428484,0.45453202485089433,0.28120568,0.0037264743258536587,0.0037264743258536587,0.0,1.4994696716722729,38.62992468876212,37.130455,0.000842465308648354,0.008724078756910569,0.007881613,21.521321276166162,150.83036329414634,172.35168,29.367747060237065,81.24715303557886,51.879406
CHA,CCN(CC)CC,0.062225838595377114,0.1522589126291407,0.21448475122451782,0.03194465449846706,0.9668992977479788,0.9349546432495117,0.0,0.0,0.0,0.0,0.0,0.0,0.00567966095267105,0.0065983233028301886,0.00091866235,0.00029272028679245285,0.00029272028679245285,0.0,0.001784912270566038,0.001784912270566038,0.0,0.016427017034772208,7.821132075471698e-05,0.016505228,1.0799971374444084,18.88609035338679,17.806093,0.04596541315026215,0.6064623197942264,0.65242773,3.0698538040425944,186.44691374056603,183.37706,10.214085171788952,51.85229546841981,41.63821
LTA,C[N+](C)(C)C,3.9248313444009817,6.586800290857891,2.661968946456909,0.20991180916948954,0.021371527708333334,0.23128333687782288,0.0,0.0,0.0,0.011009995689655173,0.011009995689655173,0.0,0.39427347783685524,0.05475477571844261,0.44902825,0.00022929994782608699,0.00022929994782608699,0.0,0.23157689782422386,0.7304992893095652,0.9620762,0.011847826589060867,0.00010869565217391305,0.011956522,40.09759372560292,24.68739467771739,64.78499,1.226883111435184,0.6157254596173674,1.8426086,2.3394889444548284,105.48950580652173,107.828995,44.00909859822218,200.2673078267378,156.25821
MEL,CCCC[N+](CCCC)(CCCC)CCCC,10.617044302073168,36.57940277680461,25.962358474731445,0.001079754447592068,0.001079754447592068,0.0,0.024099038554216867,0.024099038554216867,0.0,7.277315067269253,0.5065689811926606,7.783884048461914,0.027745418928042734,0.09590678594313494,0.123652205,0.029766696701244703,0.031258591646746985,0.001491895,0.07091767053551751,0.3490532384390362,0.27813557,0.0006217930843373494,0.0006217930843373494,0.0,12.200904878937912,54.721767458283615,42.520863,0.10172943697631004,0.30322293863951805,0.2014935,21.720170050047983,168.46037390746986,146.7402,14.353471737921218,53.46238519567253,67.81586
CHA,C1COCCN1,0.9536137970258514,1.1776322217752258,0.2240184247493744,0.2411534936150339,0.7338694184104178,0.9750229120254517,0.024096385542168676,0.024096385542168676,0.0,0.07585234482758621,0.07585234482758621,0.0,0.026144082795121953,0.026144082795121953,0.0,0.09083501033030124,0.09083501033030124,0.0,0.014022868007390242,0.014022868007390242,0.0,0.19702018950298286,0.24713879976585365,0.05011861,2.1650831393275993,16.532003194900916,18.697086,1.0238934622789366,1.8397161828065856,0.8158227,19.892020493234554,160.33812782219513,180.23015,123.53011198374656,226.9450594935122,103.41495
ATO,CCCNCCC,0.01515090798008343,0.031825881852031744,0.04697678983211517,0.05043968326292725,0.9513602578,1.0017999410629272,0.00038580246913580245,0.00038580246913580245,0.0,0.0,0.0,0.0,6.379823492063492e-05,6.379823492063492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02904067002236843,0.0,0.02904067,41.92974077883716,5.810424931612063,47.740166,0.031820715833553004,0.354855834077946,0.38667655,5.4070144301153675,197.154969752381,191.74796,67.54702502364528,120.73228961104762,53.185265
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,21.322562030265786,41.9952343019943,20.672672271728516,0.0,0.0,0.0,0.8403602426781607,8.34492914025641,9.18528938293457,2.020222822946593,24.31968609504132,22.299463272094727,0.0009974422064516128,0.0009974422064516128,0.0,0.0003292604983870968,0.0003292604983870968,0.0,0.17371006398065753,0.011795043064516128,0.1855051,0.11247968941198788,0.3126930621193548,0.20021337,0.0031631823391817804,5.22302738467742,5.2261906,0.011888712147134994,0.2527268821987097,0.24083817,6.718875548191761,168.20048175161293,174.91936,86.05535472016192,239.1059306802287,325.1613
