zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.6125402450561523
AEL,CCCNCCC,0.5355758666992188
CHA,OSDA-free,0.850494384765625
MFI,OSDA-free,0.46065711975097656
CHA,CCN(CC)CC,0.6004724502563477
LTA,C[N+](C)(C)C,1.3553886413574219
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.8056449890136719
CHA,C1COCCN1,0.5370759963989258
ATO,CCCNCCC,1.365086555480957
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.398369312286377
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.5596141815185547
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.3035602569580078
LEV,C[N+]12CCC(CC1)CC2,0.7717218399047852
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.2548398971557617
AFI,CCCN(CCC)CCC,0.16428184509277344
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.3462696075439453
MAZ,OSDA-free,0.5915746688842773
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.0996599197387695
AEN,CC[n+]1ccn(C)c1C,0.9349098205566406
FAU,C1COCCOCCOCCOCCOCCO1,0.4072751998901367
FAU,CC[N+](CC)(CC)CC,0.9746856689453125
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.7953891754150391
PHI,OSDA-free,1.0034198760986328
GIS,CCCNCCC,3.3819355964660645
LEV,C[N+]1(C)CCCCC1,0.5343389511108398
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.2939300537109375
FER,C[N+]1(Cc2ccccc2)CCCC1,0.2572755813598633
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.4244403839111328
SAV,C1CNCCCNCCNCCNC1,1.2688779830932617
AEI,CC[P+](CC)(CC)CC,3.383622646331787
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.2058820724487305
NSI,c1cc(-c2ccncc2)ccn1,2.684903144836426
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.9512653350830078
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.0264005661010742
FER,C1CNCCN1,0.43534183502197266
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.42035770416259766
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.3523216247558594
MWW,CCCCCCC[N+](C)(C)C,0.014837265014648438
MFI,CCN,0.8304357528686523
AFR,CCC[N+](CCC)(CCC)CCC,0.3657827377319336
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.213104248046875
AST,c1ccncc1,2.054989814758301
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.16286849975585938
TON,NCCCCCCCCN,0.08692073822021484
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.348592758178711
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.1491479873657227
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.4299020767211914
