zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.95,0.995,1.0,1.0,0.96,1.0,0.99,0.98,1.0,0.95,0.995,1.0
AEL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985,0.985,1.0,0.99
MFI,0.94,1.0,1.0,1.0,0.99,0.99,1.0,0.995,0.995,0.98,0.985,0.98
LTA,0.845,0.995,0.935,1.0,1.0,1.0,0.775,1.0,0.995,0.905,1.0,0.96
AFI,0.995,0.97,1.0,0.985,1.0,1.0,1.0,0.995,0.99,0.97,0.945,0.99
IWR,0.87,1.0,0.86,0.93,0.99,0.995,0.995,0.97,0.98,0.97,0.825,0.705
BEA,0.84,0.995,0.98,0.97,0.985,1.0,0.995,0.905,0.98,1.0,0.995,0.875
MTW,0.84,1.0,1.0,0.905,0.97,0.995,0.975,0.995,0.99,0.915,0.965,0.95
MEL,0.925,1.0,1.0,0.99,0.96,0.93,0.995,0.995,0.87,1.0,0.99,0.965
LEV,0.955,0.935,1.0,0.995,1.0,1.0,0.965,0.98,0.92,0.95,0.585,0.96
FAU,0.975,0.93,0.945,0.945,0.945,1.0,0.82,0.97,0.67,0.885,0.9,0.9
BEC,0.82,1.0,0.83,0.93,1.0,1.0,1.0,0.99,0.98,0.97,0.79,0.71
FER,0.86,0.995,1.0,1.0,0.805,0.995,0.885,0.885,0.99,0.855,0.88,0.65
ATO,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.95,0.355
MWW,0.87,0.995,0.995,0.73,1.0,0.905,0.995,0.99,0.985,0.795,0.94,0.74
IMF,0.445,0.77,0.985,0.98,0.445,0.995,0.7,1.0,0.97,0.925,0.865,0.905
AEN,1.0,0.58,0.995,0.995,1.0,1.0,1.0,0.885,0.955,0.83,0.985,0.97
STF,0.76,1.0,0.96,0.705,0.975,1.0,0.915,0.965,0.915,0.905,0.945,0.825
MAZ,0.73,1.0,0.985,0.985,0.37,0.985,0.625,0.995,0.545,0.92,0.69,0.895
AEI,0.235,0.455,0.55,0.55,0.87,0.995,0.99,0.85,0.81,0.83,0.66,0.515
GIS,0.89,0.87,1.0,1.0,0.875,1.0,0.92,0.99,0.315,0.41,0.67,0.905
