zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9123505976095617,1.0,0.9681274900398407,0.9681274900398407,0.9561752988047809,0.9840637450199203,0.9322709163346613,0.7529880478087649,0.9282868525896414,0.6573705179282868,0.8685258964143426,0.9641434262948207
AEL,CCCNCCC,1.0,0.9082969432314411,1.0,1.0,0.9956331877729258,1.0,1.0,0.9563318777292577,0.8558951965065502,0.9519650655021834,0.9301310043668122,0.9475982532751092
CHA,OSDA-free,0.9433962264150944,1.0,1.0,0.9685534591194969,0.9937106918238994,0.4528301886792453,0.9937106918238994,0.7421383647798742,0.9182389937106918,1.0,0.9937106918238994,0.9811320754716981
MFI,OSDA-free,0.9024390243902439,1.0,0.983739837398374,0.9512195121951219,0.9512195121951219,1.0,0.9512195121951219,1.0,0.9349593495934959,0.983739837398374,0.8617886178861789,0.983739837398374
CHA,CCN(CC)CC,1.0,0.9245283018867925,1.0,1.0,1.0,1.0,1.0,0.9622641509433962,0.9905660377358491,0.9528301886792453,0.8301886792452831,0.9811320754716981
LTA,C[N+](C)(C)C,1.0,0.6413043478260869,1.0,1.0,0.6630434782608695,1.0,0.5434782608695652,0.967391304347826,0.7717391304347826,0.20652173913043478,0.6521739130434783,0.9239130434782609
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.6867469879518072,1.0,1.0,0.9518072289156626,0.9879518072289156,0.9879518072289156,0.963855421686747,1.0,0.9036144578313253,0.963855421686747,0.7469879518072289,0.9397590361445783
CHA,C1COCCN1,1.0,0.8658536585365854,1.0,1.0,1.0,1.0,1.0,0.9390243902439024,0.975609756097561,0.975609756097561,0.8780487804878049,0.8780487804878049
ATO,CCCNCCC,1.0,0.8412698412698413,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.3968253968253968,1.0,1.0,0.9841269841269841
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.0,1.0,0.8225806451612904,0.25806451612903225,1.0,1.0,0.7741935483870968,1.0,0.8709677419354839,1.0,1.0,1.0
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8833333333333333,1.0,0.9,1.0,1.0,1.0,1.0,0.85,1.0,1.0,0.8333333333333334,0.7833333333333333
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,0.9814814814814815,1.0,0.4444444444444444,0.37037037037037035
LEV,C[N+]12CCC(CC1)CC2,0.84,1.0,1.0,0.78,1.0,1.0,0.98,1.0,1.0,0.2,0.22,0.76
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.96,1.0,0.72,0.74,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0
AFI,CCCN(CCC)CCC,1.0,0.9574468085106383,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9574468085106383
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9111111111111111,1.0,0.9111111111111111,0.8,1.0,1.0,0.9777777777777777,0.9777777777777777,1.0,1.0,1.0,1.0
MAZ,OSDA-free,0.8205128205128205,1.0,1.0,1.0,0.9743589743589743,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444
AEN,CC[n+]1ccn(C)c1C,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.5151515151515151,0.5151515151515151,1.0,1.0
FAU,C1COCCOCCOCCOCCOCCO1,1.0,0.9655172413793104,1.0,1.0,0.896551724137931,1.0,1.0,1.0,1.0,1.0,1.0,0.7586206896551724
FAU,CC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHI,OSDA-free,0.9583333333333334,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,1.0,0.875
GIS,CCCNCCC,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.125,0.16666666666666666,0.9166666666666666,0.0
LEV,C[N+]1(C)CCCCC1,0.8260869565217391,1.0,1.0,1.0,0.9565217391304348,1.0,0.8695652173913043,1.0,0.5652173913043478,1.0,0.43478260869565216,0.5217391304347826
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8636363636363636,1.0,0.8181818181818182,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FER,C[N+]1(Cc2ccccc2)CCCC1,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.6190476190476191,0.5714285714285714
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.0,1.0,0.9047619047619048,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAV,C1CNCCCNCCNCCNC1,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AEI,CC[P+](CC)(CC)CC,0.05,1.0,1.0,1.0,1.0,1.0,0.9,0.55,1.0,1.0,1.0,0.95
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.8
NSI,c1cc(-c2ccncc2)ccn1,0.3684210526315789,0.3684210526315789,1.0,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,1.0,1.0,0.0,0.05263157894736842
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.0,1.0,1.0,0.7368421052631579,1.0,1.0,0.9473684210526315,1.0,0.8947368421052632,0.8421052631578947,1.0,0.7894736842105263
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6111111111111112,1.0,1.0,0.4444444444444444,0.8333333333333334,1.0,1.0,1.0,0.9444444444444444,0.8333333333333334,0.7222222222222222,0.5
FER,C1CNCCN1,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,0.5882352941176471,1.0,1.0
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.0,1.0,1.0,1.0,1.0,1.0,0.5294117647058824,1.0,1.0,1.0,1.0,0.5294117647058824
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.875,1.0,1.0,0.875,0.5,1.0,0.375,1.0,0.25,1.0,0.625,0.75
