zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.1744210918565499
AEL,CCCNCCC,0.10176514648619894
CHA,OSDA-free,0.08862225223954348
MFI,OSDA-free,0.03393720712226406
CHA,CCN(CC)CC,0.2214216414613184
LTA,C[N+](C)(C)C,0.29445999729551936
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.22431138392195588
CHA,C1COCCN1,0.2320821330360532
ATO,CCCNCCC,0.05456948444690519
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4324318526866203
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.14290473394335593
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.23621578420702583
LEV,C[N+]12CCC(CC1)CC2,0.17869969228754784
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.13777253622563695
AFI,CCCN(CCC)CCC,0.0718058322925435
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.1643062799370994
MAZ,OSDA-free,0.15233620187018698
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9347651006692245
AEN,CC[n+]1ccn(C)c1C,0.04849528953153424
FAU,C1COCCOCCOCCOCCOCCO1,0.13267200171209909
FAU,CC[N+](CC)(CC)CC,0.09853210440467658
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.127322950535929
PHI,OSDA-free,0.35740513807611074
GIS,CCCNCCC,1.298254813537875
LEV,C[N+]1(C)CCCCC1,0.1581671178608593
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5333557244873505
FER,C[N+]1(Cc2ccccc2)CCCC1,0.08417352141977696
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.12914867413324996
SAV,C1CNCCCNCCNCCNC1,0.7672109326460451
AEI,CC[P+](CC)(CC)CC,1.0682734185092588
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.646107919427079
NSI,c1cc(-c2ccncc2)ccn1,1.1717763371814436
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.14399032673143997
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.27536487969970425
FER,C1CNCCN1,0.12291178714075567
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.007417406986174074
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3599516545310887
MWW,CCCCCCC[N+](C)(C)C,0.03175031545037632
MFI,CCN,0.07522382150257761
AFR,CCC[N+](CCC)(CCC)CCC,0.058553650049149766
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.03825118166711278
AST,c1ccncc1,0.16549879377573787
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.17983338244056857
TON,NCCCCCCCCN,0.05651160472494313
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.6229589699253517
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.46230075691421846
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.08559137104815535
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.1336421478978902
CHA,CC(C)NC(C)C,0.856188208756032
STF,CCC1CCCC[N+]12CCCCC2,0.45236163667429474
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.23290971215455786
UFI,CC[N+](CC)(CC)CC,0.34234539445766166
ITE,NCCNCCNCCNCCNCCN,0.31541266344846236
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.2926320239954324
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.05501750406896658
AFI,[CH]1C=CC=C1,0.11322736373511044
CLO,C1CN2CCC1CC2,0.5874975515154155
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.25527760661292653
FER,NCCCCN,0.7095924016185701
MTN,C1CCNC1,0.25501294493072413
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.08740273173835683
LEV,CC[N+](C)(C)CC,0.13149625338417972
LAU,c1c[nH]cn1,0.14409311040127304
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.30705179687358614
STI,CC[N+](CC)(CC)CC,1.2552467378019276
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.2123840146160543
OFF,C[N+](C)(C)Cc1ccccc1,0.02872596035997241
AFI,CCN(C(C)C)C(C)C,0.27777721946534806
AEN,CC[N+](CC)(CC)CC,0.10838163375400467
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.027040325056256642
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.6345406760177137
MTW,C1CCC[N+]2(CC1)CCCCC2,0.49793331122550777
MTW,C1CN2CCN1CC2,0.482900477812394
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.08885825746034491
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.10763105692704336
MFI,C1CCNC1,0.19885772648071012
AST,CC(C)[N+](C)(C)C,0.055067907317139356
NON,CC1CCCN1,0.007518539433303996
NON,CC1CCCCN1,0.015491167892059243
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.3850473149153702
ERI,C[N+]1(C)CCCCC1,0.2662561428348512
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.6706980453824509
CHA,CN(CCO)CCO,0.012753603263914375
CHA,CN1CCNCC1,0.1901289390174682
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.45050562420517143
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.5848263478905733
FAU,Cc1cccc(C)[n+]1C,0.17031829890393174
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.16410781479050485
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.09658514717319208
AFI,C1CCCNCC1,0.159294373921601
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.21872214361733844
ITE,C[N+]1(C)CCCCC2CCCCC21,0.6134043412549055
CHA,NCCNCCN,0.10956296067928589
MEI,CN(CCO)CCO,0.17429498158276724
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.21550570768483832
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.45958636393322977
TON,CC(N)CN,0.07278215561743162
ETL,C[N+](C)(C)CCO,0.13022832949851257
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.31290429826496613
AEL,CCNCC,0.006394865747543846
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7420861117764104
MFI,CCCNCCC,0.3294930607706881
MWW,CCCCCC[N+](C)(C)C,0.1648262311057194
FER,CCCCN,0.6842406948734465
GIS,C[N+](C)(C)C,0.20442052519491666
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.3670402737128041
STW,CCc1n(C)cc(C)[n+]1C,0.02305299487990351
AEL,CCCCNCCCC,0.09780771360550947
AVE,C1CC[N+]2(CC1)CCCC2,0.9115314669606775
JST,NCCN,1.6703190386684728
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,0.11217459741024872
STF,CC[N+]1(C)C2CCCC1CCC2,0.5240141442841321
TON,CCC(C)N,0.061384287929504455
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.017060137589968716
FER,NC1CCCCC1,0.04718729459850737
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.0355188642932695
MFI,CN(C)CC(C)(C)CN(C)C,0.04350126012013412
DOH,CC1CNCCN1,1.8280682351106181
