zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0427064895629883
AEL,CCCNCCC,0.8052892684936523
CHA,OSDA-free,1.1520423889160156
MFI,OSDA-free,0.16897964477539062
CHA,CCN(CC)CC,1.5540428161621094
LTA,C[N+](C)(C)C,1.3401660919189453
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.5009222030639648
CHA,C1COCCN1,1.8864235877990723
ATO,CCCNCCC,1.0034818649291992
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.1867709159851074
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.9273357391357422
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.2432928085327148
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8716726303100586
LEV,C[N+]12CCC(CC1)CC2,0.5639505386352539
AFI,CCCN(CCC)CCC,0.1310577392578125
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5621232986450195
MAZ,OSDA-free,0.6350841522216797
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.4049596786499023
AEN,CC[n+]1ccn(C)c1C,1.8183050155639648
FAU,C1COCCOCCOCCOCCOCCO1,0.48801231384277344
FAU,CC[N+](CC)(CC)CC,1.191899299621582
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.672049045562744
PHI,OSDA-free,1.1906909942626953
GIS,CCCNCCC,2.8958091735839844
LEV,C[N+]1(C)CCCCC1,1.0571260452270508
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3182005882263184
FER,C[N+]1(Cc2ccccc2)CCCC1,1.0330400466918945
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.7528810501098633
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.28649330139160156
SAV,C1CNCCCNCCNCCNC1,3.18710994720459
AEI,CC[P+](CC)(CC)CC,2.247878074645996
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.46089744567871094
NSI,c1cc(-c2ccncc2)ccn1,1.638822078704834
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.892634391784668
FER,C1CNCCN1,0.38335227966308594
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.8952417373657227
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.6356453895568848
MWW,CCCCCCC[N+](C)(C)C,0.2712688446044922
MFI,CCN,0.5886945724487305
TON,NCCCCCCCCN,0.4649829864501953
AFR,CCC[N+](CCC)(CCC)CCC,0.3635082244873047
AST,c1ccncc1,2.6744728088378906
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.6795873641967773
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6458206176757812
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.1895980834960938
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.289046287536621
STF,CCC1CCCC[N+]12CCCCC2,2.1589794158935547
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.2805614471435547
CHA,CC(C)NC(C)C,3.4850640296936035
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.35041046142578125
ITE,NCCNCCNCCNCCNCCN,1.2967453002929688
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,3.457192897796631
UFI,CC[N+](CC)(CC)CC,3.831812858581543
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.319209098815918
CLO,C1CN2CCC1CC2,1.287668228149414
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.6141157150268555
AFI,[CH]1C=CC=C1,2.525402069091797
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.19188213348388672
LAU,c1c[nH]cn1,1.2933330535888672
LEV,CC[N+](C)(C)CC,1.0055809020996094
OFF,C[N+](C)(C)Cc1ccccc1,1.8107280731201172
FER,NCCCCN,1.800940990447998
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.909419059753418
STI,CC[N+](CC)(CC)CC,3.9561362266540527
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.7069549560546875
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.051987648010253906
MTN,C1CCNC1,1.246516227722168
AFI,CCN(C(C)C)C(C)C,0.8187150955200195
AEN,CC[N+](CC)(CC)CC,1.1094169616699219
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.1977348327636719
AST,CC(C)[N+](C)(C)C,-0.0027379989624023438
MTW,C1CN2CCN1CC2,0.6052770614624023
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.43541717529296875
MTW,C1CCC[N+]2(CC1)CCCCC2,1.6784839630126953
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.2608833312988281
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.4769868850708008
MFI,C1CCNC1,0.21195507049560547
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.8115167617797852
NON,CC1CCCN1,1.5921621322631836
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.3104743957519531
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.0308752059936523
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,-0.09758949279785156
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.9847888946533203
CHA,CN(CCO)CCO,0.4333009719848633
FAU,Cc1cccc(C)[n+]1C,0.6734247207641602
NON,CC1CCCCN1,0.6615095138549805
CHA,CN1CCNCC1,1.6821022033691406
ERI,C[N+]1(C)CCCCC1,1.3491945266723633
AFI,C1CCCNCC1,-0.03565025329589844
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.5767340660095215
