zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.21104688669009258
AEL,CCCNCCC,0.2710381147155212
CHA,OSDA-free,0.09433858887473909
MFI,OSDA-free,0.03424679101391849
CHA,CCN(CC)CC,0.47279562700499644
LTA,C[N+](C)(C)C,0.30182956929162286
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.2279847017722448
CHA,C1COCCN1,0.684383528333186
ATO,CCCNCCC,0.06523523407733656
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.379688963808569
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.18660620960020075
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.07251060290699551
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.23716781095614423
LEV,C[N+]12CCC(CC1)CC2,0.15109910716163294
AFI,CCCN(CCC)CCC,0.02906412456850464
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.1077841889686184
MAZ,OSDA-free,0.10096812054237453
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.8027226193711539
AEN,CC[n+]1ccn(C)c1C,0.09191548888601025
FAU,C1COCCOCCOCCOCCOCCO1,0.06684088274500871
FAU,CC[N+](CC)(CC)CC,0.18182625589489476
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.3299559518799708
PHI,OSDA-free,0.1261915083118208
GIS,CCCNCCC,1.27140586995949
LEV,C[N+]1(C)CCCCC1,0.09743080378845859
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5170172370833195
FER,C[N+]1(Cc2ccccc2)CCCC1,0.40762568308915026
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.33883941506071436
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.1694186481326165
SAV,C1CNCCCNCCNCCNC1,1.246793384287014
AEI,CC[P+](CC)(CC)CC,0.5008066076797398
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.21208600621854562
NSI,c1cc(-c2ccncc2)ccn1,1.1177396902439853
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.24230133781522947
FER,C1CNCCN1,0.05969845979325029
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.05166804171747441
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.6079615157454622
MWW,CCCCCCC[N+](C)(C)C,0.07734334108942262
MFI,CCN,0.14222642959053344
TON,NCCCCCCCCN,0.1636599106039293
AFR,CCC[N+](CCC)(CCC)CCC,0.027947222697979536
