zeo,MMD
CHA,0.2859306335449219
AEL,0.23980236053466797
MFI,0.17618846893310547
LTA,0.5685372352600098
AFI,0.18122005462646484
IWR,0.3336176872253418
BEA,0.07580947875976562
MTW,0.061905860900878906
MEL,0.29622745513916016
LEV,0.18546104431152344
FAU,0.18680286407470703
BEC,0.06610679626464844
FER,0.1511240005493164
ATO,2.83780574798584
MWW,0.8414278030395508
IMF,1.2764472961425781
AEN,0.49773216247558594
STF,0.3583688735961914
MAZ,0.39173316955566406
AEI,0.7196426391601562
GIS,1.3117046356201172
TON,0.6078557968139648
ITE,0.46604347229003906
NON,0.062233924865722656
MOR,0.04803752899169922
AST,0.5235862731933594
PHI,0.48436546325683594
SAV,1.157003402709961
UOV,1.0039949417114258
ITT,2.3906116485595703
MTT,0.1372060775756836
ITG,0.9940032958984375
CON,0.5140619277954102
NSI,1.7139620780944824
ERI,0.1820087432861328
MTN,0.9416265487670898
MRE,0.4790163040161133
AFR,0.4813852310180664
SWY,1.9712743759155273
LAU,2.5876026153564453
DDR,0.5770254135131836
AFX,1.7040257453918457
UFI,4.0785675048828125
ISV,1.757462501525879
ANA,0.10181236267089844
CLO,2.1441869735717773
OFF,1.6733064651489258
STI,3.794806957244873
CTH,0.17923736572265625
SFS,2.8455753326416016
AWO,0.30998706817626953
DOH,0.5077638626098633
SOD,0.9027910232543945
STW,-0.0813446044921875
UOZ,1.9390335083007812
MEI,2.180445671081543
ETL,2.4272594451904297
AVE,2.800055503845215
SZR,2.2086920738220215
JST,1.47800874710083
IFR,2.5215158462524414
IFW,0.6473779678344727
CGS,2.5088272094726562
PWN,0.2701539993286133
ATS,2.3761348724365234
RTH,0.5313777923583984
EUO,0.022291183471679688
EMT,0.5675215721130371
BPH,0.6962041854858398
AWW,2.4743971824645996
ASV,0.6611409187316895
IHW,2.3587026596069336
RWY,5.832993984222412
LTJ,3.8778114318847656
SFH,2.0862841606140137
NES,-0.9181661605834961
IRR,1.2808341979980469
TUN,1.4154701232910156
IWV,1.4568300247192383
EON,0.45810413360595703
STO,0.6665687561035156
ITW,-0.778965950012207
SFW,4.818255424499512
IFU,2.307196617126465
VFI,1.1804466247558594
EEI,4.365551471710205
SFG,3.7008628845214844
LOS,3.810298442840576
SFV,6.698645114898682
IFO,5.805290222167969
RTE,1.7090959548950195
MER,4.616750717163086
AFN,2.6789073944091797
APC,4.312188148498535
SFN,3.1710948944091797
SSY,3.326885223388672
PUN,5.197996139526367
LTL,3.916614055633545
UOS,3.2433481216430664
CGF,4.6034746170043945
AHT,3.2546939849853516
VET,1.4911231994628906
ABW,4.242734909057617
PWW,3.986166000366211
