zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.7461528778076172
AEL,CCCNCCC,0.2700624465942383
CHA,OSDA-free,1.3687801361083984
MFI,OSDA-free,0.5676822662353516
CHA,CCN(CC)CC,0.6582908630371094
LTA,C[N+](C)(C)C,1.4063453674316406
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.5196695327758789
CHA,C1COCCN1,0.5448331832885742
ATO,CCCNCCC,2.83780574798584
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.015772819519043
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.2693424224853516
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.2764472961425781
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.26865196228027344
LEV,C[N+]12CCC(CC1)CC2,0.31595611572265625
AFI,CCCN(CCC)CCC,0.41724586486816406
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.12037467956542969
MAZ,OSDA-free,0.41709041595458984
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.4169063568115234
AEN,CC[n+]1ccn(C)c1C,1.1545581817626953
FAU,C1COCCOCCOCCOCCOCCO1,0.4911994934082031
FAU,CC[N+](CC)(CC)CC,0.9291353225708008
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0039949417114258
PHI,OSDA-free,0.5899658203125
GIS,CCCNCCC,2.6933035850524902
LEV,C[N+]1(C)CCCCC1,1.3767614364624023
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.3906116485595703
FER,C[N+]1(Cc2ccccc2)CCCC1,0.5609550476074219
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.9940032958984375
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.1759891510009766
SAV,C1CNCCCNCCNCCNC1,1.7953500747680664
AEI,CC[P+](CC)(CC)CC,1.8509130477905273
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.9406404495239258
NSI,c1cc(-c2ccncc2)ccn1,2.0710620880126953
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6236772537231445
FER,C1CNCCN1,0.26197147369384766
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.25855159759521484
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.9387483596801758
MWW,CCCCCCC[N+](C)(C)C,0.23314189910888672
MFI,CCN,0.4293632507324219
TON,NCCCCCCCCN,0.7198581695556641
AFR,CCC[N+](CCC)(CCC)CCC,0.4813852310180664
AST,c1ccncc1,2.2693123817443848
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.2011985778808594
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.30922889709472656
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,2.4398770332336426
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.9712743759155273
STF,CCC1CCCC[N+]12CCCCC2,2.4280600547790527
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.6029138565063477
CHA,CC(C)NC(C)C,2.0540075302124023
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.01715564727783203
ITE,NCCNCCNCCNCCNCCN,2.8105268478393555
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.757462501525879
UFI,CC[N+](CC)(CC)CC,4.0785675048828125
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.9049854278564453
CLO,C1CN2CCC1CC2,2.1441869735717773
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.37325191497802734
AFI,[CH]1C=CC=C1,2.63234806060791
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.521270751953125
LAU,c1c[nH]cn1,2.6433820724487305
LEV,CC[N+](C)(C)CC,0.6744651794433594
OFF,C[N+](C)(C)Cc1ccccc1,1.6733064651489258
