zeo,WSD
CHA,0.0702005606099328
AEL,0.08289375695406198
MFI,0.036920625191721165
LTA,0.22366214254102415
AFI,0.08224464773410073
IWR,0.1439089670587047
BEA,0.06700127599882989
MTW,0.024675626079063033
MEL,0.09509739472297324
LEV,0.047538993425699574
FAU,0.14149867761096913
BEC,0.05242995966944064
FER,0.056687688540117895
ATO,0.5794749056270212
MWW,0.24109104404041273
IMF,0.1080708356521048
AEN,0.1256770513691208
STF,0.26173173106090636
MAZ,0.09244448457635132
AEI,0.17779230251679476
GIS,0.5177440720642694
TON,0.21045875518921506
ITE,0.1467114513400007
NON,0.07241098260331616
MOR,0.0676887674422299
AST,0.2326309575445562
PHI,0.04883149654022226
SAV,0.4861173331235546
UOV,0.29319188995998985
ITT,0.4703616499459245
MTT,0.13755386625654603
ITG,0.3362532672511388
CON,0.24155511114767989
NSI,1.2273852312130202
ERI,0.048800849135695025
MTN,0.6189612168846954
MRE,0.1781407503924341
AFR,0.04433130675701608
SWY,0.715357946494542
LAU,0.6111275569443423
DDR,0.10193305829963908
AFX,0.832830588389407
UFI,0.9577192978509985
ISV,0.4399402578280157
ANA,0.16486977727529833
CLO,0.721703311246102
OFF,0.00484865806319738
STI,1.006807678373608
CTH,0.04985883742891414
SFS,0.8706393923335649
AWO,0.12471278490788992
DOH,0.488345785572714
SOD,0.36595787510492167
STW,0.20580692622970087
UOZ,0.6110890973000158
MEI,0.18214526697340225
ETL,0.5549434105320796
AVE,0.7708537207530449
SZR,0.7429737922074051
JST,1.0710059607877516
IFR,0.7151357757661193
IFW,0.32591750458891755
CGS,1.0475280103334415
PWN,0.01626031429314665
ATS,0.6083376809501064
RTH,0.3119133799662376
EUO,0.2916625610450472
EMT,0.36406327441003766
BPH,0.5578202989261671
AWW,0.8791378646282106
ASV,0.5828202358631366
IHW,0.27627828299987833
RWY,1.4969960316138222
LTJ,0.9611966674006489
SFH,1.4063930375287832
NES,0.20606577164724277
IRR,0.34779852194892735
TUN,0.09171497093514525
IWV,0.9176696935705916
EON,0.4874425058289752
STO,0.3200028537924071
ITW,0.2487714555747571
SFW,1.6539169718948552
IFU,0.1754076895257538
VFI,0.5668123718573606
EEI,1.0280426268290908
SFG,1.2271796714445165
LOS,1.3028309754050222
SFV,1.8272180947809602
IFO,1.5942546936904114
RTE,1.1725741170062984
MER,1.7058765751685332
AFN,0.4960153950958568
APC,0.8016593911109793
SFN,0.43481785511958293
SSY,0.45127005279980137
PUN,1.0489759143499193
LTL,1.0486089818671749
UOS,0.23341131064224946
CGF,1.8658825178626142
AHT,0.7174489011795973
VET,0.23576817436495123
ABW,1.506023076023499
PWW,0.10236216561749804
