zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.1587238135749561
AEL,CCCNCCC,0.10059359900451087
CHA,OSDA-free,0.0895817281000922
MFI,OSDA-free,0.041075777377870784
CHA,CCN(CC)CC,0.046943640027850744
LTA,C[N+](C)(C)C,0.31090611991064115
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.19828660480101656
CHA,C1COCCN1,0.21386916164021552
ATO,CCCNCCC,0.5794749056270212
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.2833591590277953
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.3544576658637803
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.1080708356521048
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.1277613119833249
LEV,C[N+]12CCC(CC1)CC2,0.1478502133011006
AFI,CCCN(CCC)CCC,0.10618120446444786
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.05934360589593169
MAZ,OSDA-free,0.09796063659663401
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.5441034556115909
AEN,CC[n+]1ccn(C)c1C,0.10710048651219417
FAU,C1COCCOCCOCCOCCOCCO1,0.09407226594083026
FAU,CC[N+](CC)(CC)CC,0.23689263394928173
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.29319188995998985
PHI,OSDA-free,0.09217228942229405
GIS,CCCNCCC,1.0109593345519108
LEV,C[N+]1(C)CCCCC1,0.09250418951225721
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4703616499459245
FER,C[N+]1(Cc2ccccc2)CCCC1,0.12165214077075481
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.3362532672511388
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.5456749975293869
SAV,C1CNCCCNCCNCCNC1,0.8896330351406535
AEI,CC[P+](CC)(CC)CC,0.18162778832464804
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.28215228298403794
NSI,c1cc(-c2ccncc2)ccn1,1.4135207842483184
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.3163477020651939
FER,C1CNCCN1,0.14527233510524898
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.12250030260940281
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3555152591640249
MWW,CCCCCCC[N+](C)(C)C,0.04250654019047142
MFI,CCN,0.19906103521708812
TON,NCCCCCCCCN,0.2158670120416931
AFR,CCC[N+](CCC)(CCC)CCC,0.04433130675701608
AST,c1ccncc1,0.6428067522923623
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.12521464160942603
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.3095054869450987
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.60746221676183
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.715357946494542
STF,CCC1CCCC[N+]12CCCCC2,0.6056705990782502
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.17377359891181285
CHA,CC(C)NC(C)C,0.518903915415345
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.01080873896100643
ITE,NCCNCCNCCNCCNCCN,0.14299077585704476
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.4399402578280157
UFI,CC[N+](CC)(CC)CC,0.9577192978509985
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.3832187966550891
CLO,C1CN2CCC1CC2,0.721703311246102
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.08605015578542802
AFI,[CH]1C=CC=C1,0.14192618799523807
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.1410281864737479
LAU,c1c[nH]cn1,0.4886187747537955
LEV,CC[N+](C)(C)CC,0.1510868231445406
OFF,C[N+](C)(C)Cc1ccccc1,0.00484865806319738
FER,NCCCCN,0.21403186174896538
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.0987978886223815
STI,CC[N+](CC)(CC)CC,1.006807678373608
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.8551818455824202
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.09588832426951469
MTN,C1CCNC1,0.6183794966548268
AFI,CCN(C(C)C)C(C)C,0.47726214672069656
AEN,CC[N+](CC)(CC)CC,0.25357379821722836
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.29114569957913483
AST,CC(C)[N+](C)(C)C,0.16161586953811957
MTW,C1CN2CCN1CC2,0.1826735588163443
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.2301289407287786
MTW,C1CCC[N+]2(CC1)CCCCC2,0.2123777414214702
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.25989224009618084
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.29585118041206865
MFI,C1CCNC1,0.12344349422364848
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.5183998823448965
NON,CC1CCCN1,0.026312940489903118
