zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,1.9118320913549294,10.532977822280325,12.444809913635254,0.15480769176525944,0.5168235252376092,0.6716312170028687,0.5702523859595224,0.5702523859595224,0.0,2.4131033242667415,2.733616483303378,0.32051315903663635,0.07500109626555193,0.18089359803700197,0.10589250177145004,0.07089154112510604,0.033263112722111514,0.10415465384721756,0.0003076207787331142,0.20405399920051656,0.20374637842178345,0.09245535387143212,0.01814814256087226,0.11060349643230438,7.819906639939191,22.973987174147723,30.793893814086914,0.2556027508793977,0.2841972373904082,0.5397999882698059,11.397332169449498,152.28583433445675,163.68316650390625,125.49400634391978,212.56548614128306,87.07147979736328
AEL,0.07648553192329599,0.018298183980463015,0.094783715903759,0.14386553879646524,0.8043216932210518,0.9481872320175171,0.0,0.0,0.0,0.0006391537407607716,0.0006391537407607716,0.0,9.853934218443847e-05,0.0004467116081967213,0.0005452509503811598,0.00016349261967213115,0.00016349261967213115,0.0,0.000660418575409836,0.000660418575409836,0.0,0.018375225756411876,0.017453398164267216,0.03582862392067909,14.506334922690701,13.86884246073215,28.37517738342285,0.013678271175101786,0.4211350864178691,0.40745681524276733,16.90575462936914,168.19805091262305,185.1038055419922,44.902899871267635,121.42285073796685,76.51995086669922
MFI,6.55886606720501,44.10343404265827,50.66230010986328,0.0,0.0,0.0,0.13064361736035945,0.5693566687419355,0.7000002861022949,13.010271717566269,7.275878261071427,20.286149978637695,0.061672660968069226,0.319290045163397,0.25761738419532776,0.0025218768687942997,0.01635717352013793,0.018879050388932228,0.0416573675242814,0.32491321283258523,0.28325584530830383,0.004951767073863116,0.02879823426724139,0.03375000134110451,7.565732138632075,29.23444257450269,36.800174713134766,0.06766978560934683,0.25298865974892953,0.32065844535827637,8.174222579630964,160.3454002231034,168.51962280273438,30.56454646235241,141.5690859520985,111.0045394897461
LTA,2.7877342352807464,4.374956334584946,1.5872220993041992,0.3698886282505619,0.16013703274110683,0.5300256609916687,0.12290046671548582,1.1514866544850757,1.2743871212005615,1.3892388589512419,1.3892388589512419,0.0,0.1270390901786856,0.11740228495768983,0.24444137513637543,0.005073863138461538,0.005073863138461538,0.0,0.20109365162235437,0.7248273271022433,0.5237336754798889,0.009272025201665618,0.08461317303384616,0.09388519823551178,3.843703575618541,51.1556479258463,54.999351501464844,0.3650186720811961,0.7816298541105153,1.1466485261917114,1.1845886802956045,136.51163030627217,135.32704162597656,93.12964544405634,216.52364263643915,123.39399719238281
AFI,0.17261922094103976,0.9007783505606382,0.7281591296195984,0.1172155998845873,0.5961496569017591,0.7133652567863464,0.029965602670623145,0.029965602670623145,0.0,1.4783977135181976,0.5960699454783845,2.074467658996582,0.011076351095069888,0.017511903707016947,0.00643555261194706,0.0023531854844984447,0.007014207238644067,0.004661021754145622,0.013694826700105647,0.03525480460406778,0.021559977903962135,0.018095728922438832,0.02625454498474577,0.0443502739071846,11.037859267989525,27.323693924149147,38.36155319213867,0.05693493367059571,0.3813204955972876,0.4382554292678833,15.071343800958033,154.08547077423728,169.1568145751953,96.14861558542145,197.52410386667145,101.37548828125
IWR,5.893799085282204,30.689298886917946,24.795499801635742,0.0,0.0,0.0,3.217744566708304,5.612678788394235,8.830423355102539,0.2540147835300246,25.702343172402593,25.956357955932617,0.0003660194142857143,0.0003660194142857143,0.0,0.002538718159285714,0.002538718159285714,0.0,0.03869552714765201,0.17901339931428562,0.1403178721666336,0.05927529713140106,0.2313843689300003,0.29065966606140137,0.5424967760396111,8.021553134377013,7.479056358337402,0.005020778202932591,0.23702758965500045,0.24204836785793304,1.0047044546317068,173.95064832857142,174.95535278320312,11.34752622035694,318.65247377964306,330.0
BEA,12.992652886613783,33.231777184709486,20.239124298095703,0.0,0.0,0.0,2.7085197972904833,8.235634665454546,5.5271148681640625,4.889827904093785,15.85576039851852,20.745588302612305,0.056667162436338785,0.02166514996877062,0.0783323124051094,0.01471988927058523,0.0019709237343853206,0.01669081300497055,0.06179373489375303,0.13100906683449556,0.1928028017282486,0.09013983838126877,0.2779647582011006,0.18782491981983185,3.0353712467532077,12.41684966999484,15.452220916748047,0.0369468522646329,0.3030881774999997,0.2661413252353668,2.8209441197849685,159.46047048697247,156.6395263671875,31.422261439325894,327.50792428112277,296.0856628417969
MTW,1.5276393362402416,64.01457399810548,62.486934661865234,0.0011737595863610957,0.0011737595863610957,0.0,1.8817069688524592,1.8817069688524592,0.0,34.99920332632023,13.189483044529378,48.18868637084961,0.04114067041962731,0.07491858070999992,0.11605925112962723,0.007763430084999998,0.007763430084999998,0.0,0.04036066173844935,0.17015379905038477,0.12979313731193542,0.03505331028927701,0.11921348173846143,0.08416017144918442,7.765666992517623,33.253211944249955,41.01887893676758,0.08218620588668762,0.41355766227134644,0.3313714563846588,3.9016674208984057,159.33149224999997,155.42982482910156,27.49092043261811,411.46128904003814,438.95220947265625
MEL,14.57613509861008,45.08868545261399,30.512550354003906,0.0,0.0,0.0,4.031680558064517,4.031680558064517,0.0,1.8394298951380854,9.6233139436,7.783884048461914,0.0447697349267942,0.16990919489440742,0.12513945996761322,0.010584741434177623,0.011786948027184472,0.0012022065930068493,0.04566923819852953,0.28378502570463304,0.23811578750610352,0.05706105484786342,0.09104163675728152,0.033980581909418106,0.10936299985167608,42.42877523129699,42.31941223144531,0.06859507039080504,0.2990471906949127,0.23045212030410767,14.374834159676368,161.26257524854356,146.8877410888672,79.7952039008756,103.92168452685877,183.71688842773438
LEV,4.938952563575221,20.780702708533717,15.841750144958496,0.14578320263275069,0.4220936465109245,0.27631044387817383,0.21936870780232454,0.11396463546511627,0.3333333432674408,0.9199411678105816,1.7074670982569233,2.627408266067505,0.026931836100849094,0.27043706068638224,0.24350522458553314,0.005662356826067418,0.005662356826067418,0.0,0.09138655512639063,0.1700221315114878,0.2614086866378784,0.011601934736496459,0.027781708693033706,0.016179773956537247,11.43356763771095,26.461364383011244,15.027796745300293,0.017859563410553725,0.2637058498266075,0.24584628641605377,12.216980871372357,149.24369722921358,161.46067810058594,46.09477873931834,182.7308895956426,228.82566833496094
