zeo,osda,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.5601574292820217,34.5540062299412,30.99384880065918,0.006239216551915602,0.006239216551915602,0.0,3.1031096596187666,3.1031096596187666,0.0,6.222898724284891,6.222898724284891,0.0,0.058840968559967316,0.04546458189607974,0.10430555045604706,0.0009907704255336571,0.006044460594540243,0.005053690169006586,0.1425947672571447,0.1595902913366053,0.30218505859375,0.1957352078472037,0.02045606906071714,0.21619127690792084,6.7188733480992795,31.518445339066076,24.799571990966797,0.29646244733278104,0.21972903521116424,0.5161914825439453,0.5320241387126714,153.44702554390452,153.9790496826172,213.49639711961186,332.3796597538892,118.88326263427734
AEL,CCCNCCC,0.07500234606446514,0.017256308470351606,0.09225865453481674,0.15417531474398594,0.80631079928113,0.960486114025116,0.0,0.0,0.0,0.0006749259090043784,0.0006749259090043784,0.0,0.00010499387128564314,0.0004759721938864629,0.000580966065172106,8.70812366812227e-05,8.70812366812227e-05,0.0,0.0007036774340611353,0.0007036774340611353,0.0,0.0138253274734654,0.017144912538345856,0.030970240011811256,15.794397790279202,13.725266974125095,29.519664764404297,0.07208334471617528,0.4095686581317026,0.33748531341552734,17.54211288247157,168.17984146323155,185.72195434570312,46.699188651643226,121.69860881765885,74.99942016601562
CHA,OSDA-free,1.6166933953039884,7.316704851461148,8.933398246765137,0.09140676489361703,0.09140676489361703,0.0,0.03962012685804416,0.03962012685804416,0.0,1.7594651763143938,0.3772890980538922,2.136754274368286,0.37857906797371255,0.6274652657791172,0.24888619780540466,0.2933929553189556,0.11812996958109932,0.41152292490005493,0.21227697027593428,0.5526067365494328,0.34032976627349854,0.06024968230472177,0.0032356048251572325,0.063485287129879,39.29412653160294,18.53825948524276,57.8323860168457,0.0003658216581132076,0.0003658216581132076,0.0,54.498221338650396,98.10564523849804,152.60386657714844,97.30755803337149,157.74934575309805,60.44178771972656
MFI,OSDA-free,6.229682572973886,37.68721806179174,43.916900634765625,0.0,0.0,0.0,0.6819010068888889,0.6819010068888889,0.0,23.777632940693785,6.266976129130434,30.04460906982422,0.03582003154365887,0.35632150806991925,0.3205014765262604,0.0188546642006504,0.0188546642006504,0.0,0.06478153022504607,0.3459871843693332,0.2812056541442871,0.011135907960975609,0.011135907960975609,0.0,13.544568329316146,23.585882873076432,37.13045120239258,0.01611781537124447,0.02399942975082926,0.00788161437958479,11.880789061044254,160.47089550926825,172.3516845703125,53.22150320282721,105.100909178169,51.8794059753418
CHA,CCN(CC)CC,0.03411785168335574,0.24860260290787356,0.21448475122451782,0.002951657974795463,0.9379065396428863,0.9349548816680908,0.014308782417582419,0.014308782417582419,0.0,0.0,0.0,0.0,0.0012359798068219937,0.002154642156981132,0.0009186623501591384,0.002701496913207547,0.002701496913207547,0.0,0.0018246013660377363,0.0018246013660377363,0.0,0.01569705500608932,0.0008081714867924528,0.016505226492881775,6.257076401509297,11.54901299973582,17.806089401245117,0.16709619467250258,0.48533177669056504,0.6524279713630676,9.639149845363278,193.01620978188672,183.37705993652344,84.52394947401349,126.16215977064435,41.63821029663086
LTA,C[N+](C)(C)C,3.0253033646106458,5.687272311067555,2.661968946456909,0.21157580390384517,0.019707532973977693,0.23128333687782288,0.05203469696969697,0.05203469696969697,0.0,0.06124376506024096,0.06124376506024096,0.0,0.29380987330446195,0.15521832064619115,0.4490281939506531,0.007893822652173912,0.007893822652173912,0.0,0.3505079651478238,1.3125839138630337,0.96207594871521,0.0093226681281913,0.0026338541130434784,0.01195652224123478,14.31899089823343,50.46599750508688,64.78498840332031,0.6338301499810857,1.208778301862176,1.8426084518432617,9.48769732493976,117.31668444652179,107.82898712158203,79.77651266750749,236.03472189602311,156.25820922851562
MEL,CCCC[N+](CCCC)(CCCC)CCCC,14.881021613656891,40.843378181039704,25.962356567382812,0.0,0.0,0.0,7.415290399999999,7.415290399999999,0.0,2.7497570382880863,10.53364108675,7.783884048461914,0.05966172314412904,0.1833139876199515,0.12365226447582245,0.007431331596666396,0.008923226542168677,0.0014918949455022812,0.0432479404156374,0.3213834785168337,0.2781355381011963,0.07372971937349396,0.07372971937349396,0.0,3.5144366401256235,46.03530303416859,42.52086639404297,0.02815909176625231,0.22965254872597674,0.20149345695972443,13.737860573903305,160.47806443132518,146.74020385742188,3.416042965953949,71.2318998995477,67.81585693359375
CHA,C1COCCN1,1.5608519453747385,1.7848703403217905,0.224018394947052,0.19305764180105067,0.781965270224401,0.9750229120254517,0.0,0.0,0.0,0.0,0.0,0.0,0.05448593524634149,0.05448593524634149,0.0,0.0089230348216,0.0089230348216,0.0,0.03144792662297072,0.03144792662297072,0.0,0.00805697746981223,0.05817558773268302,0.05011861026287079,6.484988974966537,25.182075309195053,18.697086334228516,0.21431883764906978,0.60150364446,0.8158224821090698,2.496858499204393,182.72700681463408,180.2301483154297,9.762355594133794,113.17730310389942,103.41494750976562
ATO,CCCNCCC,0.005541015168242118,0.041435774663873055,0.04697678983211517,0.020659814158468848,0.9811401269044584,1.0017999410629272,0.0,0.0,0.0,0.0,0.0,0.0,4.8235790476190474e-05,4.8235790476190474e-05,0.0,0.00013227624444444444,0.00013227624444444444,0.0,0.00044561130158730157,0.00044561130158730157,0.0,0.02708238475887637,0.0019582852634920634,0.02904067002236843,38.95868288524517,8.781475195809518,47.74015808105469,0.09380177575995335,0.29287483375619044,0.3866766095161438,10.429763373059245,181.31819194920638,191.74795532226562,1.3788661988309059,51.80639838857144,53.185264587402344
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,20.706688622715937,41.37936089444445,20.672672271728516,0.0,0.0,0.0,4.5495558875199045,4.635734449088982,9.185290336608887,1.0277984870070114,21.271664785087715,22.299463272094727,6.312953548387096e-05,6.312953548387096e-05,0.0,0.0010359323483870968,0.0010359323483870968,0.0,0.056840678270979966,0.12866442877419368,0.18550510704517365,0.08237996496643923,0.2825932929703226,0.20021332800388336,2.5059540621296543,7.732144629146256,5.226190567016602,0.0015441996575097372,0.23929395549290378,0.2408381551504135,0.9374306739982501,173.98192662580644,174.9193572998047,19.679539101681087,305.48174629870954,325.1612854003906
