zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.36514854431152344
AEL,CCCNCCC,0.8007373809814453
CHA,OSDA-free,0.8057956695556641
MFI,OSDA-free,0.13442039489746094
CHA,CCN(CC)CC,0.09428024291992188
LTA,C[N+](C)(C)C,0.3648710250854492
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.1736316680908203
CHA,C1COCCN1,0.20678138732910156
ATO,CCCNCCC,1.3856639862060547
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.4833335876464844
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.7582831382751465
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.4738149642944336
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.3803520202636719
LEV,C[N+]12CCC(CC1)CC2,0.5393781661987305
AFI,CCCN(CCC)CCC,0.3899393081665039
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.1575002670288086
MAZ,OSDA-free,0.7118606567382812
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.967041015625
AEN,CC[n+]1ccn(C)c1C,1.1030101776123047
FAU,C1COCCOCCOCCOCCOCCO1,0.6559247970581055
FAU,CC[N+](CC)(CC)CC,1.3343925476074219
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.8492546081542969
PHI,OSDA-free,1.4616107940673828
GIS,CCCNCCC,2.553215980529785
LEV,C[N+]1(C)CCCCC1,0.6790018081665039
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5229005813598633
FER,C[N+]1(Cc2ccccc2)CCCC1,2.127638816833496
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.5095787048339844
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6601295471191406
SAV,C1CNCCCNCCNCCNC1,1.8885760307312012
AEI,CC[P+](CC)(CC)CC,2.1158456802368164
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.14515113830566406
NSI,c1cc(-c2ccncc2)ccn1,1.2284045219421387
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.3420495986938477
FER,C1CNCCN1,0.34050750732421875
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.6205234527587891
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.1825151443481445
MWW,CCCCCCC[N+](C)(C)C,1.2435550689697266
MFI,CCN,0.47225284576416016
TON,NCCCCCCCCN,1.119236946105957
AFR,CCC[N+](CCC)(CCC)CCC,0.5799980163574219
AST,c1ccncc1,2.5018467903137207
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.8175439834594727
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.23252296447753906
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.6806669235229492
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.6617517471313477
STF,CCC1CCCC[N+]12CCCCC2,2.547459125518799
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.15986347198486328
CHA,CC(C)NC(C)C,2.024827003479004
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.2095489501953125
ITE,NCCNCCNCCNCCNCCN,2.7884140014648438
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.5224075317382812
UFI,CC[N+](CC)(CC)CC,2.781726837158203
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.6923055648803711
CLO,C1CN2CCC1CC2,1.5435380935668945
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.49643993377685547
AFI,[CH]1C=CC=C1,2.1981449127197266
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.43494224548339844
LAU,c1c[nH]cn1,2.01407527923584
LEV,CC[N+](C)(C)CC,0.2523765563964844
OFF,C[N+](C)(C)Cc1ccccc1,1.5448894500732422
FER,NCCCCN,1.313673973083496
DDR,C[N+]1(C)C2CCC1CC(O)C2,1.0435924530029297
STI,CC[N+](CC)(CC)CC,3.836332321166992
