zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2682110543048466
AEL,CCCNCCC,0.2808011560992002
CHA,OSDA-free,0.11102407023136113
MFI,OSDA-free,0.028198085212651488
CHA,CCN(CC)CC,0.013124716787216497
LTA,C[N+](C)(C)C,0.2271489641154616
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.222254536240256
CHA,C1COCCN1,0.09067253301212509
ATO,CCCNCCC,0.17221833200317932
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.3449318898517401
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.34970368796120266
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.10233463050887287
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.18828602493670532
LEV,C[N+]12CCC(CC1)CC2,0.1060510837308086
AFI,CCCN(CCC)CCC,0.11533408749142103
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.08585030518210324
MAZ,OSDA-free,0.2015851610983328
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.20718831062023266
AEN,CC[n+]1ccn(C)c1C,0.07377605930117023
FAU,C1COCCOCCOCCOCCOCCO1,0.09617463803024685
FAU,CC[N+](CC)(CC)CC,0.21464109767883433
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.3294086682548466
PHI,OSDA-free,0.35010452412531323
GIS,CCCNCCC,0.6652030261309935
LEV,C[N+]1(C)CCCCC1,0.19825799083509554
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5309221640122442
FER,C[N+]1(Cc2ccccc2)CCCC1,0.6048849441924704
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.33079609242797603
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.2904610805849855
SAV,C1CNCCCNCCNCCNC1,0.8501356351953248
AEI,CC[P+](CC)(CC)CC,0.4944634994068373
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.1969975411592178
NSI,c1cc(-c2ccncc2)ccn1,0.7821285710273993
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6114780349170759
FER,C1CNCCN1,0.10838461117883141
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.1095785648432294
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3599321734445392
MWW,CCCCCCC[N+](C)(C)C,0.4921352681861244
MFI,CCN,0.1359242980032242
TON,NCCCCCCCCN,0.33153768380705995
AFR,CCC[N+](CCC)(CCC)CCC,0.13363204102952964
AST,c1ccncc1,0.9320810603567304
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.13951330978374016
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.31648864528593346
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.38285928974158523
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.28088068985454984
STF,CCC1CCCC[N+]12CCCCC2,0.6103263199010409
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.07384976082333172
CHA,CC(C)NC(C)C,0.48309128323150297
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.14125922586208672
ITE,NCCNCCNCCNCCNCCN,0.32063308439843347
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.40228148051163193
UFI,CC[N+](CC)(CC)CC,0.4378125066160813
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.21966396391703974
CLO,C1CN2CCC1CC2,0.5688249719216851
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.14188814992870846
AFI,[CH]1C=CC=C1,0.18744458409072262
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.17358059288293223
LAU,c1c[nH]cn1,1.0666427595347732
LEV,CC[N+](C)(C)CC,0.12160299401370553
OFF,C[N+](C)(C)Cc1ccccc1,0.11067452147759245
FER,NCCCCN,0.3563241627781387
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.4007928887561017
STI,CC[N+](CC)(CC)CC,1.169033914940315
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9216058680164363
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.37957911862243576
MTN,C1CCNC1,0.49454947488648976
AFI,CCN(C(C)C)C(C)C,0.1882659380024323
AEN,CC[N+](CC)(CC)CC,0.11077029319151874
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.555905707257417
AST,CC(C)[N+](C)(C)C,0.06285275744212071
MTW,C1CN2CCN1CC2,0.4383237726411028
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.13104456596137648
MTW,C1CCC[N+]2(CC1)CCCCC2,0.5839302656373948
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.21306183675596574
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.8057537301384455
MFI,C1CCNC1,0.1353040085070955
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.43743897211776084
NON,CC1CCCN1,1.2261943767899555
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.6574489633472416
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.5255531166955
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.4949009931433133
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.2045689269342177
CHA,CN(CCO)CCO,0.14481394338875803
FAU,Cc1cccc(C)[n+]1C,0.2937198337485444
NON,CC1CCCCN1,1.273022636597196
CHA,CN1CCNCC1,0.6764737642652705
