zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.4782142639160156
AEL,CCCNCCC,0.6105890274047852
CHA,OSDA-free,0.742426872253418
MFI,OSDA-free,0.15544700622558594
CHA,CCN(CC)CC,1.531808853149414
LTA,C[N+](C)(C)C,0.9878826141357422
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.4306964874267578
CHA,C1COCCN1,0.37330055236816406
ATO,CCCNCCC,1.5577154159545898
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3659677505493164
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.7497377395629883
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.715911865234375
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.13335609436035156
LEV,C[N+]12CCC(CC1)CC2,0.40059947967529297
AFI,CCCN(CCC)CCC,0.3077125549316406
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.40099239349365234
MAZ,OSDA-free,0.91143798828125
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.4579687118530273
AEN,CC[n+]1ccn(C)c1C,1.0204591751098633
FAU,C1COCCOCCOCCOCCOCCO1,0.3837156295776367
FAU,CC[N+](CC)(CC)CC,0.7598724365234375
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.265605926513672
PHI,OSDA-free,1.669489860534668
GIS,CCCNCCC,3.1710376739501953
LEV,C[N+]1(C)CCCCC1,0.6465940475463867
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9943990707397461
FER,C[N+]1(Cc2ccccc2)CCCC1,0.3318662643432617
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.0620064735412598
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.5420351028442383
SAV,C1CNCCCNCCNCCNC1,1.406538963317871
AEI,CC[P+](CC)(CC)CC,2.221590042114258
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.41968441009521484
NSI,c1cc(-c2ccncc2)ccn1,2.231144905090332
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.8323726654052734
FER,C1CNCCN1,0.4604930877685547
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9628820419311523
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.8763027191162109
MWW,CCCCCCC[N+](C)(C)C,0.49718570709228516
MFI,CCN,0.3356666564941406
TON,NCCCCCCCCN,0.3720579147338867
AFR,CCC[N+](CCC)(CCC)CCC,1.1322250366210938
AST,c1ccncc1,1.7490930557250977
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.44962406158447266
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6835079193115234
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.1927375793457031
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.5664920806884766
STF,CCC1CCCC[N+]12CCCCC2,1.8504786491394043
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.29219818115234375
CHA,CC(C)NC(C)C,1.8900718688964844
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.5514955520629883
ITE,NCCNCCNCCNCCNCCN,2.4248666763305664
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.4400968551635742
UFI,CC[N+](CC)(CC)CC,3.5002670288085938
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.3893022537231445
CLO,C1CN2CCC1CC2,3.2305784225463867
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.21466445922851562
AFI,[CH]1C=CC=C1,2.504129409790039
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.6168003082275391
LAU,c1c[nH]cn1,0.7826442718505859
LEV,CC[N+](C)(C)CC,1.3985257148742676
OFF,C[N+](C)(C)Cc1ccccc1,1.8732757568359375
FER,NCCCCN,1.3745899200439453
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.6999053955078125
STI,CC[N+](CC)(CC)CC,3.585649013519287
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.2644429206848145
STF,CC1(C)C2CCC[N+](C)(C)C1C2,-0.008960723876953125
MTN,C1CCNC1,1.2319555282592773
AFI,CCN(C(C)C)C(C)C,1.7494897842407227
AEN,CC[N+](CC)(CC)CC,1.0862398147583008
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.4664993286132812
AST,CC(C)[N+](C)(C)C,-0.035889625549316406
MTW,C1CN2CCN1CC2,0.7956886291503906
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,-0.154510498046875
MTW,C1CCC[N+]2(CC1)CCCCC2,0.2648134231567383
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.18661785125732422
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,3.0271754264831543
MFI,C1CCNC1,0.5303173065185547
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.9663338661193848
NON,CC1CCCN1,0.6933002471923828
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,2.8629369735717773
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.4692239761352539
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.01652812957763672
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.2818069458007812
CHA,CN(CCO)CCO,0.35991764068603516
FAU,Cc1cccc(C)[n+]1C,0.6881780624389648
NON,CC1CCCCN1,0.5980243682861328
CHA,CN1CCNCC1,2.834624767303467
ERI,C[N+]1(C)CCCCC1,2.521336555480957
AFI,C1CCCNCC1,0.5819940567016602
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.7974004745483398
ITE,C[N+]1(C)CCCCC2CCCCC21,1.8882980346679688
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.505915641784668
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.3562631607055664
AVE,C1CC[N+]2(CC1)CCCC2,1.8494200706481934
MWW,CCCCCC[N+](C)(C)C,0.5770730972290039
STW,CCc1n(C)cc(C)[n+]1C,0.059803009033203125
FER,CCCCN,0.639340877532959
TON,CC(N)CN,0.7842550277709961
ETL,C[N+](C)(C)CCO,1.0519018173217773
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.8511662483215332
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.0362701416015625
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.43160057067871094
MEI,CN(CCO)CCO,3.1488609313964844
AEL,CCNCC,1.1725425720214844
CHA,NCCNCCN,0.9906787872314453
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.7043609619140625
AEL,CCCCNCCCC,-0.14890193939208984
MFI,CCCNCCC,2.112851142883301
GIS,C[N+](C)(C)C,0.5091524124145508
FER,NC1CCCCC1,1.4204387664794922
SOD,C1CCC2(C1)CCC[NH2+]2,0.7763204574584961
DOH,CC1CNCCN1,3.845259189605713
TON,CCC(C)N,0.43054866790771484
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.817368984222412
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.27148914337158203
AFI,Fc1cccc(CN2CCCC2)c1,1.2191247940063477
AFI,CN1C2CCC1CC(O)C2,2.408365249633789
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.31316184997558594
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,2.349595069885254
AWO,CNC,0.5753231048583984
JST,NCCN,1.1557092666625977
MFI,CN(C)CC(C)(C)CN(C)C,1.610708236694336
