zeo,WSD
CHA,0.10889571835940828
AEL,0.20232073559055536
MFI,0.0370340740842414
LTA,0.20826457550620656
AFI,0.03254340781917388
IWR,0.1046815049505333
BEA,0.047904897632382114
MTW,0.049836409213751154
MEL,0.15126574020491754
LEV,0.10684296808898723
FAU,0.0740989064833831
BEC,0.030741796422373534
FER,0.04829791985330259
ATO,0.2128970161272227
MWW,0.5474527724891892
IMF,0.08610466687984208
AEN,0.1271439871381398
STF,0.201268609085728
MAZ,0.2169634091690184
AEI,0.27249272376768313
GIS,0.696411342340767
TON,0.09366464420741646
ITE,0.36486861438620655
NON,0.24877228721030464
MOR,0.025779817522089042
AST,0.14984547117881436
PHI,0.6354868112685281
SAV,0.30788318402035364
UOV,0.908051075931525
ITT,0.27483546779146695
MTT,0.3113139448064025
ITG,0.22485796291724186
CON,0.3340221505462013
NSI,0.9901936764445335
ERI,0.1744238136458625
MTN,0.3532824288427755
MRE,0.2989091096826727
AFR,0.35653815337274875
SWY,0.4894320366097077
LAU,0.5069975162330693
DDR,0.11450073736185631
AFX,0.9459482568241101
UFI,0.4187564536863415
ISV,0.3782921453045019
ANA,0.11732956220671026
CLO,0.8925764201561684
OFF,0.08592242652061705
STI,1.0218373105845577
CTH,0.13270200721825226
SFS,0.6465252225211628
AWO,0.09587635319895788
DOH,1.2088875452073315
SOD,0.3076391787701892
STW,0.09299604460480705
UOZ,0.7453856818125388
MEI,0.5939311614983231
ETL,0.2627011027396904
AVE,0.9178227248514141
SZR,0.2825410429265788
JST,1.2775652369847919
IFR,0.5895079994558464
IFW,0.8533185189424515
CGS,0.7438235532546934
PWN,0.0007120247315044122
ATS,0.35428975241382066
RTH,0.6336780503115144
EUO,0.2056524560527872
EMT,1.0026708295495879
BPH,0.6009200291760016
AWW,1.07452243688757
ASV,0.38618781806538316
IHW,0.2507207853789257
RWY,0.7254085273655546
LTJ,1.5630888733945254
SFH,1.1707986369072234
NES,0.1082984241907552
IRR,0.14425166103139964
TUN,0.17395256939633266
IWV,0.5914206877483548
EON,0.5230765102216774
STO,0.4256848070106411
ITW,0.8306635958548558
SFW,0.8802752680920967
IFU,0.06352150498884412
VFI,0.7510063914182814
EEI,0.7690587709573415
SFG,1.633311678675749
LOS,0.93420152003643
SFV,0.5134317915607981
IFO,0.7130389038404203
RTE,1.897098673694039
MER,1.7703263376386777
AFN,0.3419216839753997
APC,1.0305392304806538
SFN,0.5325243610942589
SSY,0.17316889647818376
PUN,1.0719289951173043
LTL,0.412772367567786
UOS,0.38926302202199214
CGF,1.6667522729327193
AHT,0.29529343801565516
VET,0.036553302532500866
ABW,0.4790874540651843
PWW,0.5366666202780316
