zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2785412601080497
AEL,CCCNCCC,0.21715751375221395
CHA,OSDA-free,0.07765995757161306
MFI,OSDA-free,0.027224573108785337
CHA,CCN(CC)CC,0.565440690572836
LTA,C[N+](C)(C)C,0.2889231937508757
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.30993665826481426
CHA,C1COCCN1,0.07501142275006749
ATO,CCCNCCC,0.2128970161272227
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.3153502447630252
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.4567723466419783
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.08610466687984208
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.061927889316699736
LEV,C[N+]12CCC(CC1)CC2,0.20723156194450004
AFI,CCCN(CCC)CCC,0.052746427812623425
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.04086040143192948
MAZ,OSDA-free,0.22859177023880145
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.8635894363854187
AEN,CC[n+]1ccn(C)c1C,0.0935089875236511
FAU,C1COCCOCCOCCOCCOCCO1,0.0991415647968984
FAU,CC[N+](CC)(CC)CC,0.05880985113623487
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.908051075931525
PHI,OSDA-free,0.7098190682920983
GIS,CCCNCCC,1.2413509585662386
LEV,C[N+]1(C)CCCCC1,0.08291579714095434
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.27483546779146695
FER,C[N+]1(Cc2ccccc2)CCCC1,0.1118302466334572
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.22485796291724186
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.24619282904263273
SAV,C1CNCCCNCCNCCNC1,0.6778337615955531
AEI,CC[P+](CC)(CC)CC,0.469282928796243
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3213799805363752
NSI,c1cc(-c2ccncc2)ccn1,1.0414928297227282
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.38836779382743825
FER,C1CNCCN1,0.07306860594259236
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.16962373385824625
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.2893903523308011
MWW,CCCCCCC[N+](C)(C)C,0.3062638607620908
MFI,CCN,0.14592076120017808
TON,NCCCCCCCCN,0.17815537474525442
AFR,CCC[N+](CCC)(CCC)CCC,0.35653815337274875
AST,c1ccncc1,0.2699446689954426
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.009021005746271847
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4630555757873231
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.4580440799519082
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.4894320366097077
STF,CCC1CCCC[N+]12CCCCC2,0.530544591403187
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.0746152445982652
CHA,CC(C)NC(C)C,0.6284103334295845
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.1594011045520395
ITE,NCCNCCNCCNCCNCCN,0.12001864803309216
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.3782921453045019
UFI,CC[N+](CC)(CC)CC,0.4187564536863415
